标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
二室一厅 视野开阔 采光好 华兴156 哈特商圈 哈工大地,满洲里街 -团结萧红校哈站北秀宾馆,2室1厅 | 53.65平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,27,"5,033元/平"
辰能溪树庭院2室大明厅 哈西商圈,辰能溪树庭院 -哈西商圈,2室2厅 | 127.82平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,5人关注 / 一年前发布,180,"14,083元/平"
丽景花园 两室大明厅 精装修 相中房子价格能谈!,丽景花园 -哈尔滨新区,2室1厅 | 97.77平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 3个月以前发布,69.8,"7,140元/平"
上夹树街，下夹树街，利群街，货栈街,上夹树街 -哈特百脑汇教化工大,2室1厅 | 51.35平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,50.8,"9,893元/平"
南岗区 工大左岸 一环内 电梯高层 精装修 封闭小区,工大左岸 -海城市场商圈,1室1厅 | 44.06平米 | 西南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 5个月以前发布,46,"10,441元/平"
南岗 北京街和民益街家口 出行方便 两室一厅H格局,北京街 -团结萧红校哈站北秀宾馆,2室1厅 | 48.08平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,47,"9,776元/平"
两室明厅 格局好 相中房子价格可谈,学府星城 -哈南商圈,2室1厅 | 64平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,58人关注 / 一年前发布,12,"1,875元/平"
滨江新城好民居格局好无大税毛胚,滨江新城好民居 -玛克威,1室1厅 | 47.6平米 | 西北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,31,"6,513元/平"
交 通 便  利，哈  东  商  圈,宏图小区 -哈东站商圈,2室1厅 | 59.7平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,44,"7,371元/平"
两室明厅精装修采光好。交通方便。 出门3号地铁口。,罗马公元 -安埠商圈,2室1厅 | 67.65平米 | 西 | 简装 | 低楼层(共27层)  | 板楼,2人关注 / 10个月以前发布,55,"8,131元/平"
交通便利 成熟商圈  环境优美...,附中小区 -师大附小沙曼小区,2室1厅 | 71.52平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,6人关注 / 一年前发布,45,"6,292元/平"
此房格局板正，年限好，交通便利，产权清晰，生活便利,苗圃小区 -西大桥商圈,2室1厅 | 48.43平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,61.8,"12,761元/平"
哈西 住宅正规一室一厅 中间楼层 出门花园,金域蓝城 -哈西商圈,1室1厅 | 52.35平米 | 西南 | 简装 | 29层  | 板楼,2人关注 / 9个月以前发布,56.5,"10,793元/平"
学府花园 哈理工大学后门 南北 2室 中间楼层,学府花园 -哈西商圈,2室1厅 | 83.7平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9个月以前发布,67.5,"8,065元/平"
学府路 医大二院 英伦名邸两室通透户型,英伦名邸 -哈南商圈,2室1厅 | 107.28平米 | 东 西 | 简装 | 21层  | 板楼,16人关注 / 一年前发布,92,"8,576元/平"
哈西商圈学府凯德西大直街和兴路封闭小区电梯房,学府名苑(南岗区) -师大附小沙曼小区,2室1厅 | 88.56平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,68.8,"7,769元/平"
南岗 海城街 团结 北秀公园 松雷 哈站 地铁一号线,海城街 -团结萧红校哈站北秀宾馆,2室1厅 | 57.37平米 | 南 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,42,"7,321元/平"
南岗区教化西大直街工大院内可停车小两居采光好,货栈街（团结小学） -团结萧红校哈站北秀宾馆,2室1厅 | 53.85平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,58.8,"10,920元/平"
两室小户型 格局好 户型好  有装修,征跃小区 -哈南商圈,2室1厅 | 68.53平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,46人关注 / 一年前发布,37.8,"5,516元/平"
金泰小区两室南北通透楼层好地点佳出行方便,金泰小区 -哈尔滨新区,2室1厅 | 70.01平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,43.8,"6,257元/平"
松北新区大正莅江 精装 拎包住 产权满2年 南北通透,大正莅江二期 -松北商圈,2室1厅 | 95.37平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,23人关注 / 10个月以前发布,113,"11,849元/平"
高层小两室装修好空气流通采光嘎嘎的,祥和家园 -动力区,2室1厅 | 52.82平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,15人关注 / 一年前发布,43.4,"8,217元/平"
此房一室一厅精装修.南向采光.格局好不挡光,香安街 -菜艺商圈,1室1厅 | 38.07平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,27,"7,093元/平"
中间楼层，采光好，楼下即是早市，夜市，交通出行方便,新华小区(道里区) -顾乡大街,2室1厅 | 57.24平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,37.8,"6,604元/平"
太平桥钟楼小区 百盛家乐福 无冷不挡,钟楼小区 -太平商圈,2室1厅 | 51.45平米 | 北 南 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 8个月以前发布,26,"5,054元/平"
海顺新苑 不是顶层 冬暖夏凉 不潮不阴 采光好 拎包住,海顺新苑 -动力区,2室1厅 | 99.48平米 | 东 南 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,46,"4,625元/平"
7楼 精装 无冷不挡 两室H格局,万达·秀园 -松北商圈,2室2厅 | 87.43平米 | 东 西 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,74.5,"8,522元/平"
比乐街黑山街 4楼 家装 诚心出售,比乐街 -儿童公园,1室1厅 | 34.37平米 | 东 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,22,"6,401元/平"
纳帕英郡 精装两室  诚心出售,纳帕英郡 -哈西商圈,2室1厅 | 88.4平米 | 南 | 精装 | 33层  | 板楼,9人关注 / 4个月以前发布,126,"14,254元/平"
珑瑞小区 东风 39 南北通透 ...,珑瑞小区 -尚志公园,2室2厅 | 116.56平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,93,"7,979元/平"
好楼层 不挡光 户型好 价格能谈,万达·秀园 -松北商圈,3室2厅 | 107.84平米 | 南 北 | 精装 | 中楼层(共49层)  | 板楼,1人关注 / 6个月以前发布,99.9,"9,264元/平"
南北向 采光好 近地铁 近商圈 志华商城 随时看 户型好,柒季城 -哈尔滨新区,2室1厅 | 84.07平米 | 南 北 西 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,47,"5,591元/平"
5楼 南向一居室 有装修 拎包住 没大税,东方哥德堡 -哈尔滨新区,1室1厅 | 40.96平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,20.5,"5,005元/平"
房子距离香坊万达150米。楼下大润发,万达公寓 -万达商圈,1室1厅 | 44.46平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,30人关注 / 一年前发布,26,"5,848元/平"
海富漫香林 无大税 景阳物业  两室大明厅 可公积金,海富漫香林 -动力区,2室2厅 | 76.62平米 | 东 南 西 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 8个月以前发布,61.8,"8,066元/平"
香树湾 两室一厅 南北东三向 中间楼层 下楼公 交,香树湾 -松北商圈,2室1厅 | 83.01平米 | 南 北 东 | 精装 | 高楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,69,"8,313元/平"
哈西 东辉明珠园  出门万达广场  楼下地铁  比邻69中,东辉明珠园 -哈西商圈,2室1厅 | 67.96平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,25人关注 / 一年前发布,85,"12,508元/平"
哈西商圈鸿朗花园南区两室一厅无大税花园万达广场,鸿朗花园南区 -哈西商圈,2室1厅 | 73.44平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,67,"9,124元/平"
顾乡工农大街 丽水雅居一室，适合养老过度居住,丽水雅居 -工农大街,1室0厅 | 51.48平米 | 西 | 简装 | 中楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,39.8,"7,732元/平"
西大直街 神舟名邸 电梯房 2008年 哈工大 两室,神舟名邸 -哈特百脑汇教化工大,2室1厅 | 115.98平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,139,"11,985元/平"
丽景花园 两室明厅  房主诚心卖 楼下地铁口,丽景花园 -哈尔滨新区,2室1厅 | 136.96平米 | 南 北 | 简装 | 低楼层(共31层)  | 板楼,8人关注 / 一年前发布,66.5,"4,856元/平"
房子嘎嘎好 中层 满两年 婚装 采光刺眼,凡尔赛诗城 -哈南商圈,2室1厅 | 73.16平米 | 东 西 北 | 精装 | 高楼层(共31层)  | 板楼,9人关注 / 8个月以前发布,69,"9,432元/平"
下楼奋斗奋斗 6969  配套成熟 采光充足 视野好,建设街 -花园铁岭继红校,2室1厅 | 65.5平米 | 西北 西南 | 精装 | 低楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,59,"9,008元/平"
此房楼层好  采光好  装修干净 中低楼层,裕赐俯季 -先锋路商圈,2室1厅 | 95平米 | 东北 | 简装 | 高楼层(共32层)  | 板楼,6人关注 / 一年前发布,103,"10,843元/平"
永吉家园 2室1厅 南 北,永吉家园 -南岗会展商圈,2室1厅 | 91.07平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,59.7,"6,556元/平"
革新教堂 建筑68.16平南北通透48万,革新街 -革新教堂,2室1厅 | 68.16平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,42.5,"6,236元/平"
万达华园 南向高层观景 好楼层 业主诚意出售,万达华园 -松北商圈,2室1厅 | 92.59平米 | 南 | 精装 | 高楼层(共49层)  | 板楼,0人关注 / 2个月以前发布,81,"8,749元/平"
南北通透 格局好 交通便利 1.3线地铁 业主诚心出售,上和城 -太平商圈,2室1厅 | 117.81平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,26人关注 / 9个月以前发布,90,"7,640元/平"
此房两室一厅采光好格局规整拎包入住视野开阔南向，,幸福里小区 -动力区,2室1厅 | 57.42平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,41.5,"7,228元/平"
顾乡世纪联华 婚装 5楼 南北 采光好价格可谈,利民街 -顾乡大街,2室1厅 | 51.37平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,28人关注 / 一年前发布,36.2,"7,047元/平"
萧红，团结，交通便利，不顶不底,建筑街 -团结萧红校哈站北秀宾馆,1室1厅 | 33.64平米 | 西 | 简装 | 高楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,29.8,"8,859元/平"
滨才城二期，4楼，南北通透，采光好,滨才城二期 -哈尔滨新区,2室1厅 | 87.67平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,45.8,"5,225元/平"
南岗 哈工大 哈特 地铁口 曲线街 下夹树街 瓦街 3楼,下夹树街 -哈特百脑汇教化工大,2室1厅 | 53.22平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,38.8,"7,291元/平"
团结萧红 封闭小区 采光好 二楼 两室一厅 99年房子,民益街 -团结萧红校哈站北秀宾馆,2室1厅 | 62.4平米 | 南 西南 | 精装 | 中楼层(共4层)  | 板塔结合,21人关注 / 8个月以前发布,55,"8,815元/平"
保利颐和家园两室两卫南北通透 错层价格可谈急售,保利颐和家园 -哈西商圈,2室1厅 | 121.86平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,15人关注 / 一年前发布,109,"8,945元/平"
一室一厅 采光好 无遮挡 适合老人养老 小区干净 肃静,工大左岸 -海城市场商圈,1室1厅 | 52.47平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,43.8,"8,348元/平"
中山花园7楼不顶  南北通透 使用110米  三室明厅,第二巴陵街 -海城市场商圈,3室1厅 | 163.74平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 14天以前发布,74.8,"4,569元/平"
南十道街 1室1厅 南,南十道街 -阿拉伯广场,1室1厅 | 39.96平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,26,"6,507元/平"
柒季城两室一厅 好楼层 南北通透 近地铁,柒季城 -哈尔滨新区,2室1厅 | 74.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,40,"5,375元/平"
阳光雅居三室两厅 毛坯采光好电梯房南 一手流程急售,阳光雅居 -松北商圈,3室2厅 | 127.38平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 15天以前发布,78,"6,124元/平"
柏林四季一室公寓南向建筑35米出售,柏林四季 -哈尔滨新区,1室0厅 | 35平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,17,"4,858元/平"
运华广场 7带8带9 使用250米左右 南北通透。格局板正,运华广场道里区 -公路大桥,3室2厅 | 197平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,118,"5,990元/平"
花园，69，两室格局，适合居住，看房方便,省建委房产 -花园铁岭继红校,2室0厅 | 66平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,135,"20,455元/平"
祥和家园 2室1厅 东 西,祥和家园 -动力区,2室1厅 | 105平米 | 东 西 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 9天以前发布,69.8,"6,648元/平"
南极国际 不临火道  位置好 明厅 装修好 校区,南极国际 -景阳商城南极市场,2室1厅 | 128.87平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,4人关注 / 8个月以前发布,151,"11,718元/平"
中海雍景熙岸 好楼层 无大税 继红一 35万精装,中海·雍景熙岸 -哈西商圈,3室1厅 | 105.46平米 | 南 北 | 精装 | 34层  | 板楼,8人关注 / 9个月以前发布,179,"16,974元/平"
中山福苑 封闭小区两室一厅南北通透03年房产6楼采光好,中山福苑 -省医院商圈,2室1厅 | 80.48平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,6人关注 / 一年前发布,58,"7,207元/平"
运华广场   拎包住 小区环境好 户型合理,运华广场道里区 -公路大桥,3室2厅 | 238.18平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,5人关注 / 4个月以前发布,185,"7,768元/平"
群力 恒盛豪庭 远大商圈  环境好 三室精装,恒盛豪庭 -群力新区,3室2厅 | 131.92平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,46人关注 / 一年前发布,197,"14,934元/平"
果园星城 三室明厅 5楼南北通透精装修生活方便,果园星城A区 -安埠商圈,3室2厅 | 139.93平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,99.8,"7,133元/平"
此房是一线观江房，小区绿化好，物业管理严格。,宝宇天邑澜湾 -兆麟校,2室1厅 | 124.66平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,32人关注 / 一年前发布,185,"14,841元/平"
道里 迎宾小区  两室明厅精装修 通透户型 拎包入住,迎宾小区 -工农大街,2室1厅 | 109.08平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,59人关注 / 一年前发布,59.8,"5,483元/平"
此房满五唯一，朝向好，采光充足，,星河国际  湘江路 -万达商圈,3室1厅 | 183.24平米 | 东 南 北 | 简装 | 低楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,126,"6,877元/平"
小区配套齐全 购物方便 交通便利 出小区就能满足,世纪花园C区 -松北商圈,3室2厅 | 98.78平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,63.9,"6,469元/平"
临河别墅，使用500平米左右，水就财，,钻石湾地中海阳光 -松北商圈,5室2厅 | 333.9平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,11人关注 / 一年前发布,490,"14,676元/平"
中间楼层 阳面 采光充足 两梯四户,中山蓝色水岸 -儿童公园,3室2厅 | 192.18平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,10人关注 / 8个月以前发布,176,"9,159元/平"
三室两厅南北通透可贷款诚心出楼层好,世纪花园C区 -松北商圈,3室2厅 | 144.82平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,11人关注 / 一年前发布,110,"7,596元/平"
南岗仪兴小区和兴十一道街西大直街学府路学府凯德,仪兴小区 -仪兴商圈,3室1厅 | 182.67平米 | 东 南 西 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,103,"5,639元/平"
中北春城 ，封闭小区，年限好，格局规整.,中北春城 -省医院商圈,3室1厅 | 116.1平米 | 东 南 北 | 精装 | 低楼层(共22层)  | 板楼,30人关注 / 一年前发布,118,"10,164元/平"
景阳物业 电梯洋房 三室大明厅双明卫 无大税 可公积金,海富漫香林 -动力区,3室2厅 | 137.96平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,143,"10,366元/平"
香树湾高层电梯房三室两厅南北通透精装修可贷款拎包住,香树湾 -松北商圈,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,5人关注 / 一年前发布,85,"8,334元/平"
青年城邦小区 三室大明厅 大复式   诚心出售 价格可谈,青年城邦小区 -靖宇公园,2室2厅 | 86.9平米 | 东北 | 精装 | 高楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,79.8,"9,183元/平"
马端小区 宣化街 宽桥街 马家沟 124 大润发 南北,马端小区 -新发小区大润发,3室1厅 | 178.31平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,88,"4,936元/平"
