标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
洛王步步高 王家河畔 上东一城 精装三房 证齐可贷款,上東一城 -洛王,3室2厅 | 87平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,6人关注 / 4个月以前发布,63,"7,242元/平"
岳城中医院 满五年精装3房 步梯2楼 证件在手接受贷款,銀強苑 -岳城,3室2厅 | 93平米 | 南 北 | 精装 | 低楼层(共6层)  | 平房,0人关注 / 1个月以前发布,45,"4,839元/平"
四楼 北门上金鹗山 此栋不临路很安静,湘天国际花园 -苗圃,3室2厅 | 138.7平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,75,"5,408元/平"
枫桥湖 带中 央空调 精装三房 湖景房证齐全可贷款,枫桥绿洲 -九华山,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,92,"7,541元/平"
花板桥拾忠，天伦国际电梯精装三房，拎包入住满2,天伦国际 -五里牌,3室2厅 | 122.3平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,135,"11,039元/平"
恒大御景湾 三房精装修  户型周正  看房方便,恒大御景湾 -岳城,3室1厅 | 98平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,83,"8,470元/平"
王家河畔，山水一城电梯毛坯三房，带车位诚心出售,山水一城 -冷水铺,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 2个月以前发布,63,"5,432元/平"
东风湖滨江官邸，电梯毛坯大三房。诚心出售可贷,滨江观邸 -九华山,3室2厅 | 145.1平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,62,"4,273元/平"
八字门 王家河 巴陵壹号旁 电梯精装大三房 证齐可贷款,东方嘉园 -东升社区,3室2厅 | 159平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,74,"4,655元/平"
八字门大型园林小区 高铁站片区 天邦,天邦·钻石山 -八字门,3室2厅 | 131.7平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,83.8,"6,363元/平"
一楼带杂物间的房子  满五年 小三房,天舒山庄 -洛王,3室2厅 | 100平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,45,"4,500元/平"
中天.维益家园    4房2厅1厨2卫   精装修,中天· 维益家园 -八字门,4室2厅 | 134.5平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,2人关注 / 6个月以前发布,93,"6,915元/平"
珍珠山，王家河风光带，中南大市场,银泰小区 -八字门,3室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,4人关注 / 6个月以前发布,76.5,"7,286元/平"
八字门沃尔玛富兴鹏城精装四房 诚心出售,富兴鹏城 -八字门,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,79.9,"8,878元/平"
八字门 东城旁 恒源玖章 毛坯三房 可做婚房 随时可看,恒源玖章 -八字门,4室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 9个月以前发布,90,"7,087元/平"
八字门 星浩汇景城 精装三房 满二 证齐全可贷款,星浩汇景城 -八字门,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,6人关注 / 6个月以前发布,81.6,"7,035元/平"
八字门次新小区，电梯精装三房，拎包入住，可贷,天邦·海弘轩 -八字门,3室2厅 | 124.6平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,79.3,"6,365元/平"
花板桥公，安局单位房楼层好 已装电梯 步步高广场,警苑小区（鲤鱼嘴） -鲤鱼嘴社区,4室2厅 | 142.4平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,75,"5,267元/平"
八字门青年东路潇湘园精装三房两厅可拎包入住,潇湘园 -八字门,3室2厅 | 137平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,68,"4,964元/平"
八字门沃尔玛旁精装修大四房单位房带家具家电优价出售,石油小区 -八字门,4室2厅 | 164平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,88.8,"5,415元/平"
南湖千庙湖，步梯精装大三房，诚心出售，拎包入住可贷,湘天国际花园 -苗圃,3室2厅 | 141平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,82.8,"5,873元/平"
此小区物业管理完善，采光好，物业人员贴心，热情,阳光佳园 -杨树塘,4室2厅 | 156平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 31天以前发布,90.8,"5,821元/平"
可以看房湖景的精装大四房 中层不临路,南湖·名門世家 -苗圃,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,160,"11,268元/平"
湖景房 精装三房 朝阳 带中 央空调 南湖誉峰 可贷款,南湖誉峰 -南湖,3室2厅 | 121平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,108,"8,926元/平"
南湖美食街 电梯精装三房 证齐可贷款 一梯两户小高层,雅典新城 -螺丝港,3室2厅 | 110平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,65,"5,910元/平"
步行街站前路，步梯精装大三房，诚心出售拎包入住3楼,新胜社区 -火车站,4室2厅 | 141平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,3人关注 / 2个月以前发布,51,"3,618元/平"
站前路沃尔玛，步梯大两房，带杂物，诚心出售,铁路生活小区 -火车站,2室2厅 | 67平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,32,"4,777元/平"
高铁门户，恒大绿洲，电梯中层毛坯三房！,恒大绿洲 -东站,3室2厅 | 80平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,12人关注 / 11个月以前发布,40,"5,000元/平"
花板桥十中 北控岳州府旁 单位房2楼 好停车,四化建家属区 -新路口,2室1厅 | 55.74平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,33.6,"6,028元/平"
精装两房两厅两卫户型独档，定制装修品质,岳陽新天地 -洛王,2室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,70人关注 / 一年前发布,49.8,"5,031元/平"
小区物业24小时执勤，生活方便，户型周正。,中南批发交易大市场 -八字门,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,2人关注 / 2个月以前发布,48,"4,068元/平"
南湖新区 湖景房 电梯高层 证满二 可贷款诚心出售,江河颐璟城 -岳阳县,4室2厅 | 165.34平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,66.5,"4,023元/平"
南湖新区 电梯精装三房  好楼层,双湖湾 -南湖新区,3室2厅 | 113平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,66.8,"5,912元/平"
花板桥 北控岳州府 南北通透 视野开阔 129平毛坯4房,北控岳州府 -新路口,4室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,123,"9,535元/平"
新路口 小区房 中间楼层  停车方便,财富花园 -新路口,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,55,"4,167元/平"
蓝盾新天地大四房，装修保养好，带车位,蓝盾·新天地 -八字门,4室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,93,"6,504元/平"
广济医院旁  鸿景苑  精装大三房！,鸿景园 -岳纺,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 5个月以前发布,84.6,"6,715元/平"
临十五中，星河国际 精装 湖景4房 拎包入住,星河国际 -八字门,4室2厅 | 145.6平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 1个月以前发布,127,"8,723元/平"
南北通透四房，中式装修，空调地暖，园林小区拎包入住,英伦世家 -八字门,4室2厅 | 143.83平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,109,"7,579元/平"
抢！单价2000多购！南湖 千亩湖 精装三房,太子花园 -桥西,3室2厅 | 130平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,33,"2,539元/平"
中航翡翠湾毛坯大四房南北通透可看全湖景,中航·翡翠湾 -八字门,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,133.8,"9,490元/平"
二医院旁！精装电梯公寓正规1房  29个w,德泽园小区 -雷锋山,1室1厅 | 40.13平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4天以前发布,29.8,"7,426元/平"
王家河 东升 精装修 中间栋位，中间楼层,锦绣华城 -东升社区,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,66,"7,416元/平"
蓝盾新天地，珍珠山公园旁，交通便利，小区环境优美。,蓝盾·新天地 -八字门,4室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,75,"5,282元/平"
新路口 线路所 三楼 证齐满五 接受贷款,线路所小区 -新路口,3室2厅 | 101平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,1人关注 / 8个月以前发布,44.28,"4,385元/平"
岳阳东站 恒大绿洲 精装电梯中层一房一厅,恒大绿洲 -东站,1室1厅 | 50平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,32,"6,400元/平"
王家河畔，步梯精装三房，拎包入住，可贷,锦绣河山 -海棠社区,3室2厅 | 136.32平米 | 南 | 精装 | 中楼层(共7层)  | 平房,14人关注 / 一年前发布,79,"5,796元/平"
东风胡 广济医院旁 岳纺洞麻二区 三楼2房 诚心出售,洞麻二区 -岳纺,2室1厅 | 50.7平米 | 南 | 精装 | 中楼层(共5层)  | 平房,0人关注 / 2个月以前发布,26,"5,129元/平"
五里牌 市场对 简装两房 证件齐全 地段好 交通便利,五里牌供销社家属房 -五里牌,2室1厅 | 56.24平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,13人关注 / 一年前发布,27.8,"4,944元/平"
七里山一区步梯2楼南北通透带大平台好停车2车位免费,七里山社区一区 -七里山,1室1厅 | 50平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,23,"4,600元/平"
步步高花板桥  精装公寓拎包入住，接受贷款！,缤纷年华 -新路口,1室1厅 | 40平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,1人关注 / 2个月以前发布,29,"7,250元/平"
采光很好，户型周正，精装修保养很好，生活很方便,雷锋山紫园小区 -雷锋山,3室2厅 | 88.58平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,7人关注 / 8个月以前发布,38,"4,290元/平"
岳阳楼2房清水装修观音阁社区梅西桥,建材公司家属房 -桥西,2室1厅 | 60.36平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,26,"4,308元/平"
四化建家属区五里牌2房北控旁边,四化建家属区 -新路口,2室2厅 | 52.48平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,26,"4,955元/平"
天伦金三角 1室0厅 南,天伦金三角 -天伦城,1室0厅 | 52平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,37,"7,116元/平"
金悦洋，居然之家，生活便利。交通方便,金悦洋商业公园 -八字门,2室1厅 | 73平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,12人关注 / 一年前发布,38,"5,206元/平"
城市中轴琵琶王东侧 毛坯三房 中高层视野好 单价5字头,巴陵壹号 -洛王,3室2厅 | 118.28平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 10天以前发布,65,"5,496元/平"
火车站，东能中央公馆，十二中，泰和大市场,東能·中央公馆 -火车站,1室0厅 | 48.8平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,1人关注 / 1个月以前发布,24.8,"5,082元/平"
香洲名都南园 3室2厅 南,香洲名都南园 -南湖,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 11天以前发布,82,"6,357元/平"
芭蕉湖畔岳阳碧桂园大四房证齐满夺可贷,岳阳碧桂園 -城陵矶,4室2厅 | 166平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 7个月以前发布,70.8,"4,266元/平"
湖滨 千亩湖毛坯别墅 满两年 可贷款 改善型 安静不吵,棠溪人家 -南湖新区,5室3厅 | 288平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,6人关注 / 一年前发布,500,"17,362元/平"
出行方便 证件齐全 满两年 接受贷款 业主诚心出售,港岳豪庭 -八字门,3室2厅 | 140.81平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,75,"5,327元/平"
东城雅园 复式楼中楼 带一百多平的花园,雅园 -八字门,4室2厅 | 239.92平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,175,"7,295元/平"
市区独栋别墅 上下三层王家河畔精装修 前后带花园,锦绣河山 -海棠社区,6室2厅 | 370平米 | 北 | 其他 | 低楼层(共3层)  | 暂无数据,11人关注 / 一年前发布,580,"15,676元/平"
洛王新天地旁边 化建新村 三房 毛坯,化建新村 -冷水铺,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,67,"6,147元/平"
二医院后 王家河畔200米白银4楼精装3+1 有证商品房,茶场青年东路居民点 -八字门,4室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,47人关注 / 一年前发布,62.8,"4,652元/平"
南湖湖滨棠溪人家别墅群双拼带前后大花园和地下室,棠溪人家 -南湖新区,6室2厅 | 290平米 | 南 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,1人关注 / 一年前发布,610,"21,035元/平"
棠溪人家 别墅  空气环境好   设施齐全,棠溪人家 -南湖新区,6室2厅 | 285平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,1人关注 / 一年前发布,525,"18,422元/平"
南湖新区，交通便利，环境优美，,金星小区 -南湖新区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,8人关注 / 一年前发布,70,"5,385元/平"
南湖新区 千亩湖别墅群 棠溪人家 两证可贷 有花园露台,棠溪人家 -南湖新区,5室3厅 | 240平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 双拼别墅 ,1人关注 / 一年前发布,530,"22,084元/平"
南湖恒大半岛 电梯高层 精装三房 证件齐全 可贷款,恒大南湖半岛 -桥西,3室2厅 | 95.83平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,22人关注 / 一年前发布,83,"8,662元/平"
千亩湖旁 恒大南湖半岛 毛坯四房  诚心出售,恒大南湖半岛 -桥西,4室2厅 | 130.74平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,105,"8,032元/平"
小区环境优雅.园林设计好.户型周正.采光好.南北对流。,滨水天悦 -八字门,3室2厅 | 124.7平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 塔楼,5人关注 / 一年前发布,81.4,"6,528元/平"
临新路口小 学  妇幼保健院 九盛家居  五里牌,南苑小区 -新路口,4室2厅 | 179平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,59,"3,297元/平"
90平精装三房，碧桂园-给您一个温馨的家,岳阳碧桂園 -城陵矶,3室2厅 | 88.64平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,52,"5,867元/平"
千亩湖边满五唯一毛坯大四房视野开阔,渔光新村 -南湖,4室2厅 | 146平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,11人关注 / 一年前发布,69,"4,727元/平"
广和国际旁，省建三公司单位房。,湖南建工集团湖南省第三工程有限公司岳阳分公司 -岳纺,2室1厅 | 57.03平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,28,"4,910元/平"
绿茵苑 东风湖新区 精装三房保养好,绿茵苑 -无效,3室2厅 | 115.3平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,10人关注 / 一年前发布,55,"4,771元/平"
五里牌 高山坡小区 适中单价4字头精装三房，接受贷款,高山坡小区 -五里牌,3室2厅 | 104平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,49.8,"4,789元/平"
此小区物业管理完善，采光好，朝阳 九中 读书方便,君和小区 -花板桥,4室3厅 | 208平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,95,"4,568元/平"
千亩湖旁精装三房，全湖景，环境优美,蓝湖水岸 -南湖,3室2厅 | 141.15平米 | 南 | 其他 | 中楼层(共16层)  | 塔楼,3人关注 / 一年前发布,148,"10,486元/平"
巴陵东路，烟草局 巴陵壹号精装三房，诚心出售,巴陵壹号 -洛王,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,8人关注 / 一年前发布,81.8,"6,342元/平"
王家河 岳阳大道 东城就学方便 公立幼儿园在楼下,恒源玖章 -八字门,4室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,98.8,"7,719元/平"
证件齐全，格局好，读书方便，户型周正，通透三房,星河国际 -八字门,3室2厅 | 130.89平米 | 东南 | 其他 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,112,"8,557元/平"
广济医院 康岳花园 建湘路 中装大四房 满五唯一可贷款,福泰新村 -火车站,4室2厅 | 163.37平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,2人关注 / 一年前发布,72,"4,408元/平"
