标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
金海世纪城精装两室，视野好，出行方便,金海世纪城 -炳三区,2室2厅 | 86.12平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 4天以前发布,65,"7,548元/平"
万达旁龙江云州精装跃层套四出售  看房方便,龙江云洲 -九附二+九附六,4室2厅 | 184.09平米 | 东南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 12天以前发布,110.5,"6,003元/平"
炳三区太谷广场全新装修三房两厅两卫拎包入住,太谷悦城 -炳三区,3室2厅 | 107平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 15天以前发布,98,"9,159元/平"
金域阳光大平层精装5室带两个大露台户型好采光视野佳,金域阳光 -炳三区,5室2厅 | 180平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 8天以前发布,180,"10,000元/平"
炳三区精装三室，房东急售，价格诚心,佳联梦苑 -炳三区,3室2厅 | 115平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,90,"7,827元/平"
金科集美阳光二期 清水三室出售,金科集美阳光二期 -仁和区,3室2厅 | 112平米 | 东 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 3天以前发布,74,"6,608元/平"
金域阳光 低楼层 保持新 带车位    价格可谈,金域阳光 -炳三区,3室2厅 | 120平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 5个月以前发布,119,"9,917元/平"
银泰城精装套三 家具家电齐全  拎包入住,银泰商业城 -仁和区,3室2厅 | 107.11平米 | 东南 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,66,"6,162元/平"
公园大地精装修，三室两厅双卫，面积112平,金泰公园大地 -炳三区,4室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,83,"7,411元/平"
万象城，绿洲佳苑，小区安静，出行方便,绿洲佳苑 -九附二+九附六,4室2厅 | 190平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,82,"4,316元/平"
金域阳光精装户型花城外拎包入住,金域阳光 -炳三区,3室2厅 | 92.04平米 | 西南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,70,"7,606元/平"
天娇名都 2室1厅 南 北,天娇名都 -仁和区,2室1厅 | 80平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 10天以前发布,35,"4,375元/平"
领地 精装1室  全新装修未入住  出行方便,领地·阳光花城 -仁和区,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 12天以前发布,45,"8,036元/平"
精装大户型主卧室30多平米，东南朝向业主诚心出售,商业银行家属楼 -炳三区,3室2厅 | 152平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,119,"7,829元/平"
炳三区金海世纪四十中小旁精装好房诚心出售,金海世纪城 -炳三区,1室1厅 | 45平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 3个月以前发布,34,"7,556元/平"
蓝湖社区2室2厅一厨一卫户型方正采光好,蓝湖社区 -清香坪,2室2厅 | 88.51平米 | 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,32.8,"3,706元/平"
居安花园精装两室诚心出售   交通便利,居安花园 -米易县,2室2厅 | 71.33平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53.8,"7,543元/平"
蓝湖国际塞纳左岸位置好、环境好,蓝湖国际赛纳左岸 -清香坪,2室2厅 | 92.15平米 | 南 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,37,"4,016元/平"
龙箐花园小区 3室2厅 南,龙箐花园小区 -九附二+九附六,3室2厅 | 91.63平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 16天以前发布,38,"4,148元/平"
沃尔玛金瓯大润发万象城开明苑精装房,开明苑 -九附二+九附六,3室2厅 | 141平米 | 南 | 简装 | 低楼层(共22层)  | 暂无数据,0人关注 / 18天以前发布,66,"4,681元/平"
阳光家园 2室2厅 东南,阳光家园 -仁和区,2室2厅 | 88平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,42,"4,773元/平"
花城新区！领地阳光花城！三室带花园洋房！,领地·阳光花城 -仁和区,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,103,"9,810元/平"
银泰舒适大套三楼下月亮湖东风学旁,银泰城泰悦居 -仁和区,3室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 11天以前发布,75,"6,411元/平"
601地质队家属楼 2室1厅 东南,601地质队家属楼 -仁和区,2室1厅 | 62.22平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,26,"4,179元/平"
此房已经满两年了，出行方便离万达近，居住舒服,奥林匹克花园 -炳三区,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共29层)  | 暂无数据,1人关注 / 9天以前发布,62,"5,167元/平"
竹湖园党校旁1楼3室2厅出行方便交通便利老幼居住方便,临江路54号 -竹湖园,3室2厅 | 143平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,60,"4,196元/平"
曼哈顿精装两室电梯房 出行方便,曼哈顿 -电影院+中心广场,2室2厅 | 77.91平米 | 东南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 7天以前发布,41,"5,263元/平"
位置好 地势平坦 河景房 商品房,水岸沙湾 -仁和区,2室2厅 | 79平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 5天以前发布,56,"7,089元/平"
金海世纪城精装两室 朝东南 早上晒太阳出行方便,金海世纪城 -炳三区,2室2厅 | 84平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,0人关注 / 5天以前发布,63,"7,500元/平"
炳三区轻奢装修两室！公园里的小区，随时可以看房！,菩提苑 -炳三区,2室2厅 | 92平米 | 东南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 15天以前发布,64.9,"7,055元/平"
上城鹿苑精装4室2厅2卫全屋精装实木家具家电,麓苑 -仁和区,4室2厅 | 139.07平米 | 东南 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 3个月以前发布,140,"10,067元/平"
仁和河边上城澜苑精装3室2厅2卫拎包入住带车位,澜苑 -仁和区,3室2厅 | 106.84平米 | 北 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,106,"9,922元/平"
都市国际精装好房全屋家具家电齐全诚心出售,都市国际 -九附二+九附六,3室2厅 | 84平米 | 东南 南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 5个月以前发布,58.9,"7,012元/平"
竹湖园，攀大附院，就近入学，出行方便,临江路67号 -竹湖园,3室2厅 | 143平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,52,"3,637元/平"
房子满了五年了，证件齐全，无贷款，可以随时过户的,攀大家属区 -九附二+九附六,3室2厅 | 124.63平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,55,"4,414元/平"
蓝湖国际精品住宅出售，套三双卫，精装修,蓝湖国际赛纳左岸 -清香坪,3室2厅 | 90.7平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,55,"6,064元/平"
仁和水岸沙湾139平四居室河景房南北朝向视野开阔,水岸沙湾 -仁和区,4室2厅 | 139.96平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,115,"8,217元/平"
竹湖园三室两厅小区环境好交通便利环境好,老市委建行家属楼 -竹湖园,3室2厅 | 92.31平米 | 南 北 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,37.9,"4,106元/平"
迷阳水岸 精装套三 位置好 环境优美 配套齐全,迷阳水岸 -米易县,3室2厅 | 116.92平米 | 东南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,113.8,"9,734元/平"
此房户型好，房间大装修精至楼层适中,金域阳光 -炳三区,3室1厅 | 91.4平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,3人关注 / 6个月以前发布,69.7,"7,626元/平"
金海学府花园 3室2厅 东南,金海学府花园 -炳三区,3室2厅 | 123.44平米 | 东南 | 精装 | 低楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,73,"5,914元/平"
精装套三 家具家电齐全 随时看房,水岸沙湾 -仁和区,3室2厅 | 95.31平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,1人关注 / 5个月以前发布,63,"6,611元/平"
帝景华庭，采光好 户型方正，诚心出售,远达帝景华廷 -炳三区,2室1厅 | 79.7平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 24天以前发布,64,"8,031元/平"
阳城龙庭精装套二诚心出售  家具家电齐全户型方正,阳城龙庭 -九附二+九附六,2室1厅 | 88.18平米 | 东南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,56,"6,351元/平"
开明苑精装四室双卫家具家电齐全,开明苑 -九附二+九附六,4室2厅 | 169.18平米 | 南 北 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 6个月以前发布,79,"4,670元/平"
五医院 竹湖园 楼梯房 成熟小区  拎包入住,甘露园 -竹湖园,4室2厅 | 142.69平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,4人关注 / 8个月以前发布,39,"2,734元/平"
万达广场，攀大旁，套三，带观景阳台精装房出售,新宏国际社区 -九附二+九附六,3室2厅 | 128平米 | 东南 | 简装 | 高楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,78,"6,094元/平"
503电厂好房出售，家具家电齐全，可拎包入住,503电厂生活区 -玉泉,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 9个月以前发布,43,"3,496元/平"
佳联梦苑131平3室双卫就读40中小诚心出售,佳联梦苑 -炳三区,3室2厅 | 131.36平米 | 东南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 10个月以前发布,115,"8,755元/平"
西区工程抵债房首付6万支持贷款一手商品房,华恒中央公园 -西区,2室2厅 | 70平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,27.3,"3,900元/平"
金海朗庭3室2卫！业主诚心出手售钥匙在手随时看房！,金海世纪城 -炳三区,3室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,83,"7,905元/平"
龙江明珠精装三室带家具家电房东诚心出售,龙江明珠 -九附二+九附六,3室2厅 | 127平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,60,"4,725元/平"
南城一号电梯房真实出售，交通便利，户型方正,南城一号 -米易县,3室2厅 | 108.57平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,83,"7,645元/平"
沃尔玛竹湖园竹湖翠苑一楼带花园四室两厅出售拎包入住,竹湖翠苑 -竹湖园,4室2厅 | 154平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,85,"5,520元/平"
清香坪 蓝湖国际 精装修拎包入住 三室好房 房东急售,蓝湖国际赛纳左岸 -清香坪,3室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,43.8,"4,660元/平"
金海花溪谷精装二室带家具家电房东诚心出售,金海花溪谷 -九附二+九附六,2室2厅 | 67.5平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,2人关注 / 6个月以前发布,41,"6,075元/平"
上恒绿都一期清水三室两厅一卫户型方正采光好,上恒绿都一期 -仁和区,3室2厅 | 91平米 | 东南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 30天以前发布,66,"7,253元/平"
可散步房双证齐全精装修可以免费停车,沙沟路2号 -仁和区,3室2厅 | 65平米 | 东南 | 精装 | 高楼层(共4层)  | 暂无数据,1人关注 / 1个月以前发布,22.8,"3,508元/平"
碧水阳光西南朝向面向河边 出行方便,碧水阳光 -仁和区,4室2厅 | 122平米 | 西南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 19天以前发布,87,"7,132元/平"
普达跃层好房房东急售户型端正采光好,普达阳光康和北苑 -仁和区,3室2厅 | 103.32平米 | 东南 | 毛坯 | 中楼层(共4层)  | 暂无数据,1人关注 / 23天以前发布,96,"9,292元/平"
康养小区菩提苑清水三室低价诚心出售,菩提苑 -炳三区,3室1厅 | 90平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 23天以前发布,65,"7,223元/平"
户型方正、没得浪费、卧室早上晒太阳明卫,金域阳光 -炳三区,2室2厅 | 78.68平米 | 东南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 31天以前发布,54,"6,864元/平"
花城新区上恒绿都！精装三室！房东走心装修！,上恒绿都一期 -仁和区,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 23天以前发布,95,"10,440元/平"
银泰精装修套三 朝小区中庭 户型方正,银泰城泰悦居 -仁和区,3室2厅 | 99.02平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 20天以前发布,58,"5,858元/平"
上城底跃带花园 视野好 采光好,澜苑 -仁和区,6室2厅 | 97平米 | 西南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 20天以前发布,105,"10,825元/平"
攀大万达旁128平精装大三室双卫客厅带阳台楼层采光好,新宏国际社区 -九附二+九附六,3室2厅 | 128平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,72,"5,625元/平"
户型比较好  每间采光好  通透性好   安静,菩提苑 -炳三区,4室2厅 | 126平米 | 西南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 29天以前发布,78,"6,191元/平"
蝶逸苑 3室2厅 西南,蝶逸苑 -竹湖园,3室2厅 | 136.71平米 | 西南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 31天以前发布,62,"4,536元/平"
炳三区万达旁新宏国际精装五室三卫大顶跃户型方正,新宏国际社区 -九附二+九附六,5室2厅 | 192平米 | 东南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 27天以前发布,138,"7,188元/平"
欧郦景苑 3室2厅 南,欧郦景苑 -玉泉,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,50,"3,847元/平"
云锦金瓯广场 4室2厅 东南,云锦金瓯广场 -九附二+九附六,4室2厅 | 152平米 | 东南 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 31天以前发布,78,"5,132元/平"
金海花溪谷 2室2厅 南,金海花溪谷 -九附二+九附六,2室2厅 | 84平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 31天以前发布,55,"6,548元/平"
太谷悦城 3室2厅 南,太谷悦城 -炳三区,3室2厅 | 108.9平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 31天以前发布,75,"6,888元/平"
湖光小区、三室两厅、简单装修、家具家电齐全好房出售,湖光西街2号 -竹湖园,3室2厅 | 147平米 | 东南 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 20天以前发布,54,"3,674元/平"
恒大城精装修。三室两厅双卫，面积107平,恒大城 -炳三区,3室2厅 | 107平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 22天以前发布,59,"5,515元/平"
玛尚 三室两厅 江景房交通便利 适合居住,玛尚 -九附二+九附六,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 20天以前发布,65,"6,436元/平"
仁和主城区 读书出行都很方便 距离广场500米,浩远兰庭 -仁和区,4室2厅 | 97.72平米 | 东 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 16天以前发布,79,"8,085元/平"
电影院 广场 四小 环境优美 成熟小区,水木风华 -电影院+中心广场,1室1厅 | 55平米 | 东南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 29天以前发布,25,"4,546元/平"
金海世纪城 2室2厅 东南,金海世纪城 -炳三区,2室2厅 | 65平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 16天以前发布,53,"8,154元/平"
房子是商品房1楼户型方正，家具家电齐全可以拎包入住,九附二攀钢小区 -九附二+九附六,2室1厅 | 68平米 | 南 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 26天以前发布,24.5,"3,603元/平"
金海一期小高层一楼带花园跃三层精致装修全屋品牌家居,金海世纪城 -炳三区,5室3厅 | 178.69平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 10个月以前发布,206,"11,529元/平"
此房户型方正，视野开阔楼层好 出行便利 商圈成熟,金海世纪城 -炳三区,1室1厅 | 51平米 | 东 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 9个月以前发布,42,"8,236元/平"
金瓯广场跃层三室 紧靠三中攀大 交通方便 家电齐全,云锦金瓯广场 -九附二+九附六,3室2厅 | 139.9平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,126,"9,007元/平"
