标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
万达华府 3室2厅 西北,万达华府 -万达广场,3室2厅 | 84.5平米 | 西北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"8,261元/平"
爱德华庭 交通便利 小区环境安静舒适 适合居住,爱德华庭 -工农村,2室2厅 | 76.6平米 | 东 南 | 其他 | 中楼层(共22层)  | 板塔结合,5人关注 / 一年前发布,45,"5,875元/平"
琪达新巢 3室2厅 东南,琪达新巢 -岷山路小学,3室2厅 | 100平米 | 东南 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 1天以前发布,71,"7,100元/平"
时代庐山 2室1厅 东南,时代庐山 -玉泉,2室1厅 | 84.37平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2天以前发布,65.8,"7,799元/平"
此房楼层好，视野开阔，小区环境干净舒适,帝景峰 -五洲广场,1室1厅 | 41.2平米 | 东南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 1天以前发布,33.8,"8,204元/平"
怡安社区 2室2厅 南,怡安社区 -五洲广场,2室2厅 | 55平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,22.8,"4,146元/平"
越地香港花园 3室1厅 南 北,越地香港花园 -广汉市,3室1厅 | 99.39平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 3天以前发布,63,"6,339元/平"
东电一生活区 3室2厅 南,东电一生活区 -城北,3室2厅 | 77.31平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 3天以前发布,39.8,"5,149元/平"
城南刚交房楼盘，小区品质高，大户型正临湖。,中亚水岸花都蓝点 -五洲广场,4室2厅 | 149平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 1天以前发布,169,"11,343元/平"
明阳街107号 3室2厅 南,明阳街107号 -绵竹市,3室2厅 | 78.66平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,39.6,"5,035元/平"
城南河边 南滨佳苑 精装套三 户型方正 中间采光好,南滨佳苑 -经开区,3室2厅 | 94.28平米 | 西 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,68.8,"7,298元/平"
吾悦华府 3室2厅 南,吾悦华府 -工农村,3室2厅 | 117平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 7天以前发布,68,"5,812元/平"
东方友谊 3室1厅 南,东方友谊 -东电生活区,3室1厅 | 65.4平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,31,"4,741元/平"
城南新城吾悦广场旁边，正宗3室，宽景阳台，电梯楼.,吾悦华府 -工农村,3室1厅 | 117平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 2天以前发布,78,"6,667元/平"
育松福州苑，精装5房，带平台，采光好无遮挡视野。,育松福州苑 -广汉市,4室3厅 | 191.37平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,28人关注 / 一年前发布,96.5,"5,043元/平"
仿古街7号 5室2厅 北,仿古街7号 -绵竹市,5室2厅 | 168.05平米 | 北 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 8个月以前发布,60,"3,571元/平"
水韵江南 3室2厅 东南,水韵江南 -五洲广场,3室2厅 | 128平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,88,"6,875元/平"
黄河片区 上水湾 精装套三双卫 带平台 全屋暖气,上水湾 -黄河片区,3室2厅 | 106.69平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 24天以前发布,84.8,"7,949元/平"
城中低楼层步梯优质4楼购物交通便利,开心大院 -广汉市,2室1厅 | 75.84平米 | 西北 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 29天以前发布,30,"3,956元/平"
东泰帝景国际 3室2厅 南,东泰帝景国际 -广汉市,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共10层)  | 板塔结合,0人关注 / 1个月以前发布,110,"8,149元/平"
仁合府小区中庭   横厅设计  南北通透,鸿成仁合府 -高铁新区,4室2厅 | 125.17平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 22天以前发布,71.8,"5,737元/平"
此房刚交房两年多的次新房两梯四户，户型通透得房率高,天悦湾 -五洲广场,3室2厅 | 118.9平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 8天以前发布,130.7,"10,993元/平"
雒城一号 一梯两户洋房 南北通透户型 有证可按揭,雒城一号A区 -广汉市,3室2厅 | 133.65平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 8天以前发布,80,"5,986元/平"
裕熙园 3室2厅 南 北,裕熙园 -102生活广场,3室2厅 | 134平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,68,"5,075元/平"
中区检察院宿舍 3室1厅 南 北,中区检察院宿舍 -石刻,3室1厅 | 75.33平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,29,"3,850元/平"
爱德华庭 精装3室拎包入住  采光通透 户型方正,爱德华庭 -工农村,3室1厅 | 93.5平米 | 东南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 4天以前发布,63.8,"6,824元/平"
圣芭芭拉小镇必看好房！！！！欢迎了解。,圣芭芭拉小镇 -广汉市,6室4厅 | 257平米 | 东北 | 毛坯 | 3层  | 板楼 | 独栋别墅 ,2人关注 / 一年前发布,260,"10,117元/平"
黄河片区  东屏小区  三室两厅两卫  精装房,东屏小区 -黄河片区,3室2厅 | 117平米 | 东 | 其他 | 高楼层(共6层)  | 塔楼,5人关注 / 一年前发布,68,"5,812元/平"
玫瑰湾大   户型               清水房,玫瑰湾 -黄河片区,8室2厅 | 354.54平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,11人关注 / 一年前发布,225,"6,347元/平"
房东诚心出售 城北品质小区  精装大套三,万兴一品 -广汉市,3室2厅 | 159平米 | 北 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 5个月以前发布,127,"7,988元/平"
知汇华庭精装套二屋顶带私家花园 老证诚心出售,知汇华庭 -工农村,2室2厅 | 75.72平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 13天以前发布,56.8,"7,502元/平"
滨河东路二段103号 2室2厅 南,滨河东路二段103号 -绵竹市,2室2厅 | 85.91平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,26.8,"3,120元/平"
市中 心，周 边配套齐全，地理位置优越,东轴小区 -广汉市,2室1厅 | 58.1平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,15,"2,582元/平"
雒城印象 3室1厅 西南,雒城印象 -广汉市,3室1厅 | 111平米 | 西南 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 16天以前发布,89,"8,019元/平"
优筑天府城 3室2厅 南,优筑天府城 -广汉市,3室2厅 | 106.77平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,66,"6,182元/平"
城南经典新房  采光好实线好  正对中庭园林景观,吾悦华府 -工农村,3室2厅 | 106平米 | 东 西 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 17天以前发布,63,"5,944元/平"
优筑天府城 中间楼层 套四双卫,优筑天府城 -广汉市,4室1厅 | 130.94平米 | 东北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,70,"5,346元/平"
邮电小区 3室2厅 东南 南 西南 西北 北,邮电小区 -旌东,3室2厅 | 145.06平米 | 东南 南 西南 西北 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,55,"3,792元/平"
福馨苑 3室2厅 南,福馨苑 -广汉市,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,0人关注 / 14天以前发布,39.8,"3,791元/平"
中融大名城 1室0厅 东南,中融大名城 -工农村,1室0厅 | 48.5平米 | 东南 | 精装 | 高楼层(共37层)  | 塔楼,0人关注 / 5天以前发布,42.6,"8,784元/平"
春锦花园 3室2厅 南,春锦花园 -玉泉,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 16天以前发布,63.8,"5,548元/平"
有证满二低税小高层 房子看好你报价我来谈,万兴一品 -广汉市,3室1厅 | 123.49平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,1人关注 / 12天以前发布,78,"6,317元/平"
此房采光好， 生活便利，环境好，小区安保负责,鑫沙时代 -岷山路小学,4室2厅 | 118.68平米 | 东 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,86,"7,247元/平"
水印城邦 精装套三 户型方正 视野开阔  满二低税,水映城邦 -广汉市,3室1厅 | 105平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 10天以前发布,62.8,"5,981元/平"
万兴一品 3室1厅 东北,万兴一品 -广汉市,3室1厅 | 114平米 | 东北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 15天以前发布,96.8,"8,492元/平"
嘉利广场 3室2厅 东,嘉利广场 -高铁新区,3室2厅 | 125.1平米 | 东 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 9天以前发布,73.5,"5,876元/平"
楼层好视野开阔，户型方正，采光好，交通便利,保利翡丽湾（A区） -柳梢堰,3室2厅 | 118平米 | 东 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 15天以前发布,91.8,"7,780元/平"
楼层好视野开阔，户型方正，采光好，交通便利,保利翡丽湾（A区） -柳梢堰,3室2厅 | 118平米 | 东 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 15天以前发布,91.8,"7,780元/平"
嘉利广场 3室2厅 东,嘉利广场 -高铁新区,3室2厅 | 125.1平米 | 东 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 9天以前发布,73.5,"5,876元/平"
越地香港花园 3室2厅 东,越地香港花园 -广汉市,3室2厅 | 98平米 | 东 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 9天以前发布,53.8,"5,490元/平"
金地丽景3室2厅1厨2卫，95.42平米,金地丽景 -旌阳区,3室2厅 | 95.42平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,56,"5,869元/平"
川师学府城，三室双卫，满二低税看房方便！,川师学府城 -广汉市,3室2厅 | 117.1平米 | 东南 | 毛坯 | 低楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,70,"5,978元/平"
经典上城3室2厅交通便利环境干净舒适适合居住,经典上城 -广汉市,3室2厅 | 108.43平米 | 东南 | 简装 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,68.5,"6,318元/平"
玉泉片区 阳光高地单价6600的标准3房 朝南,阳光高地 -玉泉,3室2厅 | 93平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,58,"6,237元/平"
东湖山近  配套齐全  户型通透  精装三室,南泉路511号 -玉泉,3室2厅 | 132.51平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,70.8,"5,343元/平"
旌城丽都，三室两厅两卫，89.8万！！！！,旌城丽都 -玉泉,3室2厅 | 134.05平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,75,"5,595元/平"
主城区，套三，居家装修，出门小吃街，生活便利,万寿街二段24号 -广汉市,3室2厅 | 92.78平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,6人关注 / 8个月以前发布,26.5,"2,857元/平"
一楼带60平花园，带产权车位，对着鲜花广场,剑桥城 -绵竹市,3室2厅 | 106.67平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,48,"4,500元/平"
近沃尔玛，德阳五中，中间楼层，南北朝向,天山南路一段3号 -旌东,3室1厅 | 124平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 8个月以前发布,49.5,"3,992元/平"
时代星岛 3室2厅 顶跃带花园 交通便利  适合居住,时代星岛2期 -德什路口,3室2厅 | 143.58平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,67,"4,667元/平"
龙湾上城3-2-1-2 120.69m² 112 万,龙湾上城 -城北,3室2厅 | 120.69平米 | 东 西 西北 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,106.8,"8,850元/平"
河景房，大户型顶楼带118平花园，震后房,怡河人家 -绵竹市,4室3厅 | 177.75平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 7个月以前发布,56,"3,151元/平"
房主真心售卖，看房需提前预约。,万兴佳苑 -玉泉,3室1厅 | 131.63平米 | 西南 东北 | 简装 | 低楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,62.5,"4,749元/平"
剑桥城大小区 电梯洋房，三室两卫清水,剑桥城 -绵竹市,3室2厅 | 107.09平米 | 东 西 | 毛坯 | 中楼层(共11层)  | 暂无数据,3人关注 / 8个月以前发布,45,"4,203元/平"
出行方便 ，户型方正，适合居家，配套成熟,力创嘉园 -旌东,3室2厅 | 97.18平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,66,"6,792元/平"
此房满五唯一楼层好，采光好，价格适中,白河巷46号 -文庙,3室1厅 | 85.71平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,35,"4,084元/平"
彩虹桥 五中旁 大三室 电影院宿舍,电影院宿舍 -旌东,3室2厅 | 138.6平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,55,"3,969元/平"
山海天3-2-1-2好房等有缘人,山海天 -黄河片区,3室2厅 | 135.25平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,8人关注 / 一年前发布,152.8,"11,298元/平"
出行方便 户型方正 居住方便舒适,狮堰小区南区 -广汉市,3室2厅 | 110.78平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,57.8,"5,218元/平"
南街南苑大小区 配套齐全 三室两厅两卫,南苑 -绵竹市,3室2厅 | 148.59平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,50,"3,365元/平"
此房满五，小区在城南繁华地段，生活方便，房间宽敞,鼎虹嘉苑 -五洲广场,2室1厅 | 97平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 8天以前发布,49.8,"5,135元/平"
春锦花园 4楼 户型方正 视野开阔,春锦花园 -玉泉,3室2厅 | 114平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 7天以前发布,49,"4,299元/平"
卓越君城 3室1厅 东,卓越君城 -广汉市,3室1厅 | 108平米 | 东 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,78.8,"7,297元/平"
万达精装从未入住，老证空户湖，看湖视野开阔,万达华府 -万达广场,4室2厅 | 121.76平米 | 西北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,120,"9,856元/平"
房子采光好 带大入户 精装3室,秦宓小区 -城北,3室1厅 | 82平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,55.6,"6,781元/平"
旌湖明珠花园 4室2厅 东,旌湖明珠花园 -岷山路小学,4室2厅 | 236.57平米 | 东 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 10天以前发布,150,"6,341元/平"
德阳碧桂园 5室2厅 南,德阳碧桂园 -旌阳区,5室2厅 | 252平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 15天以前发布,475,"18,850元/平"
房子采光好 带大入户 精装3室,秦宓小区 -城北,3室1厅 | 82平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 2天以前发布,55.6,"6,781元/平"
德阳碧桂园 5室2厅 南,德阳碧桂园 -旌阳区,5室2厅 | 252平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,0人关注 / 15天以前发布,475,"18,850元/平"
汇乐国际 3室2厅 南,汇乐国际 -五洲广场,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 2天以前发布,119,"9,917元/平"
高铁新区新房精装修 采光好 房东自住婚房看房方便,鸿成仁合府 -高铁新区,3室2厅 | 102.85平米 | 西南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 2天以前发布,73,"7,098元/平"
此房老证，户型方正，6跃7，客厅挑高，居住方便舒适。,德外花园 -玉泉,6室3厅 | 181.23平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,114.8,"6,335元/平"
城南品质清水套三，居家自住的不二选择,雍锦坊 -广汉市,3室2厅 | 102平米 | 东 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,50,"4,902元/平"
城东河景房 视野开阔 位层还好 房东诚心诚意出售,奥园玖珑湾 -广汉市,5室1厅 | 136.1平米 | 东北 | 其他 | 高楼层(共14层)  | 板塔结合,0人关注 / 1个月以前发布,103,"7,568元/平"
城南优质精装套三，带地暖，装修巴士,雍锦坊 -广汉市,3室2厅 | 108.15平米 | 东南 | 其他 | 低楼层(共12层)  | 塔楼,0人关注 / 1个月以前发布,68,"6,288元/平"
房东诚心出售，欢迎看房，小区配套完善,月明风清 -广汉市,4室2厅 | 156.17平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,59.8,"3,830元/平"
万达商圈 玫瑰园旁 顺兴苑精装两室南北朝向 看房方便,顺兴苑 -黄河片区,2室2厅 | 91平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"7,671元/平"
旌东 山水雅苑  中装三室双卫。房东诚心出售,山水雅苑 -玉泉,3室2厅 | 142平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,90,"6,339元/平"
育松园 4室2厅 南 北,育松园 -广汉市,4室2厅 | 159平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,2人关注 / 7个月以前发布,51.6,"3,246元/平"
城北金桂苑，07年左右多层，顶跃带大花园,金桂苑 -东电生活区,5室2厅 | 187.6平米 | 东 | 其他 | 高楼层(共6层)  | 塔楼,13人关注 / 一年前发布,76,"4,052元/平"
东街61号 3室2厅 南 北,东街61号 -石刻,3室2厅 | 128平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,13人关注 / 一年前发布,47.8,"3,735元/平"
此房老证，位于市中 心位置，交通方便，小区有停车位,文庙小区 -文庙,3室2厅 | 155平米 | 东 东南 南 西南 | 其他 | 高楼层(共7层)  | 板楼,28人关注 / 一年前发布,58,"3,742元/平"
城中品质小区 配套成熟 业主诚心出售 看房方便,房湖苑 -广汉市,4室2厅 | 147.7平米 | 南 北 | 其他 | 低楼层(共8层)  | 板塔结合,0人关注 / 6个月以前发布,60,"4,063元/平"
