标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
此房满五唯一，南北通透，价格便宜，婚房精装,上城梦想 -元宝区,2室2厅 | 89平米 | 北 南 | 精装 | 高楼层(共31层)  | 塔楼,7人关注 / 6个月以前发布,68,"7,641元/平"
绿云嘉园 精装婚房两居 采光视野好 看房有钥匙,绿云嘉园 -振安区,2室1厅 | 55平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 28天以前发布,33.9,"6,164元/平"
保利锦江林语格局好 采光好 房主诚心出售,保利锦江林语 -振兴区,2室2厅 | 113平米 | 东南 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,65,"5,753元/平"
配套设施全，封闭园区，靠江。十七中，金汤,东海小区 -元宝区,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,3人关注 / 4个月以前发布,58,"4,361元/平"
中联江景电梯3楼121平138万3室2厅精装修,中联江景 -振兴区,3室2厅 | 121.48平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,5人关注 / 一年前发布,130,"10,702元/平"
鑫泰家园 通透户型 采光好 装修房主保持得好,鑫泰家园 -振兴区,2室2厅 | 114平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,99.8,"8,755元/平"
柏林大道 三室两卫精装修 两个南向卧室 无遮挡,柏林大道 -振兴区,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,115,"9,127元/平"
此房 通透格局  视野宽阔 采光充足,博林·印象 -振兴区,2室1厅 | 79平米 | 东 南 | 精装 | 低楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,56,"7,089元/平"
麦克小区 金汤十七 看房方便 阳光好,麦克小区 -元宝区,2室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 31天以前发布,58.8,"5,445元/平"
繁华地段，交通方便，户型板正，阳光明媚，配套齐全,知春园 -振兴区,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,70,"8,537元/平"
万达商圈精装修大三居，拎包即住，唯一住房，看房方便,万达华府 -振兴区,3室2厅 | 142.74平米 | 东 西 | 精装 | 低楼层(共32层)  | 板楼,8人关注 / 一年前发布,108,"7,567元/平"
绸二新区，电梯中层，精装修，阳光充足，私产可贷款,绸二新区南区 -元宝区,3室2厅 | 97.17平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,5人关注 / 一年前发布,59.8,"6,155元/平"
汇友大厦 一线江景房 采光充足 可贷款,汇友大厦 -振兴区,2室1厅 | 90平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,48,"5,334元/平"
小区位置好，户型方正，采光好  好好好,银河湾(振兴区) -振兴区,3室2厅 | 127.77平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,75.3,"5,894元/平"
知春园 红房 价格美丽 可贷款,知春园 -振兴区,3室2厅 | 123.73平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,21人关注 / 8个月以前发布,80,"6,466元/平"
锦江佳园，两室精装，户型板正，满五唯一支持贷款,锦江佳园 -振兴区,2室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 19天以前发布,104,"10,834元/平"
山水龙城 阳光好 无遮挡 出行便利。,山水龙城 -元宝区,2室1厅 | 51.92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 23天以前发布,15,"2,890元/平"
绿丹江苑南区 电梯15楼 正向 商品房 能看江,绿丹江苑南区 -振安区,2室1厅 | 88.01平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,25人关注 / 一年前发布,52,"5,909元/平"
女人街 宝山新城 精装两居 可贷款 阳光好,金海寶山新城 -元宝区,2室1厅 | 67.4平米 | 东 西 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 11天以前发布,36.5,"5,416元/平"
南北通透 标准户型 采光无遮挡 支持各种贷款,民兴国际花园 -振安区,2室1厅 | 74平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,49.8,"6,730元/平"
此房精装修，南北通透，采光好，品质高，中高楼层,学子园 -振兴区,2室1厅 | 58平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,34.8,"6,000元/平"
学子园通透两居室，采光视野好，看房方便，,学子园 -振兴区,2室2厅 | 88.38平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 平房,1人关注 / 4个月以前发布,40,"4,526元/平"
怡山风情跃层，把边全明户型，楼上同等面积,怡山风情 -振兴区,4室2厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板楼,0人关注 / 1个月以前发布,59,"5,674元/平"
新上：绿云嘉园前排商品 步梯三层 精装婚房两居,绿云嘉园 -振安区,2室2厅 | 81平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55.8,"6,889元/平"
红房新区 一楼带花园 楼龄新 能公积金,红房新区 -振兴区,2室1厅 | 76.35平米 | 东 西 | 精装 | 低楼层(共25层)  | 板楼,25人关注 / 一年前发布,52.8,"6,916元/平"
御鑫源小区，步梯2楼，户型好，光线好，看房方便。,御鑫源 -振安区,2室1厅 | 78平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,52,"6,667元/平"
全明户型 全天阳光 南北通透  三室两厅,江景湖畔 -振兴区,3室2厅 | 122平米 | 南 西 北 | 毛坯 | 中楼层(共30层)  | 板楼,11人关注 / 一年前发布,106,"8,689元/平"
新上民兴国际 南北通透两居H户型  前排步梯3层,民兴国际花园 -振安区,2室2厅 | 91平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,62,"6,814元/平"
此房户型好 阳光充足 看房方便,知春园 -振兴区,2室1厅 | 59平米 | 东 西 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 2个月以前发布,32,"5,424元/平"
一楼，商品房，有园区，近江边，配套全,丹铁中联小区 -振兴区,2室1厅 | 68.52平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,46,"6,714元/平"
地理位置优越 交通便利 楼龄新 配套齐全 阳光视线好,七星家园 -振兴区,2室1厅 | 89平米 | 东 西 | 简装 | 高楼层(共16层)  | 板塔结合,2人关注 / 8个月以前发布,79,"8,877元/平"
阁楼小跃层     适合任何人居住,上城·左岸 -振兴区,2室2厅 | 69.9平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,39.9,"5,709元/平"
新城区，近市政府，装修两居室，采光好，拎包入住。,和顺中央花城 -振兴区,2室2厅 | 89平米 | 西南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,58,"6,517元/平"
绿丹江苑南区 2室1厅 南 北,绿丹江苑南区 -振安区,2室1厅 | 83.5平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,12人关注 / 3个月以前发布,47.9,"5,737元/平"
孟择园 步梯5层 中等装修断桥窗 看房方便 私产能贷款,孟择园 -元宝区,2室1厅 | 59平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,5人关注 / 一年前发布,25.8,"4,373元/平"
"本房屋精装修,屋内设施保存良好,拎包入住",绿云嘉园 -振安区,2室1厅 | 53.67平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,3人关注 / 8个月以前发布,31.5,"5,870元/平"
聚隆公园 户型规整 ，电梯中间楼层，干净整洁,聚隆公园 -元宝区,2室2厅 | 131.76平米 | 东 西 | 精装 | 中楼层(共11层)  | 塔楼,7人关注 / 一年前发布,105.5,"8,007元/平"
优质房源，视野好，中间楼层，格局好,华盛玫瑰港湾南区 -振安区,2室1厅 | 97.39平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,59.8,"6,141元/平"
精装修步梯2楼 地热已改随时看房,城隍庙小区 -元宝区,1室1厅 | 37.92平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,13.8,"3,640元/平"
佳兆业壹号 清水 前无遮挡 诚心出售,佳兆业壹号 -振兴区,2室1厅 | 74.24平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,4人关注 / 4个月以前发布,43,"5,793元/平"
长隆二期步梯1楼，精装修，可贷款,長隆家園 -振安区,2室2厅 | 82.56平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 3个月以前发布,49.5,"5,996元/平"
福民小区 步梯5楼精装地热婚房二室一厅拎包入住可贷款,福民小区 -振兴区,2室1厅 | 62平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 7个月以前发布,38.8,"6,259元/平"
此房步梯五楼，阳光好，精装修，商品房，私产。,绿丹江苑南区 -振安区,2室1厅 | 80平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 7个月以前发布,43,"5,375元/平"
九江丽都商品 园区中间 精装 南北通透 支持各种贷款,九江丽都 -元宝区,2室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 8个月以前发布,86,"9,348元/平"
阳光视野好 户型规整 有客厅 电梯 拎包入住,九江丽都 -元宝区,1室1厅 | 47平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,25.5,"5,426元/平"
林江名城，电梯中层，婚房装修，阳光充足，私产可贷款,林江名城 -元宝区,2室1厅 | 63.5平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,28人关注 / 一年前发布,41,"6,457元/平"
步梯三楼 双阳卧室 前后无遮挡 采光充足,东平嘉苑A区 -振安区,2室1厅 | 79.91平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,31,"3,880元/平"
女人街宝山新城，电梯高层非顶，阳光好，看房方便,金海寶山新城 -元宝区,1室1厅 | 47平米 | 南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,16.8,"3,575元/平"
电梯八楼  南向一室一厅阳光好,绿丹江苑南区 -振安区,1室1厅 | 58平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,23.5,"4,052元/平"
简单装修，阳光好 视野好 户型好 楼层好， 交通便利,水源路小区 -振安区,2室1厅 | 62.1平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,27,"4,348元/平"
此房 通透户型 楼层好 二楼 配套齐全 交通便利,朝凤二小区2号大院 -元宝区,2室1厅 | 76平米 | 东 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 31天以前发布,45.8,"6,027元/平"
华盛名居 电梯高层一线江景 大H户型 支持贷款,华盛名居 -振安区,2室1厅 | 87平米 | 东 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,60,"6,897元/平"
林江名城 电梯19楼   无遮挡  视野好,林江名城 -元宝区,3室1厅 | 111.11平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,96人关注 / 一年前发布,59.5,"5,356元/平"
此房户型十分板正标准精装修间宽敞明亮,丹建佳园 -元宝区,2室1厅 | 113平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,78,"6,903元/平"
知春园 电梯 拎包入住 房主急售,知春园 -振兴区,2室1厅 | 71.56平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,55,"7,686元/平"
房主急售 婚房精装修 阳光充足 楼间距大,柏林大道 -振兴区,2室2厅 | 91平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,86,"9,451元/平"
精装婚房 南北通透 可以贷款 商品房,河畔花园 -振兴区,2室2厅 | 84平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,60,"7,143元/平"
知春园 电梯中层 三室 采光好 视野好,知春园 -振兴区,3室2厅 | 193平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,19人关注 / 一年前发布,135,"6,995元/平"
万达大商品房两居室，阳光刺眼，能看江看新区大桥,万达华府 -振兴区,2室2厅 | 93平米 | 东 西 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,92,"9,893元/平"
八道伊山风景电梯跃层商品房 通透户型可贷款,金地•伊山风景 -元宝区,2室2厅 | 78平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,11人关注 / 一年前发布,60,"7,693元/平"
此房中楼层，东西格局，楼层好，视野宽调，采光充足,通江小区 -元宝区,2室1厅 | 70平米 | 东 西 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,32,"4,572元/平"
柏林大道 前排江景 精装修 可贷款,柏林大道 -振兴区,2室2厅 | 87平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,85,"9,771元/平"
锦绣华城，南北通透，光线好，安东老街，万达商圈,锦绣華城 -振兴区,2室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,1人关注 / 1个月以前发布,104.9,"9,202元/平"
铁城家园商品 一室一厅阳光好带1000平阳光可贷款,铁成佳园 -元宝区,1室1厅 | 51.2平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,38.8,"7,579元/平"
金山翰林苑  采光好，视野开阔，出行方便,嘉利金山翰林苑 -元宝区,2室2厅 | 102.24平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,51.3,"5,018元/平"
御景苑三期  几乎可以说 没有坡  精装修,御景苑三期 -元宝区,2室1厅 | 73平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,99人关注 / 一年前发布,32,"4,384元/平"
此房朝向好，中间楼层，无遮挡，优质户型,太阳尚品 -振兴区,3室1厅 | 130平米 | 西南 | 毛坯 | 低楼层(共25层)  | 板楼,13人关注 / 一年前发布,45.5,"3,500元/平"
电梯高层，视野开阔，光线不当，支持各种贷款。。,华盛玫瑰港湾南区 -振安区,3室1厅 | 142平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,109.5,"7,712元/平"
十九 商品房 南北通透 采光好  生活配套齐全,锦江佳园 -振兴区,2室2厅 | 98.84平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,99.5,"10,067元/平"
电梯中层  万达商圈 十九中 精装修 楼龄新  采光充足,天堃▪金鼎家园 -振兴区,2室1厅 | 81.8平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,73,"8,925元/平"
商品房 3室 电梯中层， 格局规整 前后无遮挡 光..,林江名城 -元宝区,3室2厅 | 135.48平米 | 南 北 | 简装 | 低楼层(共23层)  | 板塔结合,5人关注 / 4个月以前发布,103,"7,603元/平"
金海永安花园 2室1厅 东 西,金海永安花园 -元宝区,2室1厅 | 80.93平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,59.8,"7,390元/平"
益荣佳园 地热精装 步梯4楼 光线好 拎包入住,益荣佳园 -振兴区,2室1厅 | 87.05平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,49.8,"5,721元/平"
御鑫源小区步梯好楼层，东西通透，商品房，拎包即住,御鑫源 -振安区,2室1厅 | 77.87平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,46,"5,908元/平"
电梯3楼 精装修地热  带大平台,德龍家园 -振兴区,2室1厅 | 93平米 | 南 北 | 其他 | 低楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,79,"8,495元/平"
百合家园，南北通透，阳光好，此房满5年，户型好,百和家园 -振兴区,2室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 3个月以前发布,75.5,"7,331元/平"
金海澜山  回迁 电梯 中层  阳光好,金海澜山 -元宝区,1室1厅 | 47.74平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,16.5,"3,457元/平"
九江丽都商品 园区中间 精装 南北通透 支持各种贷款。,九江丽都 -元宝区,2室2厅 | 91.25平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,83.8,"9,184元/平"
万达华府 新出精装二室 拎包即住 户型规整,万达华府 -振兴区,2室1厅 | 61.38平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,55.5,"9,043元/平"
军苑小区步梯中层采光好 简单装修 可按揭,军苑新村 -振兴区,2室1厅 | 66.21平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,38.5,"5,815元/平"
城市枫景 三室户型 精装修 电梯中层,城市枫景 -振兴区,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 3个月以前发布,56,"5,895元/平"
婚房装修 房子基本没住过一线江景视野无遮挡采光充足,滨江壹号 -振兴区,2室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,62,"5,741元/平"
金海宝山新城一楼带花园，封闭园区，精装修。,金海寶山新城 -元宝区,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,2人关注 / 3个月以前发布,120,"8,276元/平"
此房格局规整，视野好交通方便地点优越,虹桥小区 -元宝区,2室1厅 | 55.86平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,29人关注 / 11个月以前发布,20,"3,581元/平"
满五唯一，商品房，大H户型，采光无遮挡。,绿丹公寓 -振兴区,2室2厅 | 113.79平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,73.5,"6,460元/平"
福民19步梯矮楼层，阳光好，位置好。,福民小区 -振兴区,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,23.8,"3,967元/平"
