标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
永成世纪名门 3室2厅 南,永成世纪名门 -乾州,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,49.8,"3,953元/平"
世纪山水 高层视野开阔 独栋 无遮挡 房东诚心出售,世纪山水 -乾州,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,4人关注 / 一年前发布,68.6,"5,277元/平"
高新区蓝天御景大四房房东诚心出售,蓝天御景 -经开区,4室2厅 | 160.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 10个月以前发布,69.8,"4,336元/平"
乾州新区燕子岩大户型看整个乾州住宅小区,燕子岩安置房 -乾州,4室2厅 | 147.51平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,48.8,"3,309元/平"
房东诚心出售，价格优惠，小区人车分流,金坪家园 -乾州,4室2厅 | 129.43平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,3人关注 / 6个月以前发布,43,"3,323元/平"
经开区四房 采光好 楼层好 带大露台出售,仁安·御香山 -经开区,4室2厅 | 141平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,88,"6,242元/平"
华商国际，通透电梯3房，带一个地下车位！,华商国际城 -乾州,3室2厅 | 126.5平米 | 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,66.8,"5,281元/平"
房东诚心出售含泪都处理，房子太多无法了,大汉新城 -吉首,4室2厅 | 127.34平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,51,"4,006元/平"
楼层好，采光好，诚信出售，单价低。,吉盟天下一期 -吉首,4室2厅 | 128.99平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,47.5,"3,683元/平"
户型周正，楼层好，采光好，房东诚心，先到先得。,吉盟天下一期 -吉首,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,50,"3,847元/平"
大汉3期腾龙府 56万大4房 单价3700现房 客厅视野开阔,大汉新城 -吉首,4室2厅 | 150.85平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,4人关注 / 5个月以前发布,51.3,"3,401元/平"
一梯两户，空气对流，小高层，绿化大！,荣昌裕隆世纪山庄（新城花园） -乾州,3室2厅 | 128平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,61.8,"4,829元/平"
高层三房户型周正，视野开阔看河，小区环境好,金坪家园 -乾州,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,32,"2,858元/平"
急售！吉盟4房，48.8万！中高层，视野无遮挡,吉盟天下一期 -吉首,4室2厅 | 128.99平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,41.5,"3,218元/平"
有些高度，只能与同等高度的人谈，精装复式楼。,建基·锦绣香江 -吉首,4室2厅 | 202平米 | 东南 | 精装 | 高楼层(共11层)  | 塔楼,4人关注 / 3个月以前发布,108,"5,347元/平"
乾州1路主干道华商国际新上电梯三房 拎包入住,华商国际城 -乾州,3室2厅 | 122.3平米 | 东南 | 精装 | 高楼层(共16层)  | 塔楼,1人关注 / 1个月以前发布,62.8,"5,135元/平"
高新区蓝天御景三房户型周正看房方便,蓝天御景 -经开区,3室2厅 | 128.2平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 10个月以前发布,59.8,"4,665元/平"
经开区大四房 采光好 电梯房 户型周正,仁安·御香山 -经开区,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,78,"5,455元/平"
乾州，经开区大四房，视野开阔，户型周正，一梯一户,湘泉世纪领域 -乾州,4室2厅 | 165.86平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,72.8,"4,390元/平"
乾州九龙山庄全新装修未入住三房，房东诚心出售,九龍山莊 -乾州,3室2厅 | 134.86平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,52.8,"3,916元/平"
房子三面采光，户型周正，120平37万中间楼层急卖,市国土资源收购储备中心宿舍 -吉首,3室2厅 | 120.08平米 | 北 | 简装 | 中楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,35.8,"2,982元/平"
小区交通方便，环境优雅舒适，房东诚心出售,大汉新城 -吉首,3室2厅 | 98.95平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,35,"3,538元/平"
乾州世纪山水旁电梯精装房拎包入住家电齐全随时可看房,云峰社区2-3号 -乾州,1室1厅 | 35.86平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,17,"4,741元/平"
新吉大南门 装修小户型 可直接拎包入住,大汉新城 -吉首,1室1厅 | 42.57平米 | 西 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 4个月以前发布,18.8,"4,417元/平"
新吉大南门 可出租可自住  拎包入住,帝景豪庭 -吉首,2室1厅 | 40.24平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,10人关注 / 6个月以前发布,24,"5,965元/平"
经开区状元首付空置毛坯业主不在本地便宜出售,状元首府 -经开区,2室2厅 | 69.53平米 | 北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 24天以前发布,41,"5,897元/平"
乾州芙蓉学 校旁 滨江新城 精装修 家电家具齐全,滨江新城 -乾州,3室2厅 | 122.67平米 | 西南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,70.8,"5,772元/平"
半山公馆装修两房 全明格局带入户花园保养好 拎包入住,半山公馆 -吉首,2室2厅 | 124.68平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,5人关注 / 一年前发布,52.8,"4,235元/平"
状元首府 3室2厅 西南,状元首府 -经开区,3室2厅 | 126.04平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,71.8,"5,697元/平"
文艺路三房改两房，房东自己设计 室内家具纯实木打造,武陵1号 -吉首,3室2厅 | 107.85平米 | 东南 | 精装 | 低楼层(共28层)  | 塔楼,1人关注 / 一年前发布,49,"4,544元/平"
吉首市，经开区状元首府，新上电梯毛坯三房，价格可谈,状元首府 -经开区,3室2厅 | 89.51平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,55,"6,145元/平"
此房契税满二，高新区文化广场旁生活、交通便利,溶江一号 -经开区,3室2厅 | 125.76平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板楼,5人关注 / 一年前发布,62,"4,931元/平"
碧桂园一期大平层来咯  想要大房子的看过来,吉首碧桂园 -吉首,5室2厅 | 262.93平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,150,"5,705元/平"
房子诚心出售，看房方便，带车位,华商国际城 -乾州,3室2厅 | 127平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,65,"5,119元/平"
乾州CBD位置仅有的电梯3房只需48万,军天学府苑小区 -乾州,3室1厅 | 107平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 11个月以前发布,48,"4,486元/平"
乾州精装复式楼带两层大露台，精装保存好，3000一平,包蒙苑 -乾州,6室2厅 | 299平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,80,"2,676元/平"
高铁新城四代住宅 首付12.5W 月供2900 低于市C价,世纪山水·天麓城 -乾州,4室2厅 | 126.02平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,3人关注 / 10个月以前发布,57.8,"4,587元/平"
小区交通便利，出行方便，房屋采光充足，房东诚心出手,燕子岩安置房 -乾州,3室2厅 | 106.57平米 | 东 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,46.8,"4,392元/平"
一  小旁电梯三房双阳台一梯两户小高层诚心出售,诚达中港花园 -吉首,3室2厅 | 127平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,7人关注 / 一年前发布,46.8,"3,686元/平"
吉盟天下 品牌精装 九成新  电梯好楼层,吉盟天下一期 -吉首,4室2厅 | 130平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,63.8,"4,908元/平"
楼层好  视野开阔 单位房  物业安全,自治州粮食局宿舍 -吉首,3室2厅 | 103.65平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,39.8,"3,840元/平"
本房源契税满二，户型通透楼层好，采光无死角,德馨嘉园 -经开区,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 3个月以前发布,58.8,"4,742元/平"
房东米有抵押房东方便， 小区板房的户型 一梯一户,溶江小区 -经开区,5室2厅 | 230平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,152,"6,609元/平"
诚信御景园三房两厅两卫三阳台，视野开阔，户型周正,诚信御景园 -乾州,3室2厅 | 131.24平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,55.5,"4,229元/平"
高层观景居家一体的综合性楼房，交通便利出行方便。,拓展▪桂芳园 -乾州,3室2厅 | 125.15平米 | 东北 | 精装 | 中楼层(共16层)  | 塔楼,1人关注 / 1个月以前发布,50.8,"4,060元/平"
人民北路3号工行宿舍带个杂物间小区停车免费物业免费,人民北路3号 -吉首,3室2厅 | 136.46平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,46,"3,371元/平"
四中边上电梯房，人车分流，小区门口,燕子岩安置房 -乾州,3室2厅 | 106.57平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,46,"4,317元/平"
经开区价格合适视野开阔，电梯高层三房小区环境好,名门江山小区 -经开区,3室2厅 | 131.03平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,65.8,"5,022元/平"
急卖  急卖  乾州单位3房，单价3095 南北朝向,博源新康 -乾州,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,39,"3,096元/平"
世纪广场人车分流小区，精装修拎包入住,盛世豪庭 -乾州,3室2厅 | 141.88平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 5个月以前发布,92.8,"6,541元/平"
烟草公司一期简装大4房，房东诚心出售,中国烟草住宅小区二期 -吉首,4室2厅 | 193.7平米 | 东南 | 简装 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,93.8,"4,843元/平"
乾州单位复式楼79.8万带22平的露台和楼顶还有露台,博源新康 -乾州,5室2厅 | 221.96平米 | 东 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,11人关注 / 一年前发布,79.8,"3,596元/平"
吉盟四室两厅，单价便宜，高楼层视野好无遮挡,吉盟天下一期 -吉首,4室2厅 | 130.66平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,46.8,"3,582元/平"
急卖  急卖  乾州单位3房，单价3095 南北朝向,博源新康 -乾州,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,39,"3,096元/平"
户型周正，采光通透，城中 心，生活便利，逛街步行,财信商贸中心 -吉首,3室2厅 | 131.93平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 4个月以前发布,61,"4,624元/平"
蓝天花园 4室2厅 东南,蓝天花园 -经开区,4室2厅 | 142.92平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,53,"3,709元/平"
滨溪花园 交通局单位房 湾溪河边 四房两厅两卫,滨溪花园小区 -经开区,3室2厅 | 146平米 | 东南 | 简装 | 低楼层(共12层)  | 暂无数据,3人关注 / 8个月以前发布,79.8,"5,466元/平"
户型通透采光无死角，业主搬迁外地，诚意出售,德馨嘉园 -经开区,4室2厅 | 141.5平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,6人关注 / 一年前发布,58,"4,099元/平"
高新区 双阳台大三房 户型周正做北朝南 视野好,牯牛城 -经开区,3室2厅 | 139.75平米 | 东南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 5个月以前发布,55,"3,936元/平"
乾州全新装修单位房，房东诚心出售。,工商花园 -乾州,3室2厅 | 134.51平米 | 东南 | 精装 | 低楼层(共13层)  | 暂无数据,0人关注 / 1个月以前发布,64.8,"4,818元/平"
御香山新上房源视野户型很好，看河，价格面谈,仁安·御香山 -经开区,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"5,072元/平"
乾州芙蓉旁边  3房  高楼层  视野开阔  业主诚心出售,金坪家园 -乾州,3室2厅 | 95.51平米 | 西北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,35.8,"3,749元/平"
溶江小区州长楼，一梯一户带车库。随时看房。视野好,溶江小区 -经开区,5室2厅 | 230平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,162.8,"7,079元/平"
附 小隔壁 碧桂园三房 楼层好 视线好 出门就是公园,碧桂园中央公园 -经开区,3室2厅 | 111.83平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,57.8,"5,169元/平"
溶江小区A区河景房 水电已走 中 央空调 视线开阔,溶江小区 -经开区,4室2厅 | 140.06平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,88.8,"6,341元/平"
目前优质的一套复式楼，楼下就是公交站,帝景豪庭 -吉首,3室2厅 | 105.49平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,40.6,"3,849元/平"
出售湘山银都精装电梯三房 家电齐全 直接入住,湘山银都 -吉首,3室2厅 | 129平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,39.8,"3,086元/平"
此房楼层适中，契税满二，房子干净整洁 一房一厅可,荣昌裕隆世纪山庄（新城花园） -乾州,1室1厅 | 48.17平米 | 东南 | 简装 | 中楼层(共19层)  | 塔楼,0人关注 / 11个月以前发布,25.8,"5,357元/平"
经开区 两房两厅两卫 户型通透住家舒适业主急售,牯牛城 -经开区,2室2厅 | 89.42平米 | 东南 | 毛坯 | 低楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,39.7,"4,440元/平"
经开区，南北户型采光好 出门交通便利 户型周正,太平洋家园 -经开区,3室2厅 | 153.17平米 | 东 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,65,"4,244元/平"
世纪山水两房，房子位置好视野广可看世纪山水人工湖,世纪山水 -乾州,2室2厅 | 83.56平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,7人关注 / 一年前发布,49.8,"5,960元/平"
户型周正，通透，采光好，房东诚心，好楼层。,吉盟天下一期 -吉首,4室2厅 | 130平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,45,"3,462元/平"
公积金可取可贷，89平2+1户型，中间楼层,吉盟天下一期 -吉首,3室2厅 | 89.6平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,37.8,"4,219元/平"
此房契税满2年 好楼层，视野开阔，购物上学方便,大汉新城 -吉首,2室2厅 | 86.24平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,34.48,"3,999元/平"
人民中路精装3房，交通方便，单位房，免物业,四零五小区 -乾州,3室2厅 | 123.84平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,47.8,"3,860元/平"
120平，半装修3房，单价4840一平，环境优美，户型周正,吉盟天下一期 -吉首,3室2厅 | 119.83平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,3人关注 / 一年前发布,49.8,"4,156元/平"
乾州，华商国际2房，户型周正，采光良好,华商国际城 -乾州,2室2厅 | 83.37平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,42.8,"5,134元/平"
西辰幸福里 3室2厅 南,西辰幸福里 -乾州,3室2厅 | 122.1平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,3人关注 / 一年前发布,48.8,"3,997元/平"
经开区毛坯大三房 楼层好 采光好 价格可商量,蓝天花园 -经开区,3室2厅 | 122.31平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,45.8,"3,745元/平"
房子诚心出售，价格优惠楼层好，采光不错可以随时看房,万利世家 -吉首,3室1厅 | 107.39平米 | 东南 | 毛坯 | 中楼层(共13层)  | 板塔结合,0人关注 / 一年前发布,45,"4,191元/平"
乾州新区诚信御景园毛坯3房大阳台,诚信御景园 -乾州,3室2厅 | 133平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 6个月以前发布,63,"4,737元/平"
价格特优越的装修高层电梯大3房，,拓展▪桂芳园 -乾州,3室2厅 | 124.5平米 | 东南 | 简装 | 高楼层(共16层)  | 塔楼,11人关注 / 一年前发布,49.4,"3,968元/平"
乾州新区诚信御景园毛坯3房大阳台,诚信御景园 -乾州,3室2厅 | 133平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 6个月以前发布,63,"4,737元/平"
蓝天花园小高层大三房，业主置换诚意出售该房产,蓝天花园 -经开区,3室2厅 | 128.99平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,45.8,"3,551元/平"
