标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
玫瑰苑 套三清水 中间楼层 采光通风好,玫瑰苑 -雁江区,3室2厅 | 104.8平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,65,"6,203元/平"
圣桦名城 大户型套四双卫 小高层清水出售,圣桦名城 -雁江区,4室2厅 | 128平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,88,"6,875元/平"
爱花园的看过来 圣桦名城109平套三双卫 毛胚,圣桦名城 -雁江区,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 7个月以前发布,78.6,"7,212元/平"
圣高旁圣华名城套三双卫朝南，清水可随意装修，高层,圣桦名城 -雁江区,3室2厅 | 94平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,55.6,"5,915元/平"
地铁口 华府熙城套三双卫清水 满二 随时过户,东能华府熙城 -雁江区,3室2厅 | 100.43平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 23天以前发布,65,"6,473元/平"
香樟苑，套二精装，拎包入住，随时看房,世纪城香樟苑 -雁江区,2室1厅 | 74.57平米 | 东南 | 精装 | 低楼层(共7层)  | 塔楼,1人关注 / 5个月以前发布,42,"5,633元/平"
出售御府国际套二清水房 24楼 客厅开间大 户型方正,御府国际 -雁江区,2室2厅 | 81.79平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,1人关注 / 7个月以前发布,46.8,"5,722元/平"
翠竹苑顶楼带花园清水房便宜出售,宝莲苑 -雁江区,2室1厅 | 43.82平米 | 南 东南 东 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,26.5,"6,048元/平"
圣高广场旁圣桦名城交通便利小区环境干净舒适适合居住,圣桦名城 -雁江区,3室2厅 | 83.48平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 11个月以前发布,49.8,"5,966元/平"
急售弘乐府二期 2室2厅 价格可谈,弘乐府二期 -雁江区,2室2厅 | 83.42平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,44.8,"5,371元/平"
急售！弘城水韵88平套三双卫精装修好房出售啦！,中城建弘城水韵 -雁江区,3室2厅 | 87.99平米 | 西 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 11个月以前发布,65,"7,388元/平"
急售恒大城108平精装修套三双卫,恒大城一期 -雁江区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 10个月以前发布,62,"5,741元/平"
急售！ 城南春天套三精装原房东精装从来没有住过。。,城南春天 -雁江区,3室2厅 | 97平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 14天以前发布,61.8,"6,372元/平"
博雅花园 跃层清水 带花园 视野开阔,博雅花园A区一期 -雁江区,4室2厅 | 185.58平米 | 东 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,75,"4,042元/平"
圣高旁 江景套二 大地市场 吴仲良 东城一号 配套齐全,东城1号 -雁江区,2室2厅 | 75平米 | 西北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,42,"5,600元/平"
精装套三，房屋保护的很好，很新,玫瑰苑 -雁江区,3室1厅 | 75.7平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,55.6,"7,345元/平"
三贤公园 弘乐府二期 毛坯套二 南北通透 户型方正,弘乐府二期 -雁江区,2室2厅 | 83.42平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,48.8,"5,850元/平"
圣高旁 沱东印象 精装套三 拎包入住 中医院旁,沱东印象 -雁江区,3室2厅 | 90.31平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,64.8,"7,176元/平"
套二二厅一卫精装修好房，配套成熟位置好,弘乐府公园一号 -雁江区,2室2厅 | 84.32平米 | 东南 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,49.8,"5,907元/平"
圣桦名城 清水套二， 面积小 总价低，设施完善,圣桦名城 -雁江区,3室2厅 | 83.49平米 | 西南 | 毛坯 | 低楼层(共28层)  | 板楼,2人关注 / 11个月以前发布,49.8,"5,965元/平"
教育园区优品道资溪学府套三清水,优品道资溪学府 -雁江区,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,59,"6,556元/平"
房东急售，套二精装，拎包入住。家具家电齐全,鲜花香榭 -雁江区,2室1厅 | 82.32平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,40.8,"4,957元/平"
出售沱东印象套三单卫全新精装家具家电齐全,沱东印象 -雁江区,3室1厅 | 90.18平米 | 东 东南 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,63.8,"7,075元/平"
城南好位子 清水套二 侧面看沱江,城南春天 -雁江区,2室2厅 | 78.35平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,39.5,"5,042元/平"
九曲花园达广场电力小区套三户型方正中间好楼层,电力公司小区 -雁江区,3室2厅 | 70平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,18.8,"2,686元/平"
万达 恒大名都套三单卫 精装 全新家具,恒大名都（资阳） -雁江区,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 6个月以前发布,58,"6,445元/平"
金山名苑业主急售，精致装修，拎包入住！！！！,金山名苑 -雁江区,2室2厅 | 98.52平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,45,"4,568元/平"
弘城水韵 3室2厅双卫清水  好楼层 客厅朝南,中城建弘城水韵 -雁江区,3室2厅 | 106平米 | 西南 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 10个月以前发布,68.6,"6,472元/平"
和平路新华书店。 套二精装修。,和平北路91号 -雁江区,2室1厅 | 60平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,28.8,"4,800元/平"
三贤刘家湾小区  步梯矮楼层   配套齐全,刘家湾安置房小区 -雁江区,2室1厅 | 70平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 5天以前发布,32.8,"4,686元/平"
出售圣桦名城套三双卫清水对外户型,圣桦名城 -雁江区,3室1厅 | 84平米 | 西南 西 西北 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 4天以前发布,49.89,"5,940元/平"
出售获得出场精装修套二 正看小区中庭,恒大城一期 -雁江区,2室2厅 | 91平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,68,"7,473元/平"
三贤商圈 狮子山小区 一楼套三 简单装修空房子,狮子山小区 -雁江区,3室2厅 | 70平米 | 东 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,29.8,"4,258元/平"
三贤公园旁京华国际套二清水户型方正采光好中间楼层！,京华国际 -雁江区,2室2厅 | 74.15平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1天以前发布,46.8,"6,312元/平"
出售凯旋国际精装套三双卫，全新装修，家具家电齐全,筑鼎凯旋国际 -雁江区,3室2厅 | 102平米 | 东南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,81.8,"8,020元/平"
江南花都 套三双卫 家电齐全小区24小时安保汽车总站,江南花都 -雁江区,3室2厅 | 105.2平米 | 东南 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,60.8,"5,780元/平"
圣高广场旁东城一号2期中高楼层清水套三双卫,东城1号二期 -雁江区,3室2厅 | 106平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,60.8,"5,736元/平"
恒大名都套三精装修无家具家电102平米,恒大名都（资阳） -雁江区,3室2厅 | 102.2平米 | 东南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"6,830元/平"
急售 圣桦名城 精装修套三双卫 拎包入住通地下室,圣桦名城 -雁江区,3室2厅 | 84平米 | 东南 西北 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,68,"8,096元/平"
雁江华府清水套三双卫顶跃带花园,雁江华府 -雁江区,3室2厅 | 122平米 | 东 东南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 31天以前发布,95.6,"7,837元/平"
上东逸景 套三 双卫  交通 商城  购物休闲都方便,上东逸景 -雁江区,3室1厅 | 108.8平米 | 东南 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,62,"5,699元/平"
东城一号清水三房双卫业主急售可谈！,东城1号二期 -雁江区,3室2厅 | 106平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,62.6,"5,906元/平"
苌弘广场地铁口 广建小区越层带楼顶花园 房东急售可谈,广建小区 -雁江区,5室2厅 | 195平米 | 东南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,81.6,"4,185元/平"
苌弘广场地铁口 广建小区 套四清水可随意装修配套齐,广建小区 -雁江区,3室2厅 | 129平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,61.8,"4,791元/平"
爱情海户型无浪费 装修材质好 房东一直没有居住,爱琴海 -雁江区,3室2厅 | 99.58平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"7,010元/平"
天景花园 闹中取静的地方  小区环境优美,天景花园 -雁江区,4室2厅 | 143.82平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 31天以前发布,51.6,"3,588元/平"
清水现房套三即买即装修，随时看房,朗基香樾府（资阳） -雁江区,3室2厅 | 96.7平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,51,"5,275元/平"
沱东新区 中核区域 东城一号 随时看房,东城1号二期 -雁江区,3室2厅 | 113.78平米 | 西北 东北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,70.5,"6,197元/平"
圣高旁 套三双卫 上东逸景 看中庭 沱东芯,上东逸景 -雁江区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 22天以前发布,63.8,"5,548元/平"
圣高旁 朗基香樾府 精装套三双卫 拎包入住 配套成熟,朗基香樾府（资阳） -雁江区,3室2厅 | 96平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,76.8,"8,000元/平"
地铁口带花园 江宸府 三房两厅双卫 朝东,华鼎.江宸府 -雁江区,3室2厅 | 142平米 | 东南 | 毛坯 | 低楼层(共20层)  | 暂无数据,0人关注 / 27天以前发布,103,"7,254元/平"
沱东新区，圣桦名城。精装套三双卫。拎包入住,圣桦名城 -雁江区,3室2厅 | 84平米 | 西北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 23天以前发布,66.8,"7,953元/平"
沱东高铁片区 紫金台联排别墅 边户 网签更名 带1车位,紫金台 -雁江区,4室3厅 | 140平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 29天以前发布,155.8,"11,129元/平"
水润东都 3室2厅 南,水润东都 -雁江区,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,62.8,"5,323元/平"
房屋真实诚心出售欢迎看房价格可少，随时恭候您的到来,松树坪一区 -雁江区,3室2厅 | 121.89平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,44.8,"3,676元/平"
因房东个人原因.所出售此房.随时看房.随时过户,滨河花园 -雁江区,5室3厅 | 233.72平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 30天以前发布,139.8,"5,982元/平"
优品道资溪学府 4室3厅 南,优品道资溪学府 -雁江区,4室3厅 | 174.68平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 18天以前发布,128.8,"7,374元/平"
楿山国际新楼盘现房12月交房套三单卫,楿山国际 -雁江区,3室2厅 | 97.07平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 25天以前发布,49.1,"5,059元/平"
急售 鼎晟泓府 三房两厅双卫 精装修 拎包入住,鼎晟泓府 -雁江区,3室2厅 | 105平米 | 东南 | 简装 | 高楼层(共24层)  | 暂无数据,0人关注 / 22天以前发布,65.8,"6,267元/平"
原房东精装套三家具家电齐全 拎包入住,车苑小区 -雁江区,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 17天以前发布,47.8,"3,824元/平"
上东逸景清水套四，配套成熟 设施完善，小区人车分流,上东逸景 -雁江区,4室2厅 | 141.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 16天以前发布,69.8,"4,933元/平"
圣高德麦盛 中交锦亭107横厅 看中庭 20楼,中交锦亭 -雁江区,3室2厅 | 107.49平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 26天以前发布,65.6,"6,103元/平"
地理位置优越，清水套三随时可看,楿山国际 -雁江区,3室1厅 | 97.07平米 | 东南 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 22天以前发布,49.2,"5,069元/平"
优品道套三双卫清水急售，价格可谈,优品道资溪学府 -雁江区,3室2厅 | 104.5平米 | 东南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 26天以前发布,65.8,"6,297元/平"
沱江旁江语城，近地铁和高铁。价格可谈,蜀鑫江语城 -雁江区,3室2厅 | 117平米 | 西北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 12天以前发布,71.9,"6,146元/平"
蓝光公园华府，套三双卫清水房，中间楼层户型通透。,蓝光公园学府 -雁江区,3室2厅 | 122平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 10天以前发布,61.8,"5,066元/平"
圣桦名城两个中庭109看小区中庭套三双卫,圣桦名城 -雁江区,3室2厅 | 109平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,1人关注 / 4个月以前发布,70,"6,423元/平"
玫瑰苑套三双卫交通便利 环境干净舒适 适合居住,玫瑰苑 -雁江区,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共23层)  | 暂无数据,0人关注 / 4个月以前发布,63,"5,888元/平"
沱东印象精装 套三单卫 带小花园,沱东印象 -雁江区,3室2厅 | 89.6平米 | 南 | 其他 | 低楼层(共28层)  | 平房,0人关注 / 2个月以前发布,56,"6,250元/平"
房东急售，家合雅苑，套三单卫，拎包入住,家合雅苑 -雁江区,3室2厅 | 97平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,66.8,"6,887元/平"
苌弘地铁口 汽车总站旁 御府国际套三精装 环境好。,御府国际 -雁江区,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 27天以前发布,57.8,"6,283元/平"
急售万达广场地铁口方便 丽景雅居 清水套二,交投地产·丽景雅居 -雁江区,2室2厅 | 72.22平米 | 东南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 21天以前发布,42.98,"5,952元/平"
（好房出售）凤岭公园 桂花苑 套二 精装 拎包入住,桂花苑 -雁江区,2室2厅 | 89平米 | 西南 | 其他 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,45.8,"5,147元/平"
置地城 凯旋国际 套二 洋房 任意装修,筑鼎凯旋国际 -雁江区,2室2厅 | 69.98平米 | 东南 | 其他 | 高楼层(共9层)  | 塔楼,0人关注 / 7个月以前发布,52,"7,431元/平"
凯旋国际洋房 一梯两户 南北户型 带平台,筑鼎凯旋国际 -雁江区,3室2厅 | 111平米 | 东南 | 毛坯 | 低楼层(共11层)  | 塔楼,2人关注 / 11个月以前发布,69.8,"6,289元/平"
水润东都 清水套三 实际使用面积大,水润东都 -雁江区,3室2厅 | 118.91平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 11个月以前发布,116,"9,756元/平"
喜悦长岛，江景房，大横厅设计，套三双卫毛胚，可看江,喜悦长岛 -雁江区,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,75,"6,638元/平"
万达地铁口旁，万达御府，地理位置好，套四双卫，毛胚,万达御府天骄 -雁江区,4室3厅 | 164平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,4人关注 / 6个月以前发布,115,"7,013元/平"
凤岭公园旁   三室双卫  精装低楼层  停车方便,世纪城二区 -雁江区,3室2厅 | 92.3平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,3人关注 / 11个月以前发布,54,"5,851元/平"
水润东都 3室2厅 楼层好 交通便利 适合居住,水润东都 -雁江区,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,72.8,"5,644元/平"
水润东都洋房，房东急卖，价格可谈,水润东都 -雁江区,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 10个月以前发布,65.8,"5,577元/平"
水润东都总高11楼洋房，品质好配套齐,水润东都 -雁江区,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,70.8,"6,000元/平"
恒大城 中庭位置 精装空房子 随时看房子,恒大城一期 -雁江区,4室2厅 | 159平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,103,"6,478元/平"
