标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
沈抚新区 国际鑫城 6跃7房源 邻近轻轨,国际鑫城 -沈抚新区,3室1厅 | 93平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,52,"5,592元/平"
沈抚新区 万科金域蓝湾 四室 精装修,沈抚万科城市之光 -沈抚新区,4室2厅 | 146.78平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,158.5,"10,799元/平"
融创东环海逸长洲 3室2厅 南 北,融创东环海逸长洲 -沈抚新区,3室2厅 | 140.15平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,102,"7,278元/平"
锦绣澜湾C区 3室2厅 南 北,锦绣澜湾C区 -沈抚新区,3室2厅 | 109.97平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,42,"3,820元/平"
南北北通透格局，采光好，无遮挡，配套全,万科金域蓝湾 -沈抚新区,3室2厅 | 115.21平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,85,"7,378元/平"
沈抚新区万科城市之光电梯洋房三室两厅两卫毛坯出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.44平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,94.7,"7,261元/平"
电梯精装修大户型 南北格局 采光通风好 视野开阔,万科金域蓝湾 -沈抚新区,3室2厅 | 167.32平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,113,"6,754元/平"
沈抚新区德商国际花园洋房一楼三室两厅 一卫毛坯出售,德商国际花园 -沈抚新区,3室1厅 | 97.06平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,65.7,"6,770元/平"
德商国际花园环境好南北标准户型采光好 房主诚意出售,德商国际花园 -沈抚新区,3室2厅 | 98.47平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,58,"5,891元/平"
国际花园 一楼带地下 少有户型 嘎嘎板正,德商国际花园 -沈抚新区,3室2厅 | 119.28平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 8个月以前发布,117,"9,809元/平"
陆地剑桥别墅了，采光好，南北通透。,绿地四季印象 -沈抚新区,5室1厅 | 206平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 一年前发布,135,"6,554元/平"
中环天地电梯湖景房 下楼即生命之环 交通便利,中环天地 -其它,3室2厅 | 100.36平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,53.8,"5,361元/平"
中金公园启城  清水三室 随意装修 好楼层,中金公元启城 -沈抚新区,3室2厅 | 112.03平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,59.5,"5,312元/平"
南北通透三室 大开间 一梯两户电梯房cifangn,锦绣澜湾D区 -沈抚新区,3室2厅 | 139.88平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,55.8,"3,990元/平"
急售 沈抚新区 德商国际花园 三室 简单装修,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,52,"5,361元/平"
万科电梯洋房，精装三室，园区中间位置，嘎嘎棒,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.44平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,100,"7,667元/平"
锦绣澜湾 精装三室 拎包即住，嘎嘎合适,锦绣澜湾C区 -沈抚新区,3室2厅 | 133.24平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 10个月以前发布,58,"4,354元/平"
融创海逸长洲 多层洋房 跃层 精装修 家具家电都有,融创东环海逸长洲 -沈抚新区,2室2厅 | 120.27平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,94.5,"7,858元/平"
融创步梯洋房 精装修家具家电全留下价格可议！,融创东环海逸长洲 -沈抚新区,3室2厅 | 132.48平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 4个月以前发布,94,"7,096元/平"
沈抚万科城市之光，洋房3楼，户型很好业主诚心出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.15平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,110,"8,452元/平"
万科洋房前排是别墅，可看见公园,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.15平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,120,"9,221元/平"
沈抚电梯洋房号楼层 精装9层新 工作调动急售随时看房,德商国际花园 -沈抚新区,3室2厅 | 99.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,65.5,"6,577元/平"
急售 伍号院中间楼层 室内保持挺好9层新  看房方便,德商国际花园 -沈抚新区,3室2厅 | 97.69平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,67,"6,859元/平"
万科城市之光大三室房子急于出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 115.43平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 一年前发布,75,"6,498元/平"
急售 电梯精装修 大户型 楼层好 南北通透,德商国际花园 -沈抚新区,3室2厅 | 120.67平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 6个月以前发布,68,"5,636元/平"
诚心出售，精装洋一，拎包入住，随时看房,万科金域蓝湾 -沈抚新区,4室2厅 | 231.09平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,150,"6,491元/平"
沈抚融创一楼带花园精装修，南昌初中，南京学堂园区好,融创东环海逸长洲 -沈抚新区,2室2厅 | 87平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,68,"7,817元/平"
沈抚新区万科城市之光 房主急售 品质物业 价格可议,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,97.5,"7,500元/平"
融创多层洋房 精装修 75万 拎包入住,融创东环海逸长洲 -沈抚新区,4室2厅 | 158平米 | 西 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 4个月以前发布,75.2,"4,760元/平"
出售 沈抚新区 好楼层精装修 看房方便,锦绣澜湾C区 -沈抚新区,3室2厅 | 109平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,55.5,"5,092元/平"
沈抚新区锦绣澜湾C区三室两厅两卫精装出售,锦绣澜湾C区 -沈抚新区,3室2厅 | 134.78平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,42人关注 / 一年前发布,63,"4,675元/平"
沈抚万科，五层顶精装修洋一，带地下室，南北花园,沈抚万科城市之光 -沈抚新区,3室2厅 | 131.11平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,158,"12,051元/平"
万科洋房 好楼层 精装拎包入住 随时看房 园区中间位置,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,98,"7,539元/平"
：户型好采光好交通便利 配套齐全三室户型电梯洋房,德商国际花园 -沈抚新区,3室2厅 | 96.8平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,51,"5,269元/平"
沈抚新区 融创海逸长洲 精装修南昌初中南京学堂园区好,融创东环海逸长洲 -沈抚新区,5室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,92,"6,815元/平"
阳光丽景二期精装跃层 拎包入住 视野开阔,阳光丽景二期 -沈抚新区,2室2厅 | 99.99平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,50,"5,001元/平"
房东急售  看房方便.品质小区,沈抚万科城市之光 -沈抚新区,3室2厅 | 115.34平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,90,"7,804元/平"
精装三室两卫，满五年，不临街，位置佳，采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 106.98平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 5个月以前发布,86,"8,039元/平"
德商跃层，精装拎包及住，房主诚心出售,德商国际花园 -沈抚新区,5室2厅 | 186.6平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,13人关注 / 一年前发布,125,"6,699元/平"
此房满二 无大税 户型好 南北三室一卫,沈抚万科城市之光 -沈抚新区,3室1厅 | 96.29平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 7个月以前发布,79,"8,205元/平"
房主急售，万科城市之光 精装修三室两厅。,沈抚万科城市之光 -沈抚新区,3室2厅 | 126.54平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,96,"7,587元/平"
万科一楼洋房，精装，边户大花园，同等面积地下室,万科金域蓝湾 -沈抚新区,3室2厅 | 148.23平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,161,"10,862元/平"
融创步梯洋房格局方正 户型好精装修拎包入住价格可议,融创东环海逸长洲 -沈抚新区,3室2厅 | 140.64平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,94.5,"6,720元/平"
本房源南北格局 中间户 中间层 独立厨房 餐厅 采光好,德商国际花园 -沈抚新区,3室2厅 | 107.94平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,64,"5,930元/平"
沈抚万科城市之光3-2-1-1 95.00平 72.1 万）,沈抚万科城市之光 -沈抚新区,3室2厅 | 96.82平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 31天以前发布,72.6,"7,499元/平"
中金洋房一层 带地下2层 南北花园 不临街 不把山,中金公元启城 -沈抚新区,3室2厅 | 100平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 18天以前发布,140,"14,000元/平"
一线河景房  品质园区  近育才,沈抚中南熙悦 -沈抚新区,2室2厅 | 75.48平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 4天以前发布,40.2,"5,326元/平"
隆润国际 小户型 交通便利 配套齐全,隆润国际 -沈抚新区,1室1厅 | 57.76平米 | 西北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,15.6,"2,701元/平"
隆润国际 小户型  交通便利 配套全,隆润国际 -沈抚新区,2室1厅 | 76.5平米 | 西南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,20.7,"2,706元/平"
隆润国际 小户型  交通便利 配套齐全,隆润国际 -沈抚新区,2室1厅 | 76.5平米 | 东南 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 22天以前发布,20.7,"2,706元/平"
沈抚新区德商春天里两室两厅一卫毛坯出售,德商春天里 -沈抚新区,2室2厅 | 81.46平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 30天以前发布,50,"6,138元/平"
隆润国际 小户型  交通便利 刚需,隆润国际 -沈抚新区,2室1厅 | 66.32平米 | 东 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,18,"2,715元/平"
阳光丽景二期 2室2厅 南,阳光丽景二期 -沈抚新区,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,64.5,"6,719元/平"
隆润国际 大环旁 小户型 交通便利,隆润国际 -沈抚新区,2室1厅 | 66.32平米 | 东 | 毛坯 | 低楼层(共25层)  | 板楼,0人关注 / 22天以前发布,18,"2,715元/平"
隆润国际 小户型  交通便利 配套齐全,隆润国际 -沈抚新区,2室1厅 | 66.21平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,18,"2,719元/平"
沈抚万科城市之光2-2-1-1 79.00平 52 万,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 29天以前发布,51.8,"6,557元/平"
中金公元启城 2室2厅 南,中金公元启城 -沈抚新区,2室2厅 | 88平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 22天以前发布,70.5,"8,012元/平"
房子南北通透清水，无贷款，单独，看房方便,中金公元启城 -沈抚新区,2室1厅 | 84平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 19天以前发布,65,"7,739元/平"
沈抚新区德商春天里两室一厅一卫毛坯出售,德商春天里 -沈抚新区,2室2厅 | 81.46平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 30天以前发布,48,"5,893元/平"
地理位置优越 南北通透格局好   交通便利,明骏雅居 -沈抚新区,3室2厅 | 112平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,52,"4,643元/平"
临河 标准户型 75平两室 证件齐全,沈抚中南熙悦 -沈抚新区,2室2厅 | 76.28平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,42,"5,507元/平"
急售沈抚新区中南熙悦电梯洋房一梯两户72万可议,沈抚中南熙悦 -沈抚新区,3室2厅 | 97.98平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,71.2,"7,267元/平"
万科城市之光六期小高层一楼三室出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 31天以前发布,109.9,"10,882元/平"
沈抚中金公元启城优质全明三室户型,中金公元启城 -沈抚新区,3室2厅 | 125.17平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,119,"9,508元/平"
中金公元启城3-2-1-2 98.00 82 万）,中金公元启城 -沈抚新区,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,0人关注 / 18天以前发布,82.5,"8,419元/平"
房源户型好位置优视野开阔，随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 21天以前发布,79,"6,077元/平"
万科精装修三室，好楼层，好位置。,沈抚万科城市之光 -沈抚新区,3室1厅 | 100.64平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 30天以前发布,59.8,"5,942元/平"
中南熙悦毛坯电梯洋房 采光好无遮挡中间户 通透户型,沈抚中南熙悦 -沈抚新区,3室2厅 | 95.85平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 15天以前发布,62,"6,469元/平"
电梯洋房 南北通透格局 采光通风好 4室2卫四叶草户型,沈抚中南熙悦 -沈抚新区,4室2厅 | 118.76平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,85,"7,158元/平"
锦绣澜湾103平两室方林精装电梯拎包入住。,锦绣澜湾D区 -沈抚新区,2室2厅 | 103.54平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 10个月以前发布,57.8,"5,583元/平"
业主置换房屋急售南京南昌旁精装电梯洋房66万满五唯一,德商国际花园 -沈抚新区,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,61,"6,225元/平"
沈抚新区！锦绣蓝湾！一楼带花园！环境好！,锦绣澜湾C区 -沈抚新区,3室2厅 | 97.15平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,5人关注 / 一年前发布,59.7,"6,146元/平"
明骏雅居 3室2厅 南,明骏雅居 -沈抚新区,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 15天以前发布,73,"6,953元/平"
沈抚新区，万科金域蓝湾，满五唯一，,万科金域蓝湾 -沈抚新区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,5人关注 / 一年前发布,78,"6,783元/平"
明骏雅居 3室2厅 南,明骏雅居 -沈抚新区,3室2厅 | 114平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,80,"7,018元/平"
园区好，南北通透，全明户型，满五唯一,德商春天里 -沈抚新区,3室2厅 | 89.07平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,43,"4,828元/平"
沈抚新区名郡雅居精装三室全明户型,明骏雅居 -沈抚新区,3室2厅 | 122.55平米 | 南 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 6天以前发布,98,"7,997元/平"
融创东环海逸长洲 2室2厅 南 北,融创东环海逸长洲 -沈抚新区,2室2厅 | 101平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 4天以前发布,66,"6,535元/平"
房主诚心卖房 精装修有院子 带等大地下室 全明户型,德商国际花园 -沈抚新区,4室2厅 | 117.82平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 8个月以前发布,118,"10,016元/平"
电梯房 户型好  南北通透  近轻轨,明骏雅居 -沈抚新区,3室2厅 | 111.85平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,66,"5,901元/平"
真正的退台式情景洋房，4楼，奢华精装，房主急售,万科金域蓝湾 -沈抚新区,5室3厅 | 185平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,17人关注 / 一年前发布,178,"9,622元/平"
沈抚新区御府龙湾 房主急售 价格可议,御府龙湾 -沈抚新区,4室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 8个月以前发布,83,"6,917元/平"
沈抚万科城市之光3-2-1-2 130.00m² 洋房带地下室,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,195,"15,000元/平"
