标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
瑞贝卡新天下 奢华装修 中间好楼层 有证 可按揭,瑞贝卡新天下南院 -魏都区,3室2厅 | 132.5平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,115,"8,680元/平"
许继大道三室两厅双气136平方有证可按揭,东风小区 -魏都区,3室2厅 | 136平米 | 西 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,75,"5,515元/平"
电梯小高层 公摊小双气 出门几百米就是千亩游园,鼎鑫丽都苑南区 -魏都区,3室2厅 | 117.04平米 | 北 南 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,85,"7,263元/平"
步梯1楼 适合养老 有燃气 八一路 证件齐全,八一西路715号 -魏都区,3室2厅 | 112.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,7人关注 / 4个月以前发布,39.2,"3,473元/平"
万达旁，挑空复式，精装修，满五唯一，拎包入住,健发御园一期 -魏都区,4室2厅 | 188.41平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,27人关注 / 11个月以前发布,165,"8,758元/平"
客厅宽敞舒适、落地阳台阳光充足 精致装修,景鸿城市之心 -魏都区,3室2厅 | 134.49平米 | 南 北 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,85,"6,321元/平"
满五唯一 东区电梯低楼层 朝南开间面宽 低密度社区,滨河花园 -魏都区,3室2厅 | 144.8平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,9人关注 / 11个月以前发布,91,"6,285元/平"
东方米兰小区 3室1厅 南 北,东方米兰小区 -魏都区,3室1厅 | 115.18平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,73,"6,338元/平"
八一东路 腾飞地产开发 属于新小区现房 小区环境好,东站前府 -建安区,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 12天以前发布,86,"7,414元/平"
别墅区洋房 容积低，精装修电梯，拎包住  两面环水,万象 -魏都区,3室2厅 | 142.41平米 | 东 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,103,"7,233元/平"
万象新天小区精装电梯房、四室满五唯一，双气车位另计,万象新天 -魏都区,4室2厅 | 173.02平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,85,"4,913元/平"
新兴路六中家属院 精装3室 可以按揭贷款 中间楼层,六中家属院 -魏都区,3室2厅 | 102.55平米 | 西南 | 精装 | 中楼层(共7层)  | 平房,2人关注 / 2个月以前发布,37,"3,608元/平"
建业森林半岛 3室精装修南北双阳台 业主急售看房详谈,建业森林半岛 -魏都区,3室2厅 | 132.12平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,98,"7,418元/平"
维也纳春天小区三室两厅两卫带车库103万,维也纳春天小区 -魏都区,3室2厅 | 131.93平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,4人关注 / 一年前发布,77,"5,837元/平"
出售东城门蔬菜公司3楼精装3室31万,蔬菜公司家属院 -魏都区,3室1厅 | 77.94平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,31,"3,978元/平"
恒大翡翠华庭 3室2厅 南,恒大翡翠华庭 -魏都区,3室2厅 | 133.79平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,1人关注 / 2个月以前发布,98,"7,325元/平"
好地段，出门就是思故台，高档学*离生活广场,广杰御萃花园 -建安区,3室2厅 | 117平米 | 南 西南 西 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,60,"5,129元/平"
万达  精装三室 满五唯一 品牌家电 拎包入住,瑞贝卡新天下南院 -魏都区,3室2厅 | 143.11平米 | 南 北 | 其他 | 高楼层(共23层)  | 板楼,1人关注 / 2个月以前发布,112,"7,827元/平"
清潩河旁 滨河花园1楼带院 普装三室 养老房,滨河花园 -魏都区,2室1厅 | 85平米 | 南 | 其他 | 低楼层(共4层)  | 塔楼,5人关注 / 2个月以前发布,38,"4,471元/平"
健发御园 许都广场、万达、360旁 精装四室 满五唯一,健发御园一期 -魏都区,4室2厅 | 129.32平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,33人关注 / 5个月以前发布,87,"6,728元/平"
九州溪雅苑五室三厅一厨三卫189.80平104万有证可按揭,九洲溪雅苑 -魏都区,5室3厅 | 189.8平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,14人关注 / 5个月以前发布,84,"4,426元/平"
东区 精装两室可拎包入住 腾飞鹿鸣湖畔,腾飞鹿鸣湖畔 -建安区,2室2厅 | 96.44平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,2人关注 / 5个月以前发布,74,"7,674元/平"
360，万达，电梯洋房，精装，拎包入住,三达·上東城 -魏都区,2室1厅 | 74.84平米 | 南 | 精装 | 高楼层(共8层)  | 塔楼,0人关注 / 2个月以前发布,51,"6,815元/平"
精装修一室，拎包入住，首付低。月供不高,财富广场 -魏都区,1室1厅 | 57.89平米 | 东 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,36,"6,219元/平"
此房南北通风，楼层好采光向阳，户型方正，电梯洋房,书香苑 -魏都区,2室1厅 | 84.28平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,62,"7,357元/平"
空港新城好楼层精装的精品修诚心出售,空港新城 -建安区,2室2厅 | 88.13平米 | 南 东南 东 | 精装 | 中楼层(共28层)  | 板楼,13人关注 / 3个月以前发布,59.9,"6,797元/平"
劳动路与健康路 西湖公园旁 两室一厅,园林处家属院 -魏都区,2室1厅 | 40平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,28,"7,000元/平"
科技广场 万象春天 精装修一室一厅 拎包入住,万象春天 -魏都区,1室1厅 | 66.76平米 | 东北 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,47,"7,041元/平"
此房小区环境好，物业服务管理好地理位置好出行方便。,万象新天 -魏都区,3室2厅 | 126.73平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,69,"5,445元/平"
建业桂园毛坯三室  好楼层 好户型   业主急售,建业桂园(建安区) -建安区,3室1厅 | 119.44平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,2人关注 / 4个月以前发布,81,"6,782元/平"
熟人的房子，现在出租中，看房提前和我联系,工行小区(文峰东巷) -魏都区,3室2厅 | 131.72平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,61,"4,632元/平"
北海龙城一期房源出售。。。。。。。。。。,恒达北海龙城一期 -建安区,3室2厅 | 104.93平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,6人关注 / 一年前发布,59,"5,623元/平"
清潩河旁鼎鑫新世纪花园大三室中间楼层满五唯一随时看,鼎鑫新世纪花园 -魏都区,3室2厅 | 146.09平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 一年前发布,85,"5,819元/平"
科技广场 学府名苑 精装小三房 南北 通 可拎包入住,学府名苑 -魏都区,3室2厅 | 105.31平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,36人关注 / 5个月以前发布,77,"7,312元/平"
西湖公园，胖东来电梯房两室，户型方正，孩子上学方便,书香苑 -魏都区,2室1厅 | 84.28平米 | 东南 北 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,58,"6,882元/平"
东区三房精装未入住，有证好楼层,许昌雅居乐国际花园 -建安区,3室2厅 | 97.05平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 4个月以前发布,77,"7,935元/平"
高铁旁 空港新城二期 简装小三室 拎包住 可调整露台,空港新城二期 -建安区,3室1厅 | 88.29平米 | 西 | 简装 | 高楼层(共29层)  | 板楼,11人关注 / 7个月以前发布,53,"6,003元/平"
滨河花园大三室150平满五唯一有储藏室,滨河花园 -魏都区,3室2厅 | 149.64平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,21人关注 / 7个月以前发布,90,"6,015元/平"
新东街长城家园 3室2厅1卫 精装修带家具家电 带车位,长城家园 -建安区,3室2厅 | 125.24平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,8人关注 / 5个月以前发布,83,"6,628元/平"
低密度洋房，户型方正，南北通透，大三房,北海森林半岛 -建安区,4室2厅 | 137.12平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,80,"5,835元/平"
魏都区政府3室2厅 满五有证  采光充足 位置佳,静波宁武苑 -魏都区,3室1厅 | 125.33平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 3个月以前发布,73,"5,825元/平"
诚意出售 包税 品质开发商 户型方正 采光视野无遮挡,瑞贝卡兴天下 -魏都区,3室2厅 | 142.38平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,21人关注 / 一年前发布,107.5,"7,551元/平"
中 央公园科技广场旁 旭辉江山花园 边户精装三室,旭辉江山花园 -魏都区,3室2厅 | 121.97平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,89.3,"7,322元/平"
东区 有证 精装未入住 楼层好 随时看房有钥匙,许昌雅居乐国际花园 -建安区,4室2厅 | 127.56平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,93,"7,291元/平"
户型方正   南北通透  小复式  有露台,腾飞花园 -魏都区,3室2厅 | 121.06平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,23人关注 / 一年前发布,73,"6,031元/平"
出售延中三期三室二厅 步梯2楼半134平精装双气含 车库,延中小区二三期 -魏都区,3室2厅 | 134.11平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,55,"4,102元/平"
带车位 婚房 带家具家电 精装修双气 边户,龙湖西苑 -魏都区,3室1厅 | 93.63平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,48.5,"5,180元/平"
此房基础装修已做，满二年，看房方便，一梯一户小高层,金科康桥·芙蓉天宸 -建安区,4室2厅 | 142.32平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,2人关注 / 2个月以前发布,126.5,"8,889元/平"
好楼层，两梯三户，户型方正，采光好,北海腾飞花园 -建安区,3室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 1个月以前发布,62.4,"4,800元/平"
鹿鸣湖 高铁站少有的连廊户型现房小3室通风好视野开阔,许昌康桥九溪天悦 -建安区,3室2厅 | 89.18平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,63,"7,065元/平"
精装修三室满五唯一房东诚心出售,天宝盛世花园 -建安区,3室2厅 | 114.33平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,7人关注 / 9个月以前发布,79.9,"6,989元/平"
六一路上，一楼带院，两室，可拎包入住。,市外贸局家属院 -魏都区,2室1厅 | 77平米 | 东 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,42,"5,455元/平"
七一路市委家属院一楼有双气两室一厅有证,市委北家属院 -魏都区,2室1厅 | 62.99平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,38,"6,033元/平"
健发御园三期 许都公园 360万达 精装2室,健发御园三期 -魏都区,2室1厅 | 89.87平米 | 东 | 精装 | 低楼层(共26层)  | 塔楼,8人关注 / 一年前发布,65,"7,233元/平"
采光好，无遮挡，户型方正，全明户型,西尚美 -魏都区,2室1厅 | 81.44平米 | 南 | 其他 | 低楼层(共19层)  | 板楼,1人关注 / 一年前发布,42,"5,158元/平"
广杰御翠花园，电梯一梯两户，精装修，家电齐全,广杰御萃花园 -建安区,2室2厅 | 98.71平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,54,"5,471元/平"
市二高一路之隔双气高层全明户型布局通透大阳台,鸿景苑 -魏都区,3室2厅 | 144.23平米 | 东 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 3个月以前发布,80,"5,547元/平"
科技广场旁  万象蓝天 精装两室 满五唯一,万象蓝天 -魏都区,2室2厅 | 83.17平米 | 西南 | 精装 | 低楼层(共27层)  | 板塔结合,7人关注 / 8个月以前发布,56,"6,734元/平"
房东诚心卖房，低楼层，家里有小孩老人的也适合居住,三达府西雅园 -魏都区,1室1厅 | 39平米 | 北 | 精装 | 低楼层(共19层)  | 板楼,7人关注 / 一年前发布,23.8,"6,103元/平"
采光充足配套设施齐全交通便利。。。。,电机厂家属院 -魏都区,2室1厅 | 54.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,13,"2,399元/平"
清林苑 精装两室  健康路、一 中,恒达清林苑 -魏都区,2室1厅 | 61.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,67,"10,977元/平"
建安大道，低楼层天然气两室，有储藏室，诚心出售,工业品家属院 -魏都区,2室1厅 | 75平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,38,"5,067元/平"
业主诚心出售精装修满五唯一采光无遮挡,三达·上東城 -魏都区,2室1厅 | 68平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,47,"6,912元/平"
南北坐向，两卧室朝南，通风效果也不错。位于劳动路上,仪表厂家属院 -魏都区,3室1厅 | 84平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,9人关注 / 一年前发布,20.8,"2,477元/平"
70年大产权 菁华名家 双气  一室 八一路与文峰路口,菁华名家 -魏都区,1室0厅 | 33.29平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,20,"6,008元/平"
鼎鑫龙湖湾 2室2厅 交通便利 小区环境干净舒适,鼎鑫龙湖湾 -魏都区,2室1厅 | 95.47平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,62,"6,495元/平"
东区现房观景房！！！一览科技广场！！！,鹿鸣湖壹号二期悦府 -魏都区,4室2厅 | 132平米 | 南 西 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,97.9,"7,417元/平"
瑞贝卡大道，户型方正，大凉台，随时可看,德昌小区 -建安区,3室2厅 | 152.59平米 | 西北 | 简装 | 高楼层(共6层)  | 暂无数据,13人关注 / 7个月以前发布,38,"2,491元/平"
交通便利，出行方便，诚心出售精装修带家电,时代皇庭 -魏都区,3室2厅 | 134.77平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,84,"6,233元/平"
中梁首府 4室2厅 南,中梁首府 -建安区,4室2厅 | 137.7平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,1人关注 / 2个月以前发布,76,"5,520元/平"
此房小高电梯房，大三房，采光好，毛坯房，自由装修,卓越香格里拉 -长葛市,3室2厅 | 135平米 | 南 西 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,5人关注 / 5个月以前发布,45,"3,334元/平"
葛韵华府 精装大三室 户型好  有证可分期 随时看房,葛韵华府小区 -长葛市,3室2厅 | 132.74平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,76,"5,726元/平"
精装空房，房本在手，随时过户！,阳光花墅 -魏都区,3室2厅 | 144.28平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,5人关注 / 5个月以前发布,79.8,"5,531元/平"
品质小区.户型方正.中间楼层.电梯房,滨河花园 -魏都区,3室2厅 | 143.39平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,92,"6,417元/平"
魏武大道与南海街 许继天宝盛世 大三房 全明户型,天宝盛世花园 -建安区,3室2厅 | 136.35平米 | 东 | 毛坯 | 高楼层(共26层)  | 板楼,9人关注 / 一年前发布,74.8,"5,486元/平"
古城新院旁榆柳小区 双气房 三室中间楼层 可按揭,榆柳小区 -魏都区,3室2厅 | 119.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,61.5,"5,141元/平"
南海街兴天下精装三室带家具家电  采光好,瑞贝卡兴天下 -魏都区,3室2厅 | 130.36平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,105,"8,055元/平"
全明格局，品质小区，绿化高，一楼带院带下沉，带车位,鹿鸣湖壹号二期悦府 -魏都区,4室2厅 | 143.67平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,170,"11,833元/平"
新小区环境优美，中    央公园旁，鹿鸣湖游园,鹿鸣湖壹号二期悦府 -魏都区,3室2厅 | 85平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,7人关注 / 11个月以前发布,69,"8,118元/平"
房子是精装修 户型方正 边户通透 楼层好 采光好,中航·文峰上城 -魏都区,3室2厅 | 132.73平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,95,"7,158元/平"
一楼带院，双气，户型方正，适合任何年龄段居住,卷烟家属院 -魏都区,2室1厅 | 47.88平米 | 西南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,23.8,"4,971元/平"
精装修大两室   位置环境配套好   户型方正,长城家园 -建安区,2室1厅 | 115.27平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,65,"5,639元/平"
东区经典大两室，小区幽静，地理位置优越,艺馨苑 -建安区,2室1厅 | 103.31平米 | 东南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,65.4,"6,331元/平"
