标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
科兴园一期3室2卫2厅 精装 拎包入住 交通便利,科兴园一期 -东坝,3室2厅 | 130平米 | 东南 | 其他 | 中楼层(共15层)  | 暂无数据,10人关注 / 一年前发布,86.6,"6,662元/平"
巴黎时光 2室2厅 南,巴黎时光 -雪峰,2室2厅 | 90.46平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,88,"9,729元/平"
嘉利滨河香溪房屋诚心出售，采光，户型都很好。,嘉利滨河香溪 -雪峰,2室2厅 | 93.63平米 | 南 西南 | 其他 | 低楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,90,"9,613元/平"
东坝办事处旁 精装房  地震后大三居,兴和阳光 -东坝,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,73,"7,374元/平"
南河开云世家大三居双卫出售！配套齐全！,开云世家 -南河,3室2厅 | 124.6平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,85,"6,822元/平"
位于老城天成大酒店旁，房子采光充足，户型方正,摩尔天城小区 -老城,3室2厅 | 165平米 | 西南 | 其他 | 低楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,128,"7,758元/平"
雪峰奥体震后电梯3居室精装，诚心出售，主卧看江，急,丽都水岸 -雪峰,3室2厅 | 121.58平米 | 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,103,"8,472元/平"
满二房源，中间楼层，优质套三。产权清晰,怡馨苑 -东坝,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,83,"7,218元/平"
雪峰小区多层2居室精装，价格实惠，诚心出售,春馨苑小区 -雪峰,2室2厅 | 84.36平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,50,"5,927元/平"
开云世家精装大三房出售，交通便利，配套齐全！,开云世家 -南河,3室2厅 | 129.84平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,92,"7,086元/平"
品牌小区 ，此房是大平层，面积大，精装修,广元碧桂园 -雪峰,5室2厅 | 263平米 | 东南 | 精装 | 高楼层(共16层)  | 板楼,10人关注 / 10个月以前发布,210,"7,985元/平"
老城新华街中装套三双卫诚心出售,龙凤佳苑 -老城,3室2厅 | 145平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,88,"6,069元/平"
东坝文化路精装三居室，拎包入住,陈家壕 -东坝,3室2厅 | 137.75平米 | 南 东南 | 其他 | 低楼层(共6层)  | 暂无数据,30人关注 / 一年前发布,69,"5,010元/平"
老城电梯2房1厅60平方米售60万精装修！,华北星城 -老城,2室1厅 | 60平米 | 西 | 精装 | 高楼层(共24层)  | 暂无数据,1人关注 / 11个月以前发布,58,"9,667元/平"
南河金域香江清水大两室 带大露台,正黄金域香江 -南河,2室2厅 | 89.1平米 | 西南 | 精装 | 低楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,100,"11,224元/平"
利州广场旁 精装2室2厅1卫 朝南 工作调动诚心出售,利源小区 -东坝,2室2厅 | 87.92平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,9人关注 / 11个月以前发布,68.9,"7,837元/平"
南河南港公寓145平米，满五户型方正，居住方便舒适,南港公寓 -南河,3室2厅 | 145.38平米 | 北 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,70,"4,815元/平"
启明星花园 3室2厅 西南,启明星花园 -东坝,3室2厅 | 128.9平米 | 西南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,125,"9,698元/平"
此房满五唯一，视野开阔，停车方便,中新建材市场宿舍 -老城,3室2厅 | 155平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,90,"5,807元/平"
翡翠城江景房 精装大三居 带车位 拎包入住,翡翠城 -东坝,3室2厅 | 126平米 | 西 西南 | 简装 | 高楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,122,"9,683元/平"
户型方正，满二税低可看河边，装修好，随时看房过户,金岸名邸 -南河,3室2厅 | 121.5平米 | 东 南 | 精装 | 中楼层(共16层)  | 板塔结合,2人关注 / 11个月以前发布,120,"9,877元/平"
万源品质小区，精装四居，户型好,南郡 -万源,4室2厅 | 138平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,142,"10,290元/平"
东坝大型小区3房2卫精装，可做新房.,启明星花园 -东坝,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 10个月以前发布,98,"8,829元/平"
万源精装河景房 三室两厅中间楼层 明厨明卫,水岸华府 -万源,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,5人关注 / 10个月以前发布,100,"10,310元/平"
曼哈顿大三居，精装，拧包入住，带车位,东方曼哈顿 -万源,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共22层)  | 暂无数据,7人关注 / 11个月以前发布,117,"10,354元/平"
泰丰苑精装3居室，诚心出售，价格可谈。,泰丰苑 -东坝,3室2厅 | 99平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,81,"8,182元/平"
精装现房，采光无遮挡，即买即住,天立凤凰唐城 -东坝,2室1厅 | 93平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,75,"8,065元/平"
碧桂园精装3居2卫通透户型诚心出售,广元碧桂园 -雪峰,3室2厅 | 113.7平米 | 西南 | 简装 | 高楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,78,"6,861元/平"
房子满五，全新装修，小区环境好。,六〇四生活区 -东坝,2室2厅 | 65.9平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,18人关注 / 一年前发布,42,"6,374元/平"
广元大型小区，精装房等你来购！,广元碧桂园 -雪峰,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 11个月以前发布,84,"7,242元/平"
疾控宿舍楼 2室2厅小区环境干净舒适 适合居住,小西街疾控中心宿舍楼 -老城,2室2厅 | 98.21平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,56,"5,703元/平"
东坝水榭花都精装大2居室.....,水榭花都二期 -东坝,2室2厅 | 104平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,88,"8,462元/平"
今日家园精装大套三，欧式风格，拎包入住,今日家园 -东坝,3室2厅 | 162.64平米 | 南 | 精装 | 中楼层(共15层)  | 暂无数据,4人关注 / 一年前发布,145,"8,916元/平"
雪峰精装套三房源    三室两厅两卫额   视野开阔,东方豪泰小区 -雪峰,3室1厅 | 91平米 | 东南 | 其他 | 高楼层(共28层)  | 平房,0人关注 / 2个月以前发布,83,"9,121元/平"
单价7千买万源精装三室双卫 中间楼层拎包入住,广元碧桂园 -雪峰,3室2厅 | 126.35平米 | 西南 | 精装 | 中楼层(共26层)  | 暂无数据,6人关注 / 一年前发布,95,"7,519元/平"
优质房源  停车方便  即买即入住,合兴园 -雪峰,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,75,"7,076元/平"
科兴园二期 精装一居室 适合老两口居住 拎包入住,科兴园二期 -东坝,1室1厅 | 51平米 | 北 南 | 精装 | 高楼层(共22层)  | 板塔结合,14人关注 / 一年前发布,40,"7,844元/平"
知松苑 3室2厅 北,知松苑 -东坝,3室2厅 | 138平米 | 北 | 精装 | 低楼层(共8层)  | 暂无数据,3人关注 / 6个月以前发布,87,"6,305元/平"
金域华府，套三精装，主卧带大阳台，看江看景观桥,正黄金域华府 -东坝,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,3人关注 / 10个月以前发布,120,"10,910元/平"
东坝老072大两居，户型方正，出行方便。,老〇七二家属区 -东坝,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,52,"5,978元/平"
东坝  精装  大三居  拎包入住,泰丰苑 -东坝,3室2厅 | 135平米 | 东南 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,120,"8,889元/平"
碧桂园精装套三，满二，税少，欢迎咨询。,广元碧桂园 -雪峰,3室2厅 | 126平米 | 西南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 10个月以前发布,92,"7,302元/平"
普罗旺斯一期  三室两厅  出行方便 交通便利,普罗旺斯一期 -雪峰,3室2厅 | 94平米 | 东南 | 精装 | 低楼层(共29层)  | 暂无数据,5人关注 / 一年前发布,88,"9,362元/平"
龙凤星城，两室两厅，交通便利出行方便，拎包入住,龙凤星城 -上西坝,2室2厅 | 95.52平米 | 西南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,68.1,"7,130元/平"
铂金地段，双证齐全，价格实惠，全明采光。,翡翠城 -东坝,2室2厅 | 99平米 | 东南 | 其他 | 低楼层(共26层)  | 板楼,9人关注 / 一年前发布,80,"8,081元/平"
上西稀有品质小区，环境优美，交通方便,少熙岭秀 -上西坝,2室2厅 | 82平米 | 东 | 其他 | 中楼层(共24层)  | 塔楼,3人关注 / 一年前发布,50,"6,098元/平"
东坝铂金地段  套二电梯房出售,东城国际 -东坝,2室2厅 | 86.54平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,85,"9,823元/平"
中新建材市场 2室2厅1厨1卫 大面积 中间楼层,中新建材市场宿舍 -老城,2室2厅 | 103平米 | 东南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,62,"6,020元/平"
同福小区一室一厅交通便利 小区环境干净舒适 适合居住,同福小区 -南河,1室1厅 | 48平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,8人关注 / 一年前发布,43,"8,959元/平"
南河汽车站旁，2居室 出售，价格可诚心的客户再谈,广运集团宿舍 -南河,2室2厅 | 90平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,60,"6,667元/平"
此房满5年，出行方便，户型方正，居住方便舒适,滨江花园 -南河,2室2厅 | 93平米 | 西北 | 其他 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,60,"6,452元/平"
大两居 卧室20㎡ 楼层低带电梯适合老年人居住,长城新苑小区 -万源,2室2厅 | 102.08平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼,11人关注 / 一年前发布,79.8,"7,818元/平"
万达晶座低价出售，离万达近的很,万达晶座 -万源,1室0厅 | 46平米 | 东南 | 其他 | 低楼层(共28层)  | 板楼,3人关注 / 一年前发布,32,"6,957元/平"
老城  震后现浇房  中间楼层    小区可停车,华南小区 -老城,2室1厅 | 50.33平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,12人关注 / 11个月以前发布,35,"6,955元/平"
同福小区 2室2厅 交通便利 小区环境干净舒适 适合居住,同福小区 -南河,2室2厅 | 82平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,6人关注 / 一年前发布,45,"5,488元/平"
雪峰房屋出售，采光通透，户型方正，视野宽阔。,澳门湾 -雪峰,2室2厅 | 91.43平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,73,"7,985元/平"
东坝广中旁大两居室户型方正通风采光好适合居家,兴安路小区 -东坝,2室1厅 | 103.46平米 | 东 | 简装 | 低楼层(共8层)  | 暂无数据,16人关注 / 一年前发布,42,"4,060元/平"
：精装修  采光好 户型房子 拎包入住,御锦湾 -东坝,2室2厅 | 85平米 | 东南 南 | 其他 | 中楼层(共30层)  | 板塔结合,7人关注 / 一年前发布,82,"9,648元/平"
铂金轻奢地段，双证齐全，价格实惠，全明采光,科兴园二期 -东坝,2室2厅 | 95平米 | 东南 | 其他 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,76,"8,000元/平"
户型方正，小区封闭管理，居住方便舒适，配套齐全,东城国际 -东坝,2室2厅 | 86.54平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,80,"9,245元/平"
此房坐南朝北，采光很好，无遮挡，楼层户型都很好,启明星花园 -东坝,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,112,"9,106元/平"
东坝好房，双证齐全，价格实惠，全明采光,科兴园二期 -东坝,4室2厅 | 136.77平米 | 北 | 精装 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,114,"8,336元/平"
学都瑞景 两室两厅  小区电梯房  广中旁,学都瑞景 -东坝,2室2厅 | 90.26平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,5人关注 / 一年前发布,70,"7,756元/平"
电梯小区，精装修，江景房，中间楼层,滨江印象 -老城,3室2厅 | 114平米 | 西 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,95,"8,334元/平"
东坝大精装大三居，业主诚意卖，价格可谈,骏仕佳苑 -东坝,3室2厅 | 124平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,7人关注 / 一年前发布,95,"7,662元/平"
广博小区大型3居，房东诚心出售，,广博小区 -东坝,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 11个月以前发布,98,"8,167元/平"
此房地处嘉陵菜市场旁，新修电梯房,龙府花园 -东坝,3室2厅 | 123.6平米 | 南 | 其他 | 高楼层(共19层)  | 暂无数据,4人关注 / 一年前发布,102,"8,253元/平"
东坝恒星城小高层  优质大三房  小区环境好  适合居住,恒星城东区 -东坝,3室2厅 | 138平米 | 西 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,123,"8,914元/平"
御锦湾 豪 装婚房两居室，带车位出售，从未入住,御锦湾 -东坝,2室2厅 | 84平米 | 东 | 其他 | 高楼层(共16层)  | 板塔结合,4人关注 / 一年前发布,98,"11,667元/平"
景观廊桥旁  大三房  楼层好 户型方正 可看江景,粼峰逸景 -东坝,3室2厅 | 122.89平米 | 南 | 其他 | 中楼层(共26层)  | 板塔结合,4人关注 / 3个月以前发布,98,"7,975元/平"
三室户型方正  直接拎包入住  交通便利,房产公司宿舍 -老城,3室2厅 | 88平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,59.5,"6,762元/平"
此房下楼即是河边，万达永辉，购物餐饮配套齐全,万达中央华城 -万源,3室2厅 | 128平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,3人关注 / 11个月以前发布,134,"10,469元/平"
铂金轻奢地段，双证齐全，价格实惠全明采光，视野开阔,利源小区 -东坝,3室2厅 | 139.88平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,102,"7,292元/平"
开云世家、三室两厅一厨两卫出售,开云世家 -南河,3室2厅 | 124平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,102,"8,226元/平"
此房，精装修，带车位，满了两年税费水少，,恒昌揽胜 -南河,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共26层)  | 平房,4人关注 / 一年前发布,120,"10,000元/平"
房子通透，户型方正，阳光充足，交通方便。,恒星城东区 -东坝,4室2厅 | 144.87平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,12人关注 / 7个月以前发布,98,"6,765元/平"
万缘三室 房东诚心出售 值得拥有,万源新区拆迁安置房 -万源,3室2厅 | 122平米 | 西北 | 其他 | 高楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,120,"9,837元/平"
房子通透，户型方正，阳光充足，交通方便。,恒星城东区 -东坝,4室2厅 | 144.87平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,12人关注 / 7个月以前发布,98,"6,765元/平"
南河震后三房，业主诚心出售，急售,皇都首座 -南河,3室2厅 | 99.89平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,5人关注 / 一年前发布,80,"8,009元/平"
震后三室一卫，105平，65万,津楠居 -南河,3室2厅 | 105平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,10人关注 / 6个月以前发布,62,"5,905元/平"
水岸华府大套三出售 精装修 户型方正 小区环境好,水岸华府 -万源,3室2厅 | 139平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,120,"8,634元/平"
邦泰康郡精装套三双卫，拎包入住，满二,邦泰康郡 -东坝,3室2厅 | 87.8平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 11个月以前发布,90,"10,251元/平"
雪峰人气位置，优质小区，优质装修,普罗旺斯一期 -雪峰,3室2厅 | 90.8平米 | 东南 | 其他 | 低楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,98,"10,793元/平"
巴黎时光全新精装三房 户型通透 小区环境好,巴黎时光 -雪峰,3室2厅 | 97.86平米 | 西 西南 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 10个月以前发布,90,"9,197元/平"
簧金地段，精装修，品牌家电，即将满二，税费低,金橄榄广场 -东坝,3室2厅 | 128平米 | 南 | 其他 | 高楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,132,"10,313元/平"
御锦湾精装大四房 9成新 楼层好 户型通透,御锦湾 -东坝,4室2厅 | 139.5平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,3人关注 / 5个月以前发布,155,"11,112元/平"
