标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
万科维园 业主诚心出售 好楼层 产权清晰 随时可签,万科维园 -梅村,3室2厅 | 125.81平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,3人关注 / 28天以前发布,235,"18,679元/平"
吴桥地铁口 金太湖购物城 纯毛坯舒适三房 南北通透,新欧风花园 -北大街,3室1厅 | 130.32平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 25天以前发布,225,"17,266元/平"
远离高架 边套精装修三房 满五唯一 诚心出售,新城香溢紫峻园 -江溪,3室1厅 | 86.02平米 | 东南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 17天以前发布,140,"16,276元/平"
祥和山水城 滨湖鑫茂苑 环境好 青竹翠柳 闹中取静,滨湖鑫茂苑 -南泉,2室2厅 | 107.28平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 20天以前发布,128,"11,932元/平"
璟园二期中高楼层，三开间朝南户型，采光充足,中海凤凰璟园二期 -华庄,3室2厅 | 94.12平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 21天以前发布,255,"27,094元/平"
长江国际雅园 精装 两房 小区环境优美 视野开阔绿化好,长江国际雅园 -江溪,2室2厅 | 99.51平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 23天以前发布,162,"16,280元/平"
高品质小区 低楼层 采光适宜 精装修2房,长江国际泓园 -江溪,2室1厅 | 88.2平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 19天以前发布,160,"18,141元/平"
满五唯一 少税费 远离高架 诚心出售,新城香溢紫峻园 -江溪,2室1厅 | 86.02平米 | 东南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 24天以前发布,130,"15,113元/平"
中海珑玺 3室2厅 南 北,中海珑玺 -塘铁桥,3室2厅 | 110.33平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 22天以前发布,260,"23,566元/平"
精装4居不靠高架（诚心出售）软装全留！采光时间充足,富力城D区 -江溪,4室2厅 | 124.53平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 18天以前发布,225,"18,068元/平"
斗山花苑，顶带阁楼精装修 房东急卖 上下两层 急卖,斗山花苑 -锡北,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,89,"7,064元/平"
房屋楼层好 采光好 通透格局 配套齐全,仁和英伦皇家花园 -山北,3室2厅 | 107.51平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 30天以前发布,150,"13,953元/平"
重新装修，中间层，土出已交不涨土出视野好，采光刺眼,春潮花园一区 -旺庄,3室2厅 | 121.11平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 19天以前发布,119,"9,826元/平"
阳光城市花园A区 4室2厅 南 北,阳光城市花园A区 -中桥,4室2厅 | 168.92平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 22天以前发布,385,"22,792元/平"
柏庄 二泉 金锡苑电梯3居 自住装修 保养好 视野开阔,金锡苑南区 -东亭,3室2厅 | 139.83平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 17天以前发布,150,"10,728元/平"
长江国际雅园 有地铁 小区前排 看房方便,长江国际雅园 -江溪,2室2厅 | 99.51平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,3人关注 / 31天以前发布,159,"15,979元/平"
精装修自住保养好，中上楼层，小区楼间距大，采光好,华夏世纪锦园北区 -安镇,3室2厅 | 101.16平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,155,"15,323元/平"
西溪碧桂园   房东诚心出售    看房方便,西溪碧桂园 -钱桥,3室1厅 | 96.64平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 26天以前发布,140,"14,487元/平"
土出已交  精装修 业主自住 3房 拎包入住 首付35万,鑫安苑润和里 -安镇,3室2厅 | 94.42平米 | 南 北 | 精装 | 低楼层(共11层)  | 平房,0人关注 / 19天以前发布,108,"11,439元/平"
叙康里全新装修，一楼带车库，看房方便，诚心出售,叙康里 -江溪,3室2厅 | 90.83平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 29天以前发布,125,"13,762元/平"
此房为三房的户型，楼层好，采光好，房东诚心出售,阳光100阿尔勒 -西漳,3室2厅 | 90.7平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,142,"15,657元/平"
融创·瑷颐湾B区 3室2厅 南,融创·瑷颐湾B区 -海岸城/市民中心,3室2厅 | 89.88平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,6人关注 / 23天以前发布,232,"25,813元/平"
前后都是景观带，小区体量适中，不靠大路，保养好,太湖国际二街区-星辉塞纳 -万象城/东绛,2室2厅 | 89.97平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,3人关注 / 26天以前发布,230,"25,565元/平"
五星家园 电梯房 看房预约 诚心售,五星家园 -扬名,2室1厅 | 88.7平米 | 西南 | 简装 | 高楼层(共33层)  | 板楼,2人关注 / 16天以前发布,122,"13,755元/平"
新上 好楼层 明厨明卫 精心装修 含家具家电,周新苑五期 -万象城/东绛,2室1厅 | 73.34平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,4人关注 / 12天以前发布,110,"14,999元/平"
长江路地铁口宝龙旁 精装修 业主诚心出售,长江国际花园 -旺庄,4室2厅 | 209.09平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,400,"19,131元/平"
新上 庄桥地铁口 精装修未入住有钥匙随时看 东小未用,金福北苑 -东亭,1室1厅 | 58.57平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,82,"14,001元/平"
精装大三房  拎包入住  楼层无遮挡采光好,阳光100国际新城南区 -刘潭,3室2厅 | 88.83平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 19天以前发布,112,"12,609元/平"
双地铁口出行方便 惠山脚下新小区 中高楼层采光好,中锐阅山花园 -山北,3室1厅 | 88.44平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 19天以前发布,155,"17,527元/平"
金科中心 中上楼层 不靠高架 精装修 拎包入朱,金科中心 -塘南,3室2厅 | 91.51平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 13天以前发布,182,"19,889元/平"
欧典家园 精装修 商品房 中间楼层 两房朝南 采光刺眼,欧典家园北区 -江溪,2室2厅 | 87.25平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,120,"13,754元/平"
黄泥头佳苑，次顶楼，采光无遮挡，小区绿化合理，,黄泥头佳苑 -广瑞/广丰,3室2厅 | 117.23平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 17天以前发布,135,"11,516元/平"
次新房 中高楼层 视野开阔 房东诚心出售 采光好,中海寰宇天下西区 -坊前,3室2厅 | 89.34平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 15天以前发布,172,"19,253元/平"
五星家园 新村2居 南北朝向 低楼层 出行方便 随时签约,五星家园 -扬名,2室1厅 | 86.45平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 16天以前发布,113,"13,072元/平"
梁南苑边套婚装大两房，包土出，可议价,梁南苑B区 -塘铁桥,2室2厅 | 93.3平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,1人关注 / 7天以前发布,135,"14,470元/平"
万裕苑二期电梯三房，精装自主，看房方便,万裕苑二区 -坊前,3室2厅 | 98.25平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,2人关注 / 13天以前发布,102,"10,382元/平"
阳光100凤凰社，两房，楼层好，视野好，诚心卖,阳光100国际新城南区 -刘潭,2室1厅 | 66平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 11天以前发布,79,"11,970元/平"
中间楼层，家里很干净，保养好，南北通透,西园一村 -澄江街道,2室2厅 | 94.86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,99.8,"10,521元/平"
满五年土出未交，格局方正，楼层好视野开阔，采光充足,周新苑四期 -万象城/东绛,2室2厅 | 70.94平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 7天以前发布,89,"12,546元/平"
风顺里 中间楼层 三开间朝南 诚心出售,风顺里 -塘南,3室1厅 | 105.97平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 12天以前发布,126,"11,891元/平"
叙康里精装2房 边套 满五唯一 全明户型 中间楼层,叙康里 -江溪,2室1厅 | 64.95平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 10天以前发布,83,"12,780元/平"
金科世界城  中间楼层  全天采光   视野好,金科世界城C区 -中桥,3室2厅 | 121.32平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 9天以前发布,230,"18,959元/平"
郦园高楼层带地暖，实木家具品牌家电，不靠马路保养好,海岸城郦园 -海岸城/市民中心,3室2厅 | 89.5平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 15天以前发布,232,"25,922元/平"
月溪苑精装电梯三房，房东诚心出售,月溪苑 -新体育中心,3室2厅 | 101.51平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 11天以前发布,140,"13,792元/平"
阳光100南区，1楼带40平院子，满五，房东急售,阳光100国际新城南区 -刘潭,2室2厅 | 88平米 | 东 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,118,"13,410元/平"
三开间朝南 双阳台设计，前面无遮挡 人车分流,华润橡树湾（四期五期） -堰桥,3室2厅 | 107.31平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 11天以前发布,169,"15,749元/平"
满五唯一税费少，万达旁，三层毛坯复式洋房，随心装修,金都花园 -堰桥,5室2厅 | 210.19平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板塔结合,31人关注 / 一年前发布,252,"11,990元/平"
凤凰城大三房 楼层好视野佳 采光无影响,华仁凤凰城 -北大街,3室2厅 | 141.59平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,275,"19,423元/平"
连元街 东林广场 精装修  中楼层,映山华庭 -三阳广场,3室1厅 | 101.69平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,270,"26,552元/平"
精装修，三开间朝南，户型方正，采光无遮挡，楼层佳,瑞景望府 -安镇,3室2厅 | 89.9平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,7人关注 / 一年前发布,198,"22,025元/平"
地铁口万科品质，精装四房，好楼层诚意售有车位可聊,万科金域缇香南区 -江溪,4室2厅 | 139.94平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,135人关注 / 一年前发布,287,"20,509元/平"
急售 急售 包土出 带大露台 复式精装  看中价格可大刀,广益佳苑二期 -广益,4室2厅 | 171.77平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,9人关注 / 一年前发布,205,"11,935元/平"
纯叠墅小区，看房有钥匙的，小区环境好中式园林风格,建发玖里湾1期3期 -安镇,3室2厅 | 144.89平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,6人关注 / 3个月以前发布,375,"25,882元/平"
万业观山泓郡 3房2卫 好楼层 前后无遮挡 通透性好,万业观山泓郡 -安镇,3室2厅 | 103.43平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,12人关注 / 9个月以前发布,190,"18,370元/平"
次新 毛胚房  业主诚心出售 有车位 看中可谈,金桂尚苑 -中桥,3室2厅 | 139.59平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,6人关注 / 6个月以前发布,289,"20,704元/平"
好赞好房，诚心出售，一梯两户高舒适度，车位可出售。,长江绿岛二期 -江溪,2室2厅 | 106.19平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,107人关注 / 5个月以前发布,145,"13,655元/平"
急售 急售 包土出 带大露台 复式精装  看中价格可大刀,广益佳苑二期 -广益,4室2厅 | 171.77平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,9人关注 / 一年前发布,205,"11,935元/平"
业主上门挂牌，小三房，不靠高架，好楼层，随时看房,红豆香江豪庭二期 -安镇,3室1厅 | 89.29平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,165,"18,480元/平"
精装顶带阁，土出已交，好楼层，视野开阔，采光真亮,鑫安苑润和里 -安镇,3室2厅 | 107.79平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,125,"11,597元/平"
碧桂园一期精装修全屋硅藻泥三菱空调 满5随时看房,无锡碧桂园A区 -安镇,3室2厅 | 126.16平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,5人关注 / 8个月以前发布,254,"20,134元/平"
两层适合三代同堂，居住环境好前面视线好,富城湾 -黄巷,3室2厅 | 135.3平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 6个月以前发布,187,"13,822元/平"
一期中间楼层 精装修两房 有车位,尚东雅园 -旺庄,2室2厅 | 81.67平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 2个月以前发布,144,"17,632元/平"
叙康里 全新装修 中间楼层 采光无遮挡 有钥匙随时看,叙康里 -江溪,2室1厅 | 62.74平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 5个月以前发布,85,"13,548元/平"
南长华府次新小区，纯毛坯，中间楼层 采光无遮挡,国美南长华府 -清名桥,3室2厅 | 142.52平米 | 南 | 毛坯 | 中楼层(共35层)  | 暂无数据,2人关注 / 2个月以前发布,305,"21,401元/平"
满5年唯一！税费低！看房随时 客厅有双窗！错过不在！,叙康里 -江溪,3室2厅 | 100.56平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,113,"11,238元/平"
锡山八佰伴一路之隔 嘉园小区买一层带一层,嘉园小区 -东亭,3室2厅 | 79.97平米 | 北 南 | 精装 | 中楼层(共8层)  | 平房,15人关注 / 8个月以前发布,123,"15,381元/平"
正大万物城 毛坯三房 龙湖物业  新小区，价格便宜,正大万物城 -生态园,3室1厅 | 114.78平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,5人关注 / 2个月以前发布,166,"14,463元/平"
春潮花园三区东区，不是一楼，出行方便，三居室,春潮花园三区 -旺庄,3室2厅 | 92.26平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,95,"10,297元/平"
映月华府 毛坯三房 三开间朝南户型 满五年 不靠高架,映月华府 -安镇,3室2厅 | 91.21平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,2人关注 / 7个月以前发布,183.8,"20,152元/平"
3号线北栅口地铁 北大街 华仁凤凰城 毛坯大三房,华仁凤凰城 -北大街,3室2厅 | 141.59平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,43人关注 / 8个月以前发布,286,"20,200元/平"
"房东急售,中间楼层，采光无遮挡",恒大御澜湾 -东北塘,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,3人关注 / 5个月以前发布,178.8,"12,592元/平"
阳光C区大三房 婚装自住 全新精装 好楼层 包车位,阳光城市花园C区 -中桥,3室1厅 | 152.51平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,9人关注 / 一年前发布,398,"26,097元/平"
天一高中旁 首创隽府 精装三房 有钥匙随时看房,首创隽府 -东亭,3室2厅 | 113.62平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,175,"15,403元/平"
新出房源，三开间朝南，全新毛坯，中上楼层，采光好,红豆香江豪庭二期 -安镇,3室2厅 | 89平米 | 西南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,157,"17,641元/平"
此房满五唯一 精装修 房东自住  中间楼层 拎包入住,蓝光coco蜜园 -安镇,3室2厅 | 75.22平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,13人关注 / 10个月以前发布,159,"21,138元/平"
榭丽花园 大 三房 纯毛坯 满2年 看房有钥匙 诚心出售,榭丽花园B区 -前洲,3室2厅 | 130.91平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,7人关注 / 3个月以前发布,93,"7,105元/平"
无土出，有钥匙随时看房，顶带阁实用面积大，看中可谈,万裕苑 -坊前,2室1厅 | 67平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,100,"14,926元/平"
美的二期  毛坯大三房  有钥匙看房方便,美的公园天下二期 -安镇,3室2厅 | 111.06平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 暂无数据,3人关注 / 7个月以前发布,256,"23,051元/平"
龙湖九墅天玺中间楼层，精装修房屋，看房方便。,龙湖九墅天玺 -东亭,3室2厅 | 142.93平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,12人关注 / 5个月以前发布,315,"22,039元/平"
此房毛坯房，中间楼层，有子母车位,龙湖九墅南区 -东亭,3室2厅 | 111.6平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,3人关注 / 1个月以前发布,228,"20,431元/平"
九龙仓碧玺 新上房源 清水毛坯房 好位置好楼层 有钥匙,九龙仓碧玺A区 -扬名,3室2厅 | 89.65平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 2个月以前发布,225,"25,098元/平"
映月华府上叠 毛坯 大露台  映月湖公园旁 可谈,映月华府 -安镇,3室2厅 | 95.64平米 | 南 | 毛坯 | 上叠(共4层)  | 暂无数据 | 叠拼别墅 ,3人关注 / 5个月以前发布,288,"30,113元/平"
