标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
万达商圈多层四楼客厅朝阳两室朝阳生活便利,中央丽景小区 -万达,3室2厅 | 120.35平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,87,"7,229元/平"
财政局单位房，沿北海路，户型好南北通透，东华近。,荣昌花园 -东明学校,3室2厅 | 143平米 | 南 北 | 简装 | 中楼层(共31层)  | 板楼,2人关注 / 8个月以前发布,112.6,"7,875元/平"
向阳小区多层2楼带储藏室业主诚心出售,向阳小区 -寿光市,2室1厅 | 70.82平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 4个月以前发布,29.5,"4,166元/平"
精装出税，四居室，负一层停车位,恒大名都 -市府东南,4室2厅 | 175.81平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,115,"6,542元/平"
楼层好，采光好，出税，精装修未住，客厅朝阳卧室朝阳,恒大名都 -市府东南,3室2厅 | 130.1平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,3人关注 / 一年前发布,91,"6,995元/平"
外国语近 出税 多层3楼 房主急售,鲁发名城安定郡 -福乐多,3室1厅 | 101.15平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,59,"5,833元/平"
经开实验近 三室朝阳 出税  南北通透 带地下室,美丽华小区 -锦绣学校,3室2厅 | 124.89平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 7个月以前发布,80.5,"6,446元/平"
人民广场北海南邻多层大三室采光视野好精装,北海花园B区 -人民广场,3室2厅 | 125.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,99,"7,868元/平"
御景央邸 精装修婚房 全天采光,大观二期御景央邸 -市府东南,3室2厅 | 108.96平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,13人关注 / 6个月以前发布,88,"8,077元/平"
通透 泰华近，成熟商圈，一楼带大园子,苇湾社区西区 -泰华,3室1厅 | 72平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,49.6,"6,889元/平"
宝通陆号二期 电梯洋房 精装未住 20万大车库另算,宝通陆号 -植物园,3室2厅 | 137.79平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,10人关注 / 8个月以前发布,192,"13,935元/平"
人民医院虞河北岸精装电梯两居室两卧朝阳诚心出售,帝景苑 -新华中学,2室2厅 | 96.97平米 | 北 南 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,68,"7,013元/平"
渤海旁，精装3室，小高层，拎包入住，金马公X。,恒信沁园 -市府东南,3室2厅 | 126.49平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,11人关注 / 4个月以前发布,119.5,"9,448元/平"
品质小区 新房未住 精装修恒大名都近翰声国际 中医院,恒大名都 -市府东南,3室2厅 | 114.81平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,12人关注 / 一年前发布,83,"7,230元/平"
利昌 恒大翡翠华庭 楼层采光好 三室精装 带家具家电,恒大翡翠华庭 -福乐多,3室2厅 | 109.72平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 一年前发布,64.8,"5,906元/平"
市府广场近、两室朝阳，客厅朝阳，全天采光，房主急售,大观二期御景央邸 -市府东南,4室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,115,"8,395元/平"
东方东明.精装三室未住.中间楼层看房方便有钥匙。,北海公馆 -谷德广场,3室1厅 | 109.33平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 2个月以前发布,66.5,"6,083元/平"
谷德近 东明 单位小区 多层 中间层 H户型 博雅德园,博雅德园 -东明学校,3室2厅 | 128.79平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,10人关注 / 5个月以前发布,100,"7,765元/平"
谷德广场近 单位房面积大  交通方便 配套完善,管委会宿舍小区 -谷德广场,3室1厅 | 102平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,71,"6,961元/平"
宝通家园，全明户型，格局好，11楼层 采光充足,万基宝通家园 -金宝,3室2厅 | 98.59平米 | 北 南 | 简装 | 中楼层(共17层)  | 板楼,7人关注 / 6个月以前发布,55.8,"5,660元/平"
虞河边多层四楼 楼层好 采光好通风效果好,虞新小区 -新华路北,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,54,"6,000元/平"
永安路 近 一楼带院子 南北通透 急售看房有钥匙,西关中和街 -自怡园,2室1厅 | 60.62平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,19人关注 / 一年前发布,28.5,"4,702元/平"
中房幸福名都，精装修，很干净，偏H户型，南北通透,中房幸福名都 -南部新区,3室2厅 | 112.15平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,71.8,"6,403元/平"
高新南 白沙河旁 凤凰太阳城 电梯房 婚房三室 出税,凤凰太阳城 -雷沃重工,3室1厅 | 87.62平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,49.9,"5,696元/平"
虞河畔，北苑实验近，精装3室，,紫金花园 -锦绣学校,3室2厅 | 108.64平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,78,"7,180元/平"
大观天下精装三室，南排楼座位置好，全天采光带家具,大观天下一期 -市府东南,3室2厅 | 139.62平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,109,"7,807元/平"
加州世纪尊品大三居带楼层好，全明户型，出税随时可看,加州世纪尊品 -梨园,3室2厅 | 122.58平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,110,"8,974元/平"
市府东南，十甲旁，20万装修，全天采光,大观天下一期 -市府东南,3室2厅 | 122.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 10个月以前发布,115,"9,355元/平"
采光好  市府东南位置好，小高层公摊小，南向无遮挡,时代丽景苑 -市府东南,3室2厅 | 123.89平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,85,"6,861元/平"
亚星小区多层双语近采光充足，生活便利,亚星小区北区 -新华路北,2室2厅 | 80.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 7个月以前发布,35.5,"4,400元/平"
一楼带院子，小区很新，绿化好，满二税费少,仁和盛庭 -锦绣学校东,3室2厅 | 118.17平米 | 北 南 | 毛坯 | 低楼层(共27层)  | 板楼,7人关注 / 一年前发布,75,"6,347元/平"
鲁发名城，精装电梯房2室，南北通透，户型好，急售,鲁发名城崇文郡 -福乐多,2室1厅 | 88.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,52,"5,882元/平"
沿河飘窗观景，采光充足装修好，上学方便,双羊新城 -坊子佳乐家,3室2厅 | 108.91平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 11个月以前发布,69.8,"6,409元/平"
北海路虞舜公园、雷沃旁，泰华城近，多层四楼,恒信领海国际 -雷沃重工,3室1厅 | 86.09平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,54.5,"6,331元/平"
新华路经开实验近多层二楼出税带着南北通透有钥匙,良种场小区 -锦绣学校东,3室2厅 | 74平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,39.8,"5,379元/平"
高新区，北海路旁，精装微住，拎包入住,新富专家公寓 -东明学校,2室2厅 | 101.02平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,62,"6,138元/平"
万达近 德润物业 现代城133平精装三室朝阳,名门现代城 -阳光100,3室2厅 | 132.24平米 | 南 北 | 精装 | 高楼层(共12层)  | 塔楼,4人关注 / 一年前发布,112,"8,470元/平"
万家福近 河滨花园 多层好楼层标准三室  带地下室,河滨花园 -万家福,3室1厅 | 80.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,36.8,"4,572元/平"
中南保利樾府 四室 劳斯莱斯房型 有钥匙,中南保利樾府 -高新实验,4室2厅 | 160.83平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,149,"9,265元/平"
云门书院旁 精装未住3室 带储 高楼层采光好,青州市国泰家园小区 -青州市,3室2厅 | 112.84平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,52,"4,609元/平"
白浪河水岸华庭精装H户型双卫干白色系装修,水岸华庭 -广文,3室2厅 | 144.96平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,159,"10,969元/平"
业主急售，6楼带阁楼，两个露台，带着地下室。,东方世纪城 -潍坊学院,3室2厅 | 133.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,13人关注 / 10个月以前发布,108,"8,083元/平"
精装 多层采光好 2室朝阳 有地下室 看房方便 价格可议,鲁发名城宣武郡 -福乐多,2室1厅 | 86.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,41.9,"4,853元/平"
盛世旁 潍柴单位房.动静分离户型,潍柴佳苑 -潍柴动力,3室2厅 | 123.81平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 31天以前发布,88,"7,108元/平"
大有公馆毛坯三室 近实验广文 看房方便房主诚售,大有公馆 -人民医院,3室2厅 | 130.24平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板塔结合,2人关注 / 4个月以前发布,164,"12,593元/平"
东风街新华路，多层三楼，精装修，东山客厅带窗户急售,御秀苑 -新华路佳乐家,3室2厅 | 104.21平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,79.8,"7,658元/平"
11层电梯洋房，精装修带储藏室，出税有钥匙,欣泰盛和苑 -锦绣学校,3室2厅 | 109.31平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,71.8,"6,569元/平"
万达近则尔庄潍柴单位房同心园单价低好房出售,同心园小区 -则尔庄,2室2厅 | 70.44平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 5个月以前发布,29.5,"4,188元/平"
智谷近 两室朝阳 客厅朝阳毛坯出税高兴城市广场,高新城市广场 -智谷学校,3室2厅 | 115.73平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,97,"8,382元/平"
市府东南涨面河近精装未住 南北通透 大三居,博观熙岸 -市府东南,3室2厅 | 121.89平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,147,"12,061元/平"
恒大名都 紧凑三居室  精装修 拎包入住,恒大名都 -市府东南,3室2厅 | 109.25平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 11个月以前发布,80,"7,323元/平"
近新华日向多层电梯洋房大H户型落地窗带地下室有车库,艺校宿舍 -新华中学,3室2厅 | 183.74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,161人关注 / 一年前发布,157,"8,545元/平"
11月出税，偏H户型，动静分离凤凰层采光好看房有钥匙,蓝顿浞河生活广场 -高新人民医院,3室2厅 | 103.73平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,2人关注 / 3个月以前发布,59.5,"5,737元/平"
日向 新华双卧室和客厅都朝阳 简装 空置中看方方便,中央生活城 -新华中学,2室1厅 | 89.82平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,78,"8,685元/平"
此房房龄新，爱琴海大三室，装修好，，生活方便,茂华爱琴海 -北苑实验,3室2厅 | 138.88平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,150,"10,801元/平"
日向 新华双卧室和客厅都朝阳 简装 空置中看方方便,中央生活城 -新华中学,2室1厅 | 89.82平米 | 南 | 简装 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,78,"8,685元/平"
此房房龄新，爱琴海大三室，装修好，，生活方便,茂华爱琴海 -北苑实验,3室2厅 | 138.88平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,150,"10,801元/平"
万达近！客厅朝阳大三室双卫 中间楼层 有地下室,金鼎华府 -则尔庄,3室2厅 | 128.8平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,94,"7,299元/平"
金樱旁，恒大精装修，四居室，六千多一平,恒大名都 -市府东南,4室2厅 | 175.59平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,11人关注 / 3个月以前发布,116,"6,607元/平"
经开实验南邻 精装未住 美丽华 多层3楼 三室朝阳 出税,美丽华小区 -锦绣学校,3室2厅 | 103.59平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,79,"7,627元/平"
华景新城精装小两室，交通便利，,华景新城 -自怡园,2室2厅 | 78.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,44,"5,585元/平"
大观二期   精装未住 有车位 出两年过户费低 看房方便,大观二期御景央邸 -市府东南,3室2厅 | 110.86平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,91.5,"8,254元/平"
帝景苑日向新华，大三居，精装修，带地下室,帝景苑 -新华中学,3室2厅 | 111.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,11人关注 / 9个月以前发布,105,"9,445元/平"
精装修三室全明户型划东方跟东明楼层很好厕所带窗户,顺海城市花园 -东明学校,3室1厅 | 116.7平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,89.9,"7,704元/平"
潍坊学院东，古德茂近，客厅朝阳，双卫出税,东金一号B区 -金融广场,3室1厅 | 130.92平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,1人关注 / 3个月以前发布,108,"8,250元/平"
广文近电梯房楼龄新可贷款   精装三室,力拓国际大厦 -广文,3室1厅 | 96.83平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,69,"7,126元/平"
奎文区虞河畔 北苑学 校近 小高层八楼  三室出税 急售,晨晟世纪城北区 -锦绣学校,3室2厅 | 110.17平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,69.8,"6,336元/平"
南北通透 南向大客厅 全天采光，精装婚房，拎包入住,虞河生活城 -则尔庄,3室2厅 | 132.51平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,107,"8,075元/平"
15万精装，带家具家电，带车位，可拎包入住。,大观二期御景央邸 -市府东南,3室2厅 | 110.86平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,98,"8,840元/平"
盛世华庭！西山标三户型！ 精装 满五唯一！！！,盛世华廷 -新华中学,3室2厅 | 121.87平米 | 南 西 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 8个月以前发布,117,"9,601元/平"
东明古德近.11层电梯洋房.精装采光好.楼层好！,盛华名园 -东明学校,3室2厅 | 94.96平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 9个月以前发布,73,"7,688元/平"
潍大花园，满五唯一，南北通透，楼层好，采光佳,翰林新城.潍大花园 -潍坊学院,3室2厅 | 150.25平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,30人关注 / 一年前发布,120,"7,987元/平"
北海路近出门理想，精装三室带全部家具家电地下车位。,嘉和未来城 -坊子泰华,3室2厅 | 99.96平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,59,"5,903元/平"
弘润金茂府客厅朝阳三室双卫带15万精装拎包入住,弘润金茂府 -东明学校,3室2厅 | 143.51平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,72人关注 / 一年前发布,128,"8,920元/平"
店长推荐：十甲市场旁边一楼带院，南北通透大三居,金华丽 -市府东南,3室2厅 | 141.74平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,5人关注 / 一年前发布,107,"7,550元/平"
急卖急卖 上孙家 附属虞河近 东方太阳城 三室 采光好,东方太阳城(虞河路) -新华路北,3室2厅 | 100.4平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,77.9,"7,759元/平"
急售，多层三楼大两室，两明间，即买即住，随时看房,锦绣苑 -锦绣学校,2室1厅 | 86.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,51,"5,901元/平"
恒大精装三居室 可直接入住，带地下室，有车位,恒大名都 -市府东南,3室1厅 | 107.23平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,82,"7,648元/平"
春景花园 标准H户型，精装， 3室2厅2卫,春景花园 -高新实验,3室2厅 | 135.25平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,5人关注 / 4个月以前发布,108,"7,986元/平"
电业局单位房精装出税带着地下室,五洲花园 -锦绣学校,3室2厅 | 143.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,105,"7,300元/平"
