标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
电力西苑 2室1厅 南,电力西苑 -三岔路,2室1厅 | 65平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 2个月以前发布,31.8,"4,893元/平"
满2年 电梯2房 全屋高档装修 拎包入住,常德恒大华府 -芷兰,2室2厅 | 81平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,5人关注 / 4个月以前发布,65,"8,025元/平"
此房型周正，采光充足，小区环境良好，交通便利,常德烟厂生活三区 -三岔路,2室1厅 | 65平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,32.8,"5,047元/平"
此房满五唯一，楼层好，采光充足，配套设施齐全,玫瑰苑 -三闾,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,55,"4,546元/平"
现房现房，房子硬装。直接可以买东西入住。,常德碧桂园一期 -白马湖,4室2厅 | 143.44平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,82,"5,717元/平"
常德烟厂生活三区 2室1厅 南,常德烟厂生活三区 -三岔路,2室1厅 | 52平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 1天以前发布,28,"5,385元/平"
沙港花园 鸿升 万达旁 拎包入住大两房 业主诚售有钥匙,沙港花园 -鸿升,2室2厅 | 101.8平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,50,"4,912元/平"
德山 碧桂园 精装公寓 16.8万 业主诚心出售！,碧桂园十里公园 -德山,1室0厅 | 32平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,16.8,"5,250元/平"
保利湖景5房，享国家4A景区资源，人车分流封闭小区,保利中央公园 -柳叶湖,5室2厅 | 155平米 | 东南 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,8人关注 / 一年前发布,124,"8,000元/平"
恒大华府精装四房可拎包入住！！！,常德恒大华府 -芷兰,4室2厅 | 140平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,139,"9,929元/平"
万达商圈 万达公馆四房 业主诚心出售,万达湖公馆B区 -白马湖,4室2厅 | 188平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,22人关注 / 一年前发布,100,"5,320元/平"
大小河街旁，三一翡翠湾，电梯毛坯小三房,三一翡翠湾 -三闾,3室2厅 | 90.53平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,34人关注 / 一年前发布,53.8,"5,943元/平"
柳叶湖，复基，荷花公园，保利旁，精装电梯，随时看房,柳叶府 -柳叶湖,4室2厅 | 142平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 20天以前发布,90,"6,339元/平"
紫金城金色世纪一期 4室2厅 南,紫金城金色世纪一期 -火车站,4室2厅 | 144平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,110,"7,639元/平"
捌海▪常德公馆 3室1厅 南,捌海▪常德公馆 -桥南,3室1厅 | 123.71平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 18天以前发布,80.8,"6,532元/平"
交通便利 配套完善 自住装修保养好，看房有钥匙,捌海▪常德公馆 -桥南,3室2厅 | 127.8平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,78,"6,104元/平"
星语林汀湘湖畔  柳叶湖车站  恒大影城  大三房,星语林汀湘湖畔 -柳叶湖,3室2厅 | 133.55平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,94,"7,039元/平"
此房装修好，拎包入住，户型周正,万达湖公馆A2区 -白马湖,3室2厅 | 112.89平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,123,"10,896元/平"
汇景中央广场 4室2厅 南,汇景中央广场 -文理学院,4室2厅 | 135.85平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,122,"8,981元/平"
江南新城，户型方正，建新河旁，,桃花源府西区 -桥南,4室2厅 | 125.28平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 25天以前发布,73.8,"5,891元/平"
王炸楼栋，满五唯一，南北通透  前后无遮挡。,高尚名門 -三闾,4室2厅 | 157.73平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 25天以前发布,97.7,"6,195元/平"
中建壹号府 4室2厅 南 北,中建壹号府 -五强溪,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 22天以前发布,90,"6,294元/平"
需要改善型住宅的看过来，朗州府大平层，舒服的哇,常德碧桂园朗州府 -火车站,4室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,135.8,"9,302元/平"
小区环境好 交通便利 适合居家,富新嘉苑 -五强溪,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 31天以前发布,98,"6,854元/平"
金城苑 3室2厅 南,金城苑 -白马湖,3室2厅 | 142.25平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,128.8,"9,055元/平"
德景园旁 电梯 精装大三房 高使用 带家具 拎包入住,学府家苑 -文理学院,3室2厅 | 141平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,100,"7,093元/平"
丁玲公园、万达广场、欢乐城，荷塘月色精装三房,荷塘月色 -火车站,3室2厅 | 110.5平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,60.8,"5,503元/平"
汇景中央广场 5室2厅 南,汇景中央广场 -文理学院,5室2厅 | 165.05平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 14天以前发布,130,"7,877元/平"
屈原公园，毛坯四房，一线江景.,中建滨江府 -五强溪,4室2厅 | 143.6平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,99,"6,895元/平"
精品装修 拎包入住 环境舒适 江景房,盛唐四月天 -地区医院,2室2厅 | 88平米 | 南 | 其他 | 低楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,62,"7,046元/平"
此房满二年，楼层好，视野开阔，采光好，东边户,三一翡翠湾 -三闾,2室2厅 | 86平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,75.8,"8,814元/平"
城西电梯三房 户型通透 中间楼层 文理学院带车位,雪天佳苑 -文理学院,3室2厅 | 128.7平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,10人关注 / 一年前发布,92,"7,149元/平"
桥南商圈 现浇结构 精装自住两层可出租可办公地基房,新民巷11号 -桥南,7室3厅 | 597.37平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,2人关注 / 8个月以前发布,218,"3,650元/平"
房子面积大，交通便利，近丁玲公园。,君华·御庭 -白马湖,5室2厅 | 162.76平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,150,"9,217元/平"
阳明湖畔 3室2厅 南,阳明湖畔 -桥南,3室2厅 | 121.13平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,60,"4,954元/平"
富华柳湖公馆 4室2厅 南,富华柳湖公馆 -柳叶湖,4室2厅 | 163平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 16天以前发布,108,"6,626元/平"
怡景御园 3室2厅 南 北,怡景御园 -火车站,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,80,"6,667元/平"
龙湖双珑原著 5室2厅 南 北,龙湖双珑原著 -火车站,5室2厅 | 158.06平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,199,"12,591元/平"
柳叶府 4室2厅 南 北,柳叶府 -柳叶湖,4室2厅 | 142.48平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 14天以前发布,105,"7,370元/平"
出行方便 生活便利 户型格局好，视野开阔，产权清晰,常德碧桂园C区 -白马湖,3室1厅 | 116平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,90,"7,759元/平"
金丹新河渠公园 单位院子停车免费	物业好绿化,五强溪 -五强溪,3室2厅 | 142平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,55.8,"3,930元/平"
繁华地段 ，全景落地窗，精装修保养好,电信花园 -火车站,2室2厅 | 92.4平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,85,"9,200元/平"
西郊花园 6室3厅 南 北,西郊花园 -五强溪,6室3厅 | 354.03平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 19天以前发布,288,"8,135元/平"
东方美景二期 5室2厅 南,东方美景二期 -柳叶湖,5室2厅 | 189平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,103,"5,450元/平"
大小河街，德国小镇，步梯中层精装大四房，单价五字头,东方美景二期 -柳叶湖,4室2厅 | 148.91平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 18天以前发布,75,"5,037元/平"
富华花苑，精装大三房，拎包入住,富华花苑 -鸿升,3室2厅 | 140.33平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 6天以前发布,88,"6,271元/平"
汇景四房，公摊少，得房率高！！！！！！,汇景中央广场 -文理学院,4室2厅 | 128平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,107,"8,360元/平"
汇景中央广场 4室2厅 南,汇景中央广场 -文理学院,4室2厅 | 134平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,102,"7,612元/平"
汇景中央广场 3室2厅 南 北,汇景中央广场 -文理学院,3室2厅 | 126.5平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,100,"7,906元/平"
此房户型方正，通风好，好楼层，封闭式小区，安全性高,汇景中央广场 -文理学院,4室2厅 | 127平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,108,"8,504元/平"
万达湖公馆B区 5室2厅 南,万达湖公馆B区 -白马湖,5室2厅 | 188平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 21天以前发布,135,"7,181元/平"
柳城·印象 4室2厅 南,柳城·印象 -柳叶湖,4室2厅 | 173.79平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 27天以前发布,115,"6,618元/平"
楼层好，视野宽阔，采光充足，户型周正,汇景中央广场 -文理学院,4室2厅 | 138平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 22天以前发布,113,"8,189元/平"
纯1线江景、老三岔路天源鑫座、正规四房采光佳,天源鑫座 -三岔路,4室2厅 | 115.42平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,85,"7,365元/平"
采光好 通透性强 新小区，精空，环境好，人车分流,常德碧桂园朗州府 -火车站,5室2厅 | 205平米 | 北 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 30天以前发布,179,"8,732元/平"
火车站，汽车站，高铁站，欢乐城。,泽云幸福里 -火车站,4室2厅 | 122平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 19天以前发布,91,"7,460元/平"
此房户型方正，通风好，好楼层，封闭式小区，安全性高,汇景中央广场 -文理学院,4室2厅 | 145平米 | 南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,145,"10,000元/平"
芙蓉公园中建壹号府联排别墅满两年价格可谈芙蓉公园,中建壹号府 -五强溪,5室2厅 | 180平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 19天以前发布,274,"15,223元/平"
出行方便 生活便利 户型格局好，视野开阔，产权清晰,常德碧桂园三期剑桥郡 -白马湖,4室2厅 | 144平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 16天以前发布,86.5,"6,007元/平"
中建两梯两户大平层 一线江景 屈原公园,中建滨江府 -五强溪,4室2厅 | 175.54平米 | 南 北 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 29天以前发布,120,"6,837元/平"
一线江景房，此房已满两年，格局好，视野开阔,天源鑫座 -三岔路,4室2厅 | 115.42平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,84,"7,278元/平"
中建滨江府 4室2厅 南,中建滨江府 -五强溪,4室2厅 | 174平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 26天以前发布,120.8,"6,943元/平"
白马湖，万达商圈，电梯好楼层，户型周正，南北通透。,汇景中央广场 -文理学院,4室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,102,"8,032元/平"
汇景中央广场 4室2厅 南,汇景中央广场 -文理学院,4室2厅 | 138平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,105,"7,609元/平"
博大·江山如画一期 5室2厅 南,博大·江山如画一期 -桥南,5室2厅 | 130平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,70,"5,385元/平"
文理学院旁边  汇景大四房  中间楼层,汇景中央广场 -文理学院,4室2厅 | 128平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,115,"8,985元/平"
汇景中央广场 4室2厅 西北,汇景中央广场 -文理学院,4室2厅 | 129平米 | 西北 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 25天以前发布,105,"8,140元/平"
中建滨江府 4室2厅 南,中建滨江府 -五强溪,4室2厅 | 143.7平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,100,"6,959元/平"
此房满五唯不一，户型周正，电梯低楼层，单位小区,芙蓉盛世 -白马湖,5室2厅 | 190.64平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,140,"7,344元/平"
独栋别墅 土地面积大 房子使用面积大,西郊花园 -五强溪,4室2厅 | 403平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,198,"4,914元/平"
白马湖公园世家洋房出售·········,公园世家 -白马湖,7室4厅 | 175平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,310,"17,715元/平"
万达商圈 满二丁玲公园全景采光好 户型通透,万达湖公馆D区 -白马湖,4室2厅 | 170平米 | 北 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 11个月以前发布,142,"8,353元/平"
万达湖公馆D区 3室2厅 南 北,万达湖公馆D区 -白马湖,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,85,"6,693元/平"
文理学院 精装五房 复式带平台 新河渠公园,创元美景 -五强溪,5室3厅 | 175平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,29人关注 / 一年前发布,69.8,"3,989元/平"
恒大华府旁边，芷兰后面，新小区，育美雅苑,育美雅苑 -芷兰,3室2厅 | 129平米 | 南 北 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,103,"7,985元/平"
文理学院旁边，品质高的小区，无公摊楼盘,汇景中央广场 -文理学院,3室2厅 | 113平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,84,"7,434元/平"
德山3100一平电梯三房，房源真实，随时看房,瑶湖苑小区 -德山,3室2厅 | 112.26平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,35.8,"3,190元/平"
此房满五唯一，户型好，业主诚心出售，带个车位,紫苑花园一区 -火车站,3室2厅 | 130.87平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,61.6,"4,707元/平"
火车站，欢乐城旁，毛坯3房，方便出租，总价低,和瑞欢乐城 -火车站,3室1厅 | 107.48平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,82,"7,630元/平"
捌海▪常德公馆 3室2厅 南 北,捌海▪常德公馆 -桥南,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 29天以前发布,57.8,"4,858元/平"
大润发 友阿 滨湖公园 步行街 北正街,水榭花城西城 -滨湖公园,4室2厅 | 169.7平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 24天以前发布,128,"7,543元/平"
福捷华中城2期 4室2厅 南,福捷华中城2期 -桥南,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 25天以前发布,84.8,"6,015元/平"
捌海▪常德公馆 3室2厅 南 北,捌海▪常德公馆 -桥南,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 29天以前发布,57.8,"4,858元/平"
汇景广场 金城苑 文理旁 德和园 毛坯三房业主诚心出售,汇景中央广场 -文理学院,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,81,"7,500元/平"
富新瞰江南 3室2厅 南,富新瞰江南 -三岔路,3室2厅 | 113.67平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,1人关注 / 1个月以前发布,69,"6,071元/平"
碧桂园天悦湾 3室2厅 南,碧桂园天悦湾 -桥南,3室2厅 | 123平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,1人关注 / 30天以前发布,65.8,"5,350元/平"
天润尚城 3室2厅 南,天润尚城 -白马湖,3室2厅 | 104.58平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 23天以前发布,80,"7,650元/平"
才交房的新小区楼层好视野宽阔配套设施齐全交通便利。,常德碧桂园翘楚棠 -柳叶湖,3室2厅 | 116.49平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 31天以前发布,75,"6,439元/平"
泓鑫中苑 三闾 南北通透 人车分流 新小区,泓鑫中苑 -三闾,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 27天以前发布,88,"7,214元/平"
常德碧桂园三期剑桥郡 3室2厅 南,常德碧桂园三期剑桥郡 -白马湖,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 27天以前发布,84,"7,500元/平"
