标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
九洲又一城2期 3室2厅 南,九洲又一城2期 -高新,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,98,"10,104元/平"
南湖车站旁   中玮海润广场    精装修拎包入住,中玮海润广场 -经开区,2室2厅 | 74.7平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 11天以前发布,69,"9,237元/平"
江景电梯房    精装两室带地暖，业主诚心出售,金佳城南名著 -涪城,2室2厅 | 95.3平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 16天以前发布,103,"10,808元/平"
富乐山下，简装两室，户型方正，中间楼层，业主诚心卖,恒信花园 -富乐山,2室2厅 | 84.1平米 | 东南 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 11天以前发布,62,"7,373元/平"
御营新村  标准1室  还是精装修房子哦,御营新村 -御营坝,1室1厅 | 50.43平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,28.9,"5,731元/平"
出售随园新村简装二居室 交通方便,随园新村 -高水,2室2厅 | 76.84平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,44.9,"5,844元/平"
一号桥旁边精装大三室  单价7千多 户型方正,航空家园 -芙蓉,3室2厅 | 139.46平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,98,"7,028元/平"
急售 跃进路16号二期 证在手  无抵押  朝南户型,跃进路16号二期 -国际城,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,1人关注 / 3个月以前发布,129,"12,900元/平"
园艺山品质四房 全新装修 通透户型大阳台,树高卡地亚A区 -科创园区,4室2厅 | 119.1平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 3个月以前发布,133,"11,168元/平"
房东急售 石桥铺精装大三室双卫 楼龄新 楼层采光好,樊华似锦四期 -高新,3室2厅 | 112平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼,3人关注 / 3个月以前发布,110,"9,822元/平"
新上好房，奥林春天精装大三房，电梯入户，满二无高税,田森·奥林春天二期 -科创园区,3室2厅 | 104.79平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,103,"9,830元/平"
户型4室3厅2卫，满二，视野开阔，商圈成熟配套齐全！,电力住宅小区 -富乐山,4室3厅 | 177.7平米 | 东南 南 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 9个月以前发布,116,"6,528元/平"
急售！高新区三房双卫带大阳台，全江景。精装拎包入住,枫璟398F区 -高新,3室2厅 | 106.7平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,94,"8,810元/平"
铁牛广场旁 电梯带屋顶花园 精装大三房双卫 看房方便,顺河中街5号 -铁牛广场,3室2厅 | 111.95平米 | 东北 | 精装 | 高楼层(共8层)  | 平房,10人关注 / 2个月以前发布,79,"7,057元/平"
丽景花城两室改三，品质小区，中上楼层,富临·丽景花城 -火车站,3室1厅 | 78.85平米 | 东南 | 简装 | 高楼层(共20层)  | 板塔结合,3人关注 / 3个月以前发布,58,"7,356元/平"
华润精装带地暖.全实木家具.......,华润中央公园 -科创园区,4室2厅 | 129.7平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,16人关注 / 8个月以前发布,238,"18,351元/平"
房子好，采光好，户型方正，房东诚意出售,南城誉峰 -经开区,3室1厅 | 104.67平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,3人关注 / 7个月以前发布,69.8,"6,669元/平"
科创园区人工湖旁   中间楼层  通透格局好,科园社区 -科创园区,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共5层)  | 暂无数据,2人关注 / 1个月以前发布,37,"3,524元/平"
南湖车站旁 带露台电梯两室 有钥匙随时看,晶蓝湖 -经开区,3室2厅 | 81.83平米 | 东南 | 简装 | 低楼层(共18层)  | 塔楼,3人关注 / 3个月以前发布,72,"8,799元/平"
南城。公园世家幸福里，清水，三室两厅双卫！,南城·公园世家幸福里 -经开区,3室2厅 | 110.99平米 | 东南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"6,289元/平"
清水房，大三室，户型端正，交通方便，业主急售,领地﹒天屿 -经开区,4室2厅 | 132.97平米 | 东南 | 毛坯 | 低楼层(共23层)  | 塔楼,8人关注 / 5个月以前发布,106.8,"8,032元/平"
房东急售 永兴国际 三室一卫 带平台 商圈成熟,东辰·永兴国际 -高新,3室2厅 | 82.31平米 | 南 | 毛坯 | 低楼层(共16层)  | 板塔结合,2人关注 / 2个月以前发布,72.5,"8,809元/平"
西城国际 3室2厅 东,西城国际 -高新,3室2厅 | 78平米 | 东 | 精装 | 高楼层(共25层)  | 平房,4人关注 / 1个月以前发布,69.78,"8,947元/平"
闲暇时在阳台上晒晒太阳看看书品茶，诗和远方尽收眼里,华润中央公园 -科创园区,4室2厅 | 119.5平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,198,"16,570元/平"
精装大三房，带地暖，卧室客厅都能看江，实木家具！,樊华似锦一期 -高新,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,112,"9,334元/平"
万达广场和三江河堤旁，环境优美，交通便利，配套齐全,万达观澜 -经开区,3室2厅 | 110平米 | 西南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 4个月以前发布,119,"10,819元/平"
全明户型，全新业主自住基装，视野开阔，朝中庭,东原观天下二期 -越王楼,3室1厅 | 107平米 | 西 | 精装 | 中楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,113,"10,561元/平"
恒大翡翠湾 精装房    房东急售 诚意出售,恒大翡翠湾 -经开区,3室2厅 | 92.7平米 | 东南 | 简装 | 高楼层(共20层)  | 暂无数据,2人关注 / 1个月以前发布,72.8,"7,854元/平"
震后电梯房 城南名著3房现代简约精装 三面临江房,金佳城南名著 -涪城,3室2厅 | 129.8平米 | 东南 南 | 精装 | 高楼层(共24层)  | 塔楼,2人关注 / 一年前发布,129,"9,939元/平"
经开公园门口的套三双卫，业主诚心出售。,万达天澜 -经开区,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,93,"9,394元/平"
永兴国际大三室出售，看房有钥匙,东辰·永兴国际 -高新,3室2厅 | 119.04平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,25人关注 / 一年前发布,80,"6,721元/平"
经开区万达旁，临河堤，出行方便，交通便捷！！！！,中玮海润城 -经开区,3室2厅 | 101.89平米 | 西北 | 毛坯 | 中楼层(共33层)  | 板塔结合,21人关注 / 5个月以前发布,73,"7,165元/平"
永兴国际城市奥莱幸福广场旁福德阳光大三室出售,福德阳光 -高新,3室2厅 | 108平米 | 东 西 | 毛坯 | 低楼层(共20层)  | 塔楼,1人关注 / 一年前发布,66,"6,112元/平"
此房是正四室的，看房方便，诚心出售，中间楼层采光好,长虹天樾 -高新,4室2厅 | 114.25平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 暂无数据,0人关注 / 1个月以前发布,97,"8,491元/平"
兴发家园五期~精装三房拎包入住,兴发家园 -越王楼,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,21人关注 / 一年前发布,74,"7,255元/平"
湿地公园旁一楼带花园，前后双花园.东南朝向,三汇人和逸景 -芙蓉,3室2厅 | 87.68平米 | 东南 | 精装 | 低楼层(共15层)  | 板塔结合,18人关注 / 一年前发布,93,"10,607元/平"
南河坝盛鑫苑电梯精装房 带中空调新风系统 房东急售,盛鑫苑小区 -涪城,4室2厅 | 172平米 | 东南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,143.5,"8,344元/平"
长兴星城精装三室 对中庭 证满,长兴星城一期 -科创园区,3室2厅 | 96.8平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,103.5,"10,693元/平"
1楼带花园 房东急售 精装修 3室2厅2卫,阳光小区(寿山路) -江油,3室2厅 | 123平米 | 北 | 精装 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,46,"3,740元/平"
此房坐南朝北  楼层舒适 配套成熟 交通便利,樊华广场 -高新,3室2厅 | 109平米 | 东南 | 其他 | 中楼层(共31层)  | 板塔结合,8人关注 / 一年前发布,84,"7,707元/平"
火车站旁，2楼采光好，户型方正，满五,现代人家 -高新,3室2厅 | 140.6平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,8人关注 / 8个月以前发布,68,"4,837元/平"
低楼层户型方正采光好直接入住证在手满两年,长兴景苑 -高新,2室2厅 | 91.6平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,49.6,"5,415元/平"
园艺山 博雅旁树高卡地亚 精装套三 对中庭 朝东南满二,树高卡地亚A区 -科创园区,3室2厅 | 95平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,91,"9,579元/平"
大三室+楼层好+精装修+业主急售,太阳城一期 -科创园区,3室2厅 | 138平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,8人关注 / 11个月以前发布,104.8,"7,595元/平"
房子证满  诚心出售  视野开阔,长兴星城一期 -科创园区,3室2厅 | 97.59平米 | 东 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,100,"10,247元/平"
高新区长虹天樾四室两厅，朝南，光线好。。。。。,长虹天樾 -高新,4室2厅 | 122.23平米 | 东南 | 毛坯 | 低楼层(共21层)  | 塔楼,60人关注 / 9个月以前发布,95,"7,773元/平"
五里堆 富临原山精装大三房 楼层好 采光好 单价低,富临原山 -越王楼,3室2厅 | 127平米 | 东南 | 简装 | 高楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,88,"6,930元/平"
东辰旁  精装套四带链接板 全屋暖气片 满二年 无抵押,辰兴·天御 -科创园区,4室2厅 | 129.8平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,133,"10,247元/平"
奥林春天精装大套三，中间楼层，拧包入住,田森·奥林春天一期 -科创园区,3室2厅 | 121.92平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,3人关注 / 4个月以前发布,128,"10,499元/平"
西山小区 3室 毛坯房 有证 没有满2 年,西山小区 -江油,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 3个月以前发布,26,"2,477元/平"
永兴国际大三室出售，看房有钥匙,东辰·永兴国际 -高新,3室2厅 | 119.04平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,25人关注 / 一年前发布,80,"6,721元/平"
三桥片区中等装修3室，业主急售.,华丽世景 -江油,3室2厅 | 112.15平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,48,"4,280元/平"
温莎国际四期，户型方正采光好，环境好。精装修诚售。,温莎国际四期 -科创园区,3室2厅 | 89平米 | 东南 | 精装 | 中楼层(共20层)  | 塔楼,86人关注 / 一年前发布,89,"10,000元/平"
三汇绿岛 3房婚房精装 家电全齐 拎包入住 房主诚售,三汇绿岛 -富乐山,3室2厅 | 95平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,20人关注 / 5个月以前发布,76,"8,000元/平"
汇丰花园 3室2厅 南,汇丰花园 -江油,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,51,"3,750元/平"
全临江江景房，毛坯房，可按照自己喜欢的风格装修,福星上江城B区 -高水,3室2厅 | 112.1平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,84,"7,494元/平"
铁牛广场 一线江景房 房东诚心出售看房方便,嘉来盛世华庭 -铁牛广场,4室2厅 | 176平米 | 东南 | 简装 | 中楼层(共29层)  | 塔楼,11人关注 / 一年前发布,122,"6,932元/平"
房东急售！高新区火炬 实 小 对 面 精装两室 房东急售,金禾花园 -高新,2室2厅 | 84平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,5人关注 / 7个月以前发布,45,"5,358元/平"
海赋长兴三期 3室2厅 东南,海赋长兴三期 -经开区,3室2厅 | 89.88平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,5人关注 / 3个月以前发布,115,"12,795元/平"
九洲又一城2期 朝小区中庭 3室2厅2卫 证在手 有钥匙！,九洲又一城2期 -高新,3室2厅 | 117.68平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,101.5,"8,626元/平"
西山小区 3室 毛坯房 有证 没有满2 年,西山小区 -江油,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,1人关注 / 3个月以前发布,26,"2,477元/平"
园艺山东辰旁岭南神韵全屋 zhong 央空调 落地窗视野好,岭南神韵 -科创园区,3室2厅 | 108.86平米 | 东南 | 精装 | 高楼层(共22层)  | 板塔结合,3人关注 / 1个月以前发布,126,"11,575元/平"
金楠天街三房出售，价格优质。。。。。,金楠天街 -经开区,3室2厅 | 90.86平米 | 东 | 简装 | 中楼层(共32层)  | 板塔结合,8人关注 / 7个月以前发布,69.8,"7,683元/平"
央企华润，品质大四房，全屋私人定制装修，拎包入住,华润紫云府 -科创园区,4室2厅 | 135.63平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 3个月以前发布,180,"13,272元/平"
此房中间太白广场旁边二楼带平台精装修拎包入住,锦绣一期 -江油,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,56,"4,375元/平"
急售业主自装35W 品牌家具电 未住过 套三双卫 对中庭,长兴星城一期 -科创园区,3室2厅 | 109.15平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,10人关注 / 6个月以前发布,130,"11,911元/平"
塞纳阳光大三室，朝小区中庭采光好视野宽广，,恒业·塞纳阳光 -高新,3室1厅 | 100平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,86.8,"8,680元/平"
高新区 粼江峰阁三室 证满两年户型方正 双面采光,粼江峰阁全景国际公馆 -高新,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,73,"6,823元/平"
精装三室双卫，拎包入住，南北向，带花园，电梯洋房。,半山蓝湾 -科创园区,3室2厅 | 123.24平米 | 西南 | 简装 | 高楼层(共11层)  | 板塔结合,39人关注 / 7个月以前发布,92,"7,466元/平"
此房满2年，精装修 ，有钥匙，看房方便，房东诚心卖。,顺风苑 -高新,3室2厅 | 105平米 | 东南 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,64,"6,096元/平"
世纪城一期大三室视野好采光OK的很,长虹世纪城一期 -高水,3室2厅 | 135.8平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,2人关注 / 8个月以前发布,110,"8,101元/平"
电梯房精装3房2卫，拎包入住，现代化小区,东原华宇·朗阅 -经开区,3室2厅 | 95.77平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,9人关注 / 6个月以前发布,96,"10,025元/平"
半山蓝湾电梯三室两厅双卫一厨厨出售满五唯一,半山蓝湾 -科创园区,3室2厅 | 123平米 | 东南 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,8人关注 / 8个月以前发布,81.8,"6,651元/平"
1958一期精装修2室，房东诚意急售,九洲跃进路1958一期 -1958,2室2厅 | 78.35平米 | 东 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 26天以前发布,94,"11,998元/平"
科学城八区 2室1厅 南,科学城八区 -越王楼,2室1厅 | 51平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 23天以前发布,16,"3,138元/平"
朝南全明户型 低密度洋房 环境居住优雅,东原长岛 -越王楼,6室3厅 | 251平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,23人关注 / 一年前发布,258,"10,279元/平"
业主诚意出售 价格可谈  户型方正 采光通透,九洲·跃进路1958二期 -1958,2室2厅 | 64.09平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 19天以前发布,98,"15,291元/平"
科创园区经典两房，业主  急卖。,虹色景苑 -科创园区,2室2厅 | 101平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 31天以前发布,52.8,"5,228元/平"
富乐车站旁电梯精装三室，价格美丽房东急售,堂宏国际大厦 -越王楼,3室2厅 | 94平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 13天以前发布,65,"6,915元/平"
此房满五年，税费低，简单装修，采光很好，配套齐全。,佳园小区 -富乐山,2室1厅 | 77.09平米 | 东南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 14天以前发布,39.8,"5,163元/平"
带花园50平 旁边就是东辰 房东诚心出售 证满,华润中央公园 -科创园区,3室1厅 | 91平米 | 东北 | 其他 | 低楼层(共31层)  | 板楼,20人关注 / 7个月以前发布,106,"11,649元/平"
香榭里大道 临江观景 三室两厅 业主婚房装修,香榭里大道 -越王楼,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 10个月以前发布,83,"9,326元/平"
