标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
房型方正 采光好精装修 满二 配套设施齐全 楼间大,万厦城市经典 -无为县,3室2厅 | 99.75平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,78,"7,820元/平"
观景楼层 房东诚心出售 *位都在,绿影新村 -弋矶山,2室2厅 | 58.45平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,88,"15,056元/平"
保利香颂  好楼层 价格可谈  诚心出售,保利香颂 -汀棠公园,3室2厅 | 112.82平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,13人关注 / 10个月以前发布,188,"16,664元/平"
融汇锦江F区 精装2室 中间楼层 拎包即住,融汇锦江F区 -大砻坊,2室1厅 | 59.21平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 8天以前发布,80,"13,512元/平"
滨河馨居业主诚心卖，楼层好小区环境优美,滨河馨居 -鸠江区滨河馨居,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 8天以前发布,85,"7,084元/平"
御龙湾 3室2厅 南 北,御龙湾 -无为县,3室2厅 | 102平米 | 南 北 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 6天以前发布,46.6,"4,569元/平"
香格里拉精装修三房南北通透多层三楼很安静银湖路边,香格里拉花园 -华强城,3室2厅 | 106.91平米 | 南 北 | 其他 | 中楼层(共6层)  | 平房,0人关注 / 7天以前发布,155,"14,499元/平"
精装修三房 同面积中客厅带阳台的，房东自住保养的好,东方龙城木兰苑 -大砻坊,3室2厅 | 89.21平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 7天以前发布,140,"15,694元/平"
安展熙园  前排无遮挡  业主诚心卖,安展熙园 -镜湖中心,2室1厅 | 75平米 | 南 | 其他 | 18层  | 板塔结合,0人关注 / 6天以前发布,125,"16,667元/平"
高速御府 3室2厅 南 北,高速御府 -柏庄时代广场,3室2厅 | 100.04平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 6天以前发布,110,"10,996元/平"
竹秀清苑 3室2厅 南 北,竹秀清苑 -清水街道,3室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,48,"5,518元/平"
房东诚心出售采光刺眼价格可小刀,芜宁路香山综合楼 -五一广场,2室1厅 | 83平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,90,"10,844元/平"
长江路美加印象 新出边户三房 钻石楼层 采光无忧,美加印象 -华强城,3室2厅 | 125平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 4天以前发布,145,"11,600元/平"
香榭丽苑精装三室两厅一卫出售。,香榭丽苑小区 -无为县,3室2厅 | 104平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,115,"11,058元/平"
蓝鼎中央城铂金园 3室1厅 南,蓝鼎中央城铂金园 -无为县,3室1厅 | 119平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 2天以前发布,91.8,"7,715元/平"
精装修3房 采光很好 前面无遮挡 诚心出售 看房方便,华仑港湾 -城南滨江版块,3室2厅 | 141.48平米 | 北 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 2天以前发布,245,"17,317元/平"
金域蓝湾C区 3室2厅 南,金域蓝湾C区 -新时代商业街,3室2厅 | 114.83平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 5天以前发布,170,"14,805元/平"
鸠兹家苑馨园 2室2厅 南 北,鸠兹家苑馨园 -大阳垾,2室2厅 | 86.49平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 9天以前发布,53,"6,128元/平"
伟星玲珑湾小区 70年产权 南北通透 随时看,伟星玲珑湾 -凤鸣湖景区,2室1厅 | 64.33平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,46,"7,151元/平"
雍璟台洋房 中上楼层  30多万精装  带车位 诚心出售,伟星雍璟台南区 -雕塑公园,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,208,"18,910元/平"
柏庄丽城精装观景房，楼层中上，业主诚心急售！,柏庄丽城 -柏庄时代广场,2室2厅 | 90.38平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,4人关注 / 8个月以前发布,132,"14,606元/平"
诚心出售 无土地出让金 无增值税,棠梅园小区A区 -绿地镜湖新城,2室1厅 | 78.79平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,76,"9,646元/平"
全新精装好房  无增值税 无出让金 好采光 不靠火车道,棠梅园小区B区 -绿地镜湖新城,2室1厅 | 79.47平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,73.8,"9,287元/平"
好楼层精装修好房，采光无遮挡，保养很好业主急售,江城国际瑞景苑 -柏庄时代广场,2室2厅 | 85.93平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,13人关注 / 一年前发布,75,"8,729元/平"
柏庄观邸 两梯四户  精装全设 置换诚售 随时看房！,柏庄观邸 -雕塑公园,2室2厅 | 90.45平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,7人关注 / 8个月以前发布,123,"13,599元/平"
此房满五唯一，东边户。楼层好，采光无遮挡,融汇锦江D区 -大砻坊,2室2厅 | 98.05平米 | 南 东 | 简装 | 中楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,122,"12,443元/平"
伊顿公馆复21/24层总高  采光充足产证满二 首付2成,绿地镜湖世纪城伊顿公馆一期 -绿地镜湖新城,3室2厅 | 120.43平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板塔结合,39人关注 / 一年前发布,118,"9,799元/平"
伟星玖璋台 精装全设 中上楼层 台系社区 尽享生活！,伟星·玖璋台 -雕塑公园,3室2厅 | 164.48平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,10人关注 / 7个月以前发布,408,"24,806元/平"
精装 满五唯一 诚心出售 急急急,城市庄园住宅赛纳丽城小区 -华强城,2室2厅 | 89.6平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,108,"12,054元/平"
精装婚房，一次未住，豪 华装修，诚心出售，看房方便,棠梅园小区B区 -绿地镜湖新城,2室2厅 | 65.44平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,31人关注 / 5个月以前发布,65,"9,933元/平"
长江长，好楼层两室，随时看房，江景视野！！,长江长现代城北区 -城南滨江版块,2室2厅 | 98.13平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,120,"12,229元/平"
不靠马路，房东急卖，三开间朝南，采光充足,高速御府 -柏庄时代广场,3室1厅 | 120.36平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,120,"9,971元/平"
双层复式，买一层附一层，还有大露台，有钥匙！,凤凰城中岛蔷薇苑 -凤鸣湖景区,3室2厅 | 87.3平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 8个月以前发布,72,"8,248元/平"
石城湖中层三居室 南北通透户型好,石城湖小区 -凤鸣湖小学,3室2厅 | 107.31平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,85,"7,921元/平"
格局好，楼层好，采光充足，全明户型 配套齐全,美加印象 -华强城,2室2厅 | 86.01平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,112,"13,022元/平"
精装2房，无大税，采光无忧，价格能刀,城市之光第三街区 -雕塑公园,2室1厅 | 91.54平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,117,"12,782元/平"
雅歌简装2房 楼层好 近小区出入口,圣地雅歌一区 -芜湖站,2室1厅 | 76.84平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,95.8,"12,468元/平"
新安花园二期 4室2厅 南 北,新安花园二期 -中山路步行街,4室2厅 | 181平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 24天以前发布,126.8,"7,006元/平"
中盛壹号院好楼层三室双卫边户带一个车位,中盛壹号院 -无为县,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 14天以前发布,131,"10,235元/平"
新华联铂悦府，精装，诚心出售，价格便宜,新华联铂悦府 -鸠兹古镇,2室2厅 | 91.2平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 15天以前发布,125,"13,707元/平"
中俊花溪渡一楼精装修房屋出售，户型好总价低,中俊花溪渡 -无为县,3室1厅 | 116平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 14天以前发布,55,"4,742元/平"
品质小区，配套齐，交通便，精装修，有车位，看房方便,伟星公園大道壹号 -雕塑公园,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 11天以前发布,230,"19,828元/平"
一个好房子 给孩子一个好未来 无大税 诚心出售,团结三村 -弋矶山,3室1厅 | 59平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,0人关注 / 13天以前发布,98,"16,611元/平"
碧桂园翠珑湾142平四室两厅两卫诚心出售,碧桂园翠珑湾 -无为县,4室2厅 | 150平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 14天以前发布,145,"9,667元/平"
此楼房格局好，视野开阔，采光充足配套齐全，交通便利,无为县碧桂园浅月湾 -无为县,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 12天以前发布,88,"9,463元/平"
东方海伦堡  中间楼层  飞机户型 南北正通  诚心出售,东方海伦堡 -大砻坊,4室2厅 | 132.28平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 1个月以前发布,135,"10,206元/平"
团结三村新出三房 价格美丽 出价就有机会,团结三村 -弋矶山,3室2厅 | 62.63平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,93,"14,850元/平"
万科城精装小三房  房东诚心出售  中间户,万科城北区 -伟星星悦广场,3室2厅 | 87.12平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,125,"14,349元/平"
建工新村  多层带电梯  采光好  精装修   拎包入住,建工新村 -八佰伴,3室1厅 | 104.38平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,120,"11,497元/平"
客厅和两个房间朝南，还有4平人大院子,团结新村四村 -弋矶山,3室1厅 | 73.9平米 | 南 | 简装 | 低楼层(共5层)  | 塔楼,1人关注 / 4个月以前发布,120,"16,239元/平"
通透户型，业主诚意出售，产证满五年，没有增值税,东部星城西区 -大阳垾,3室2厅 | 90.48平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,85,"9,395元/平"
中间楼层，远离马路，品质小区，户型通透，采光充足,凤凰城南岛银杏轩 -凤鸣湖景区,3室2厅 | 91.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,84,"9,178元/平"
市区11层洋房，公摊低楼层高大三房，无增税拎包入住,江岸明珠西苑 -新时代商业街,3室2厅 | 141.51平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,209,"14,770元/平"
团结四村  三房  中楼层  全天采光,团结新村四村 -弋矶山,3室1厅 | 57.32平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,6人关注 / 11个月以前发布,90,"15,702元/平"
精装两房，满二，户型方正，一楼带院子,平湖秋月 -大砻坊,2室2厅 | 94.91平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,4人关注 / 3个月以前发布,150,"15,805元/平"
一楼带yuan子  家门口有鱼塘 可以随意钓鱼 边户,莲塘新村银莲园 -方特一期,3室2厅 | 111.48平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,2人关注 / 9个月以前发布,115,"10,316元/平"
柏庄小3房，装修2年不到，家具家电全留，随时拎包入住,柏庄观邸 -雕塑公园,3室2厅 | 86.41平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,12人关注 / 8个月以前发布,103,"11,920元/平"
巨龙城市花园  楼层好 单价低,巨龙城市花园 -芜湖站,3室2厅 | 155.5平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,9人关注 / 9个月以前发布,139,"8,939元/平"
精装修，装修好，中上楼层，户型方正,团结新村四村 -弋矶山,3室2厅 | 68.52平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,4人关注 / 一年前发布,105,"15,324元/平"
中央城F区 边户通透 未落户 精装拎包住 急售,中央城F区 -中央城财富街,2室2厅 | 87.57平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,136,"15,531元/平"
格局方正，视野宽阔，采光无遮挡，配套设施齐全,旭日天都六组团 -伟星星悦广场,3室2厅 | 131.4平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,132,"10,046元/平"
颐景湾畔高层婚房装修，业主资金周转忍痛割爱！,颐景湾畔 -方特一期,3室2厅 | 111.79平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,8人关注 / 5个月以前发布,190,"16,997元/平"
婚房精装修，诚心出售，价格可谈，通透户型,东方蓝海 -汀棠公园,3室2厅 | 123.8平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,5人关注 / 3个月以前发布,215,"17,367元/平"
兆通大观 出租装修 大三房 中江9年 轻轨站旁 市政府边,兆通大观花园 -芜湖市政府,3室2厅 | 135.81平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,3人关注 / 3个月以前发布,149,"10,972元/平"
翰林公馆 精装修家电齐全 产证9月满二 业主诚心出售,翰林公馆 -中央城财富街,3室2厅 | 119.98平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,168,"14,003元/平"
城市之光一街区 通透三房 边户 住家精装修,城市之光第一街区 -雕塑公园,3室2厅 | 116.63平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,4人关注 / 11个月以前发布,175,"15,005元/平"
精装修边户通透小三房，凤凰楼层，视野好，全天采光,万科·海上传奇 -城南滨江版块,3室2厅 | 91.22平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,6人关注 / 5个月以前发布,169,"18,527元/平"
望江苑 两房精装修 诚心卖 价格可谈 只要你想买交给我,望江苑 -红旗,2室1厅 | 64.25平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,1人关注 / 31天以前发布,78.8,"12,265元/平"
奥体旁轻轨房本套为小高层，小区C位安静无扰出行方便,奥韵康城 -南瑞新城,2室1厅 | 83.64平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 30天以前发布,85,"10,163元/平"
雅旭新乐府南区 3室1厅 南,雅旭新乐府南区 -柏庄时代广场,3室1厅 | 116.18平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,1人关注 / 29天以前发布,165,"14,203元/平"
包含车位 产证满二 小区中间位置 好楼层,万科城北区 -伟星星悦广场,3室2厅 | 115.75平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,161,"13,910元/平"
大三房，精装一次未入住，中间楼层，产证已办,荆山花园东区 -未知商圈,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 19天以前发布,111.5,"8,260元/平"
一楼带大院子，干净清爽，适合老年人居住，此房满五.,利民二村 -新时代商业街,2室1厅 | 64.35平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,3人关注 / 23天以前发布,75.8,"11,780元/平"
高铁站，比亚迪工厂，人流量大，精装,京福振兴苑 -无为县,3室2厅 | 92平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 22天以前发布,63,"6,848元/平"
房东诚心出售  卖房去外地发展,春江明月誉峰 -南瑞新城,3室2厅 | 96平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 26天以前发布,108,"11,250元/平"
春江明月二期，业主诚心出售，中间楼层,春江明月誉峰 -南瑞新城,3室1厅 | 117平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 25天以前发布,142,"12,137元/平"
中央城•学府壹号 3室1厅 南,中央城•学府壹号 -中央城财富街,3室1厅 | 119.13平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 29天以前发布,205,"17,209元/平"
官山花园 3室2厅 南 北,官山花园 -八佰伴,3室2厅 | 104.94平米 | 南 北 | 其他 | 低楼层(共25层)  | 板塔结合,1人关注 / 24天以前发布,180,"17,153元/平"
伟星雍璟台南区 3室1厅 南,伟星雍璟台南区 -雕塑公园,3室1厅 | 130.56平米 | 南 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 22天以前发布,240,"18,383元/平"
此房楼层佳 前后无遮挡 视野开阔 飞机户型 精装修,绿地镜湖世纪城凯旋尚品 -绿地镜湖新城,3室2厅 | 113.17平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 20天以前发布,115,"10,162元/平"
此房诚意出售，格局方正，配套设施齐全,紫约凯旋门 -无为县,3室2厅 | 119.18平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,119,"9,985元/平"
急卖，诚心出售，价格可谈，户型方正，随时可签,碧桂园镜湖世家 -左岸,3室1厅 | 125.13平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 29天以前发布,153,"12,228元/平"
