标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
建业春天里 交通便利 小区环境干净舒适  适合居住,建业春天里 -湛河区,4室2厅 | 139平米 | 西南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,83,"5,972元/平"
低于市场价 产权清晰 随时过户,世纪阳光 -卫东区,3室2厅 | 132.43平米 | 西南 | 精装 | 高楼层(共25层)  | 暂无数据,1人关注 / 9个月以前发布,80,"6,041元/平"
黄金花园毛坯现房133平3室2厅2卫  支持商贷和公积金,黄金花园 -卫东区,3室2厅 | 132.16平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,80,"6,054元/平"
湛河畔永基小区三室两厅两卫一梯一户145平80万,永基小区 -湛河区,3室2厅 | 145平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,80,"5,518元/平"
新华路南段  喜来登大酒店北侧  4楼 3室2厅房,城专楼 -湛河区,3室2厅 | 97.66平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,45.8,"4,690元/平"
沁园南院 三楼 三室两厅 南北通透 三卧朝南,沁园南院 -湛河区,3室2厅 | 123平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,53,"4,309元/平"
公摊非 常小，此房位置非 常好，周 围配套设施齐全。,中梁壹号院 -新华区,4室2厅 | 128平米 | 西 | 毛坯 | 低楼层(共6层)  | 平房,0人关注 / 22天以前发布,102,"7,969元/平"
新华路 朗瑞美晨 简装空房 有证 可贷款,朗润·美晨 -湛河区,3室2厅 | 102平米 | 西南 | 简装 | 低楼层(共29层)  | 板楼,0人关注 / 21天以前发布,57,"5,589元/平"
银基122平大三室，好楼层，位置好首付25万，仅,银基誉府 -湛河区,3室2厅 | 122平米 | 东 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 6个月以前发布,98,"8,033元/平"
"林溪美境毛坯新房,三房两卫,采光通风好,即买即装",林溪美境 -新华区,3室2厅 | 108平米 | 西南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 22天以前发布,69,"6,389元/平"
九天庄园空中别墅，户型设计合理，自带楼顶花园,常绿·九天庄园 -新华区,5室3厅 | 259.25平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,130,"5,015元/平"
恒大珺睿府一期现房~123平3室精装修未入住.看房方便,平顶山恒大珺睿府 -湛河区,3室2厅 | 124平米 | 东 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 16天以前发布,95,"7,662元/平"
自来水家属院低楼层118.56平三室，有证有暖，仅61.9万,自来水家属院 -湛河区,3室2厅 | 118.56平米 | 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,61.9,"5,221元/平"
西苑小区小区 3室2厅 交通便利 小区环境舒适 适合居住,西苑小区 -湛河区,3室2厅 | 93.86平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,40,"4,262元/平"
建业春天里132平大三室，精装拎包住，一览湛河美景,建业春天里 -湛河区,3室2厅 | 132.43平米 | 西 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 12天以前发布,89,"6,721元/平"
银基誉府毛坯173平加80平地下室 4室2厅1厨3卫 带车位,银基誉府 -湛河区,4室2厅 | 172.31平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,190,"11,027元/平"
银基御府高档小区高层122平毛坯有入户花园96万,银基誉府 -湛河区,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,93,"7,623元/平"
凤凰小区121.87平毛坯3室2厅2卫楼层好采光好,凤凰小区 -湛河区,3室2厅 | 121.87平米 | 西 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,75,"6,155元/平"
东安路 3室2厅 南,东安路 -卫东区,3室2厅 | 137平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,48,"3,504元/平"
有证可分期，三室，仅售83万，随时看房,银基誉府 -湛河区,3室2厅 | 114.07平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 12天以前发布,83,"7,277元/平"
银基御府 131平 户型方正双阳台 景观楼层 看房随时,银基誉府 -湛河区,3室2厅 | 131.56平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,102,"7,754元/平"
急售 湛南路韦伦 旁边 有证有暖 三室 带一间车子棚,东风西路北50号院 -湛河区,3室1厅 | 109.28平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,37,"3,386元/平"
前排湖景6+7精装复式，全屋精装家具家电齐全拎包入住,常绿·九天庄园 -新华区,5室3厅 | 205.82平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,105,"5,102元/平"
常绿林溪天悦 4室2厅 南,常绿林溪天悦 -新华区,4室2厅 | 137平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,123,"8,979元/平"
常绿·大阅城 4室2厅 南,常绿·大阅城 -新华区,4室2厅 | 125.6平米 | 南 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 2天以前发布,73,"5,813元/平"
荣邦瑞府湖景房145平大三室，视野好，带车位，随时看,荣邦瑞府 -新华区,3室2厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,138,"9,518元/平"
出售沁园南院153.22平方三室两厅有证,沁园南院 -湛河区,3室2厅 | 153.22平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,67,"4,373元/平"
凤凰花园前排能看湖，大三室带车位吗，诚意出售,凤凰花园A03春华苑 -新华区,3室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,105,"7,500元/平"
恒大名都二次精装三室 边户通透性好 有证满二拎包住,平顶山恒大名都 -湛河区,3室2厅 | 105平米 | 西 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,75,"7,143元/平"
平顶山恒大珺睿府 3室2厅 西南 西 西北,平顶山恒大珺睿府 -湛河区,3室2厅 | 127.94平米 | 西南 西 西北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,110,"8,598元/平"
小区环境优美 生活配套齐全 三大公园,常绿·林溪美地 -新华区,3室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,250元/平"
横厅设计 四开间朝南 采光充足 通透,常绿林溪天悦 -新华区,3室2厅 | 127平米 | 南 西南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,126,"9,922元/平"
品质社区，物业服务号，生活配套齐全。,常绿·九天庄园 -新华区,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,85,"6,489元/平"
平安景苑，143平，3室2厅2卫，南北通透。,平安景苑 -湛河区,3室2厅 | 143平米 | 南 西 北 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,90,"6,294元/平"
市政旁平层4室，全新装修裸房出售，一天未入住,龙兴苑北苑 -新华区,4室2厅 | 162.66平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,95,"5,841元/平"
全屋实木定制家具  真正精装修 有暖有证 5室2厅,名门世家 -新华区,5室2厅 | 306平米 | 东南 南 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 5个月以前发布,480,"15,687元/平"
湛河旁体育村大三室三楼带单独车子棚可停车,建设东路南2号院 -卫东区,3室2厅 | 132平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,65.2,"4,940元/平"
大乘领事馆  交通便利 小区环境干净舒适 适合居住,大乘领仕馆 -湛河区,3室1厅 | 98.27平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 20天以前发布,49,"4,987元/平"
凌云路北段佳田塞纳城欣苑5室两厅两卫有证可贷款！,雅苑小区 -新华区,5室2厅 | 211.7平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,106,"5,008元/平"
复式房带楼顶花园，房型方正采光好,常绿·九天庄园 -新华区,4室2厅 | 253.97平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 20天以前发布,130,"5,119元/平"
蓝湾翠园湖景房一梯一户大平层精装修,蓝湾翠园 -新华区,5室2厅 | 274平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 15天以前发布,313,"11,424元/平"
黄楝树 菜市场口 四楼 三室两厅132平方 有证可分期,黄楝树 -卫东区,3室2厅 | 115.16平米 | 东 南 西 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,66,"5,732元/平"
西苑阳光花园，大三室，精装拎包住，有证有暖有停车,西苑阳光花园小区 -湛河区,3室2厅 | 121.4平米 | 西 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,55,"4,531元/平"
此小区环境优美，低层毛坯房，可以装修自己心意的装饰,中梁壹号院 -新华区,3室2厅 | 113.15平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 14天以前发布,75,"6,629元/平"
毛坯一梯一户  品质小区 大平层好楼层,湖光2号院 -新华区,5室2厅 | 280平米 | 东 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 14天以前发布,310,"11,072元/平"
佳田西湖岸 3室2厅 东 南 北,佳田西湖岸 -新华区,3室2厅 | 180平米 | 东 南 北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 13天以前发布,216,"12,000元/平"
联盟路党校南门外 137平三房双卫有证可分期 精装,市委党校综合楼 -新华区,3室2厅 | 137.17平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,79,"5,760元/平"
凤凰花园前排湖景房三室两厅两卫毛坯房，带车位。,凤凰花园A03春华苑 -新华区,3室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,112,"8,000元/平"
金建小区3室两厅精装有证可贷款，楼层好，交通便利！,金建小区 -卫东区,3室2厅 | 125平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,75,"6,000元/平"
恒大群睿府100平三室两厅 全新家具家电 未住过,平顶山恒大珺睿府 -湛河区,3室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,82,"8,242元/平"
光明北路135号院 3室2厅 西,光明北路135号院 -新华区,3室2厅 | 125平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,70,"5,600元/平"
光明北路135号院 3室2厅 西,光明北路135号院 -新华区,3室2厅 | 125平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,70,"5,600元/平"
恒大名都129平大三室双卫，带入户花园，有证满两年,平顶山恒大名都 -湛河区,3室2厅 | 128.97平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,92.5,"7,173元/平"
常绿·大阅城 3室2厅 西,常绿·大阅城 -新华区,3室2厅 | 118平米 | 西 | 精装 | 高楼层(共21层)  | 暂无数据,0人关注 / 13天以前发布,76,"6,441元/平"
常绿集团开发洋房加高层设计新中式建筑融合现代家古典,常绿林溪天悦 -新华区,3室2厅 | 158平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 10天以前发布,180,"11,393元/平"
新城区别墅出售上下5层带车库带院子诚售,水岸豪庭 -新华区,3室2厅 | 298平米 | 南 北 | 简装 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 3个月以前发布,320,"10,739元/平"
银基誉名铸 3室2厅2卫 电梯现房,银基誉府名铸 -湛河区,3室2厅 | 129平米 | 西南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,442元/平"
建设路应国府三室精装~三开间朝南~餐客一体带车位,碧桂园应国府 -卫东区,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 29天以前发布,119,"10,171元/平"
饮食小区 3室2厅 交通便利 小区环境干净舒适,饮食新院 -湛河区,3室2厅 | 106平米 | 东 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,65,"6,133元/平"
林溪美境好位置，好楼层108平方，三房两卫，有钥匙,林溪美境 -新华区,3室2厅 | 108平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 29天以前发布,72,"6,667元/平"
广诚美林里，三室两厅，毛坯现房，中间楼层,广诚美林里 -叶县,3室2厅 | 108.4平米 | 西南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 29天以前发布,60,"5,536元/平"
楼间距宽 采光无遮挡 户型方正 通阳台 双卫,领创大地城 -湛河区,3室2厅 | 126.28平米 | 东南 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 24天以前发布,89,"7,048元/平"
领创大地城四室两厅两卫，毛坯现房，户型方正南北通透,领创大地城 -湛河区,4室2厅 | 146.57平米 | 东 南 北 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 19天以前发布,108,"7,369元/平"
鸿鹰小区四楼两室一厅有证有暖可以看房,鸿鹰小区 -卫东区,2室1厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,30,"3,750元/平"
新华路湛南路76平2室南北双阳台23万带单独车棚,干部学校家属楼 -湛河区,2室1厅 | 76.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 9个月以前发布,22,"2,859元/平"
千田新开元毛坯现房，双层设计，两室两厅，可以首付,千田·新开元 -湛河区,2室2厅 | 116.19平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,67,"5,767元/平"
龙腾国际小区 2室2厅交通便利  适合居住,龙腾国际 -湛河区,2室2厅 | 72.55平米 | 南 | 简装 | 高楼层(共21层)  | 暂无数据,0人关注 / 一年前发布,48,"6,617元/平"
常绿九天庄园 交通便利 小区环境干净舒适 适合居住,常绿·九天庄园 -新华区,3室1厅 | 93.1平米 | 西南 | 毛坯 | 高楼层(共29层)  | 塔楼,1人关注 / 5个月以前发布,69,"7,412元/平"
清华苑 电梯房103.56平2室2厅 有钥匙,清华苑 -湛河区,2室2厅 | 103.56平米 | 东 | 简装 | 低楼层(共13层)  | 暂无数据,0人关注 / 5个月以前发布,68,"6,567元/平"
临湛河二院有证满二有钥匙简单装修两室,光明路东11号院 -新华区,2室1厅 | 68.25平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,32,"4,689元/平"
大悦城 纯毛坯门口位置 合理三室 纯毛坯 随时看房,常绿·大阅城 -新华区,3室2厅 | 91.53平米 | 东南 | 毛坯 | 低楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,55,"6,009元/平"
豫基城小区一楼111平三室两厅一厨一卫有房产证有暖,豫基城 -卫东区,3室2厅 | 110.1平米 | 东 西 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,68,"6,177元/平"
九里山家属院110平三室，有证满两年，有暖气仅售43万,原派出所家属区 -湛河区,3室2厅 | 110平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,39.6,"3,600元/平"
新城区品质小区，林溪美地94平，稀有小三室 已下证,常绿·林溪美地 -新华区,3室2厅 | 94平米 | 西南 | 毛坯 | 中楼层(共31层)  | 塔楼,1人关注 / 一年前发布,55,"5,852元/平"
建东小区，四层，两室一厅，户型方正,建东小区 -卫东区,2室1厅 | 60.65平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,22,"3,628元/平"
饮食公司家属楼，两室一厅一卫，简单装修，户型方正。,饮食新院 -湛河区,2室1厅 | 73.64平米 | 西南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,27,"3,667元/平"
东方星河湾中层简装2室2厅85平有证有暖支持商贷公积金,东方星河湾 -湛河区,2室2厅 | 85平米 | 北 | 简装 | 中楼层(共24层)  | 暂无数据,0人关注 / 13天以前发布,48,"5,648元/平"
轻工路教师家属院楼下就是轻工路校园和公立幼儿园,轻工路小学教师家属楼 -湛河区,2室2厅 | 87.93平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,38,"4,322元/平"
阳光苑小区 2室1厅 南,阳光苑小区 -湛河区,2室1厅 | 60平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 6天以前发布,18.5,"3,084元/平"
矿工路东环路  舒适两房 公摊小 看房方便 业主急售,副食品公司家属院 -卫东区,2室1厅 | 77.23平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,25.5,"3,302元/平"
湛南路189号 3室1厅 南,湛南路189号 -湛河区,3室1厅 | 66.54平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 19天以前发布,33,"4,960元/平"
开源路马庄转盘九龙广场 3室精装婚房 未入住有证有暖,九龙广场 -湛河区,3室2厅 | 108.87平米 | 西南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 23天以前发布,70,"6,430元/平"
